contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP)
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Schakel,1960::SB1,4151 EG,487,386,0,0,0,0,1,350,35,0,0,0,0,0,386,92,48,50,30,15,23,8,16,22,1,24,0,17,1,17,2,8,1,0,0,0,0,11,0,0,0,0,0,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Klokhuis,1960::SB2,4153 BE,1218,1302,1,3,0,0,3,1150,153,0,0,0,0,0,1306,430,221,156,123,22,52,43,20,18,17,18,1,77,0,39,3,24,0,1,0,5,0,25,1,0,1,0,5,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Dorpskring,1960::SB3,4153 AH,1493,712,0,1,0,0,3,631,79,0,0,0,0,0,713,223,127,86,52,13,16,15,4,15,4,13,0,66,2,43,2,8,0,0,0,0,0,21,0,0,0,0,1,1,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Albertine,1960::SB4,4156 AJ,767,558,0,0,0,0,1,492,65,0,0,0,0,0,558,147,64,59,86,18,13,18,11,16,3,18,0,42,4,28,0,16,0,0,0,1,0,11,0,1,0,0,0,1,1
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Ons Eigen Gebouw,1960::SB5,4197 HD,865,592,0,2,0,0,1,526,66,0,1,0,1,0,593,143,72,77,72,17,31,18,13,14,4,57,2,20,0,15,1,12,0,3,0,0,1,12,0,1,4,0,1,2,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau 't Duifhuis,1960::SB6,4158 CK,871,844,3,0,0,0,0,775,72,0,0,0,0,0,847,268,107,72,108,25,32,29,12,12,4,64,0,53,3,23,0,16,0,4,0,0,3,7,2,0,0,0,0,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Kerkesteijn,1960::SB7,4158 CD,814,437,0,0,0,0,0,393,44,0,0,0,0,0,437,109,41,45,82,29,16,22,11,13,2,23,0,20,1,9,0,10,0,0,0,0,0,2,0,0,0,1,1,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Dorpskamer,1960::SB8,4157 GN,474,348,0,0,0,0,2,314,32,0,0,0,0,0,348,105,46,37,35,6,19,12,5,3,2,12,0,23,0,19,0,8,0,1,0,0,0,12,0,1,1,0,1,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis,1960::SB9,4191 KH,2263,1464,1,4,0,2,2,1282,187,0,0,2,0,0,1471,312,148,110,215,63,39,40,60,44,6,244,11,71,5,34,8,30,4,1,0,5,5,4,1,1,1,2,0,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De sleutel,1960::SB11,4191 XT,997,683,1,0,0,0,0,589,96,1,0,1,0,0,685,151,139,38,60,15,39,34,14,13,3,77,3,56,1,21,2,6,0,1,0,2,0,2,0,2,1,0,1,0,2
