contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Arnhem,Harderwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de stad,0243::SB1,,812,1323,4,2,0,0,10,1175,144,0,0,0,0,0,1329,338,97,112,253,88,36,36,77,46,7,21,17,95,4,41,4,30,0,1,1,4,2,8,0,0,0,0,0,0,5,,
Arnhem,Harderwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBS 'Dok 19',0243::SB2,,812,555,0,1,0,0,10,485,61,0,0,0,0,0,556,122,85,51,49,15,21,17,62,9,2,8,14,37,2,21,3,19,1,0,0,2,2,7,0,0,0,2,1,0,3,,
Arnhem,Harderwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Voormalige bibliotheek,0243::SB3,,812,772,6,0,0,0,8,784,60,0,0,74,0,0,852,142,48,61,187,45,31,17,42,49,4,10,1,50,0,27,5,33,0,3,1,3,2,2,0,0,0,0,1,0,8,,
Arnhem,Harderwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sociaal Centrum 'De Kiekmure' (1),0243::SB4,,812,1204,2,5,0,2,4,1064,145,0,0,2,0,0,1213,288,176,109,93,40,58,27,98,18,5,44,89,58,3,37,6,11,6,1,0,1,6,22,2,0,0,1,3,1,1,,
Arnhem,Harderwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sociaal Centrum 'De Kiemure' (2),0243::SB5,,812,1028,3,4,0,2,0,918,119,0,0,2,0,0,1037,225,132,116,105,24,53,27,86,12,8,41,76,51,1,29,6,5,8,3,0,2,2,11,1,2,0,0,2,0,0,,
Arnhem,Harderwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mehmet Akif Moskee,0243::SB6,,812,615,0,0,0,1,0,487,129,0,0,1,0,0,616,62,18,43,46,19,12,11,29,7,3,5,329,6,0,7,0,3,10,0,1,0,0,2,0,0,0,0,1,0,1,,
Arnhem,Harderwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis 'De Tweeling',0243::SB7,,812,775,0,7,0,5,4,684,99,0,0,5,0,0,787,146,118,66,77,21,42,19,97,13,9,33,36,40,3,20,2,13,1,4,0,1,2,9,0,0,0,0,1,0,2,,
Arnhem,Harderwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Leonardo Harderwijk,0243::SB8,,812,620,0,6,0,0,0,566,60,0,0,0,0,0,626,104,67,30,91,37,40,32,57,28,6,5,24,42,5,12,3,12,5,2,0,3,1,5,0,0,2,3,0,0,4,,
Arnhem,Harderwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gebouw Stedelijke Harmonie,0243::SB9,,812,881,4,3,0,3,6,764,115,0,3,0,0,0,885,150,104,71,96,28,50,19,73,35,2,28,80,73,0,31,2,11,2,2,0,2,6,7,0,0,1,0,4,0,4,,
Arnhem,Harderwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBS 'Willem Alexander',0243::SB10,,812,950,0,2,0,5,5,858,94,0,0,5,0,0,957,202,71,110,147,52,40,26,115,39,3,16,10,43,2,32,1,16,0,3,1,0,3,14,0,0,1,0,1,0,2,,
