contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,Partij van de Eenheid,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Open Haven 1,0050::SB1,,0,452,0,0,0,0,5,407,40,0,0,0,0,0,452,120,56,68,62,14,29,23,21,17,4,7,0,10,0,13,1,4,0,0,0,0,0,3,0,0,0,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Kruispunt 1,0050::SB2,,0,311,0,0,0,0,0,280,31,0,0,0,0,0,311,72,27,49,38,13,15,10,38,2,5,11,3,12,0,11,0,3,0,0,0,0,0,2,0,0,0,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Schuilhof 1,0050::SB3,,0,190,1,1,0,0,0,179,13,0,0,0,0,0,192,36,19,35,15,4,10,15,26,8,3,1,0,8,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Open Haven 2,0050::SB4,,0,420,0,1,0,0,0,378,42,0,1,0,0,0,420,114,60,63,50,10,18,19,16,16,2,1,0,13,0,25,0,9,0,0,0,0,0,4,0,0,0,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Kruispunt 2,0050::SB5,,0,277,0,0,0,1,1,241,34,0,1,0,0,0,276,56,26,31,29,11,21,12,24,14,3,8,0,17,1,8,0,6,0,0,0,1,2,6,0,1,0,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Schuilhof 2,0050::SB6,,0,205,0,0,0,0,0,179,26,0,0,0,0,0,205,41,8,34,32,4,10,5,22,13,1,3,0,11,0,2,0,9,0,0,0,0,0,10,0,0,0,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Open Haven 3,0050::SB7,,1365,1708,6,5,0,0,23,1536,166,0,0,0,0,0,1725,416,244,163,221,68,75,41,87,49,22,24,10,153,8,48,7,35,6,0,0,0,4,21,4,1,0,1,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Kameleon,0050::SB8,,1497,267,0,0,0,0,1,237,29,0,0,0,0,0,267,55,33,30,35,10,5,6,45,8,1,2,3,16,1,7,2,6,0,0,0,0,2,0,0,0,0,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Verbeelding,0050::SB9,,1560,1095,2,1,0,0,3,1010,85,0,0,0,0,0,1098,263,110,75,171,67,42,40,70,53,6,9,3,79,1,49,12,29,0,1,0,2,4,6,0,1,1,1,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Schuilhof 3,0050::SB10,,731,419,0,1,0,0,3,391,26,0,0,0,0,0,420,99,40,40,57,12,16,15,43,12,1,16,0,39,2,8,1,7,0,1,0,1,1,7,0,0,1,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Schuilhof 4,0050::SB11,,730,557,2,1,0,0,1,510,49,0,0,0,0,0,560,136,57,61,71,21,22,16,62,19,2,11,2,45,1,14,1,9,0,1,0,1,0,5,0,0,0,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Voetbal Vereniging Zeewolde,0050::SB12,,1292,737,3,1,0,0,11,617,113,0,0,0,0,0,741,230,102,105,59,9,18,11,23,9,6,19,2,44,2,48,4,9,0,0,0,2,1,34,0,0,0,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau In de Lichtkring,0050::SB13,,1281,1029,1,0,0,0,1,924,105,0,0,0,0,0,1030,210,129,91,119,37,49,21,126,35,11,32,6,73,5,36,6,20,0,5,0,2,3,7,0,2,2,2,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Kofschip,0050::SB14,,2033,924,0,2,0,0,3,842,86,0,0,5,0,0,931,263,75,76,119,40,31,34,60,23,10,15,2,81,3,32,6,28,0,0,0,1,8,13,0,0,1,2,1,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tent Toermalijn/Mozaïek 1,0050::SB15,,1072,1260,2,0,0,0,5,1123,134,0,0,0,0,0,1262,403,120,114,162,45,42,25,83,32,6,13,3,99,2,52,6,21,1,3,1,2,7,13,1,1,2,0,0,1,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tent Toermalijn/Mozaïek 2,0050::SB16,,1071,766,1,1,0,0,3,680,85,0,0,0,0,0,768,207,71,80,102,24,30,19,73,17,8,11,0,59,0,25,2,26,0,1,0,2,1,4,1,2,1,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Kruispunt 3,0050::SB17,,2024,1173,0,3,0,2,6,1038,134,0,0,2,0,0,1178,353,120,118,131,26,21,33,90,27,11,20,8,104,5,56,5,14,2,1,0,1,3,21,3,0,0,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Kruispunt 4,0050::SB18,,2024,1140,1,3,0,0,3,1012,129,0,0,0,0,0,1144,359,107,105,133,36,30,10,58,33,7,26,9,88,3,62,3,31,0,2,1,1,3,30,2,0,1,0,0,0,,
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 1,0050::SB20,,0,1004,0,2,0,0,,,,,0,4,,,1010,269,89,229,64,20,50,87,65,23,29,12,1,15,1,34,1,5,0,1,1,0,1,3,1,3,0,0,0,0,0,4
Lelystad,Zeewolde,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 2,0050::SB21,,0,12,0,0,0,0,,,,,0,0,,,12,2,4,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
