contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,Wij zijn Nederland
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Raadhuis,0394::SB1,2132 TZ,1881,1438,5,6,0,2,10,1291,146,0,2,0,0,0,1447,333,142,78,294,98,49,58,16,44,6,6,61,80,31,33,10,51,14,4,1,5,6,4,3,0,4,4,2,0,0,1
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Nieuwe Silo,0394::SB2,2132 VJ,1261,913,3,6,0,0,3,808,111,0,0,0,0,0,922,167,108,48,130,54,44,51,30,38,8,3,83,50,16,27,6,14,23,2,0,1,4,2,0,0,0,3,1,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Kruiskerk,0394::SB3,2132 CN,1914,1052,0,2,0,0,1,932,121,0,0,0,0,0,1054,223,106,77,161,43,48,44,53,47,19,9,40,75,12,40,2,26,8,1,0,5,4,4,0,1,2,1,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zorgcentrum de Meerstede,0394::SB5,2131 XW,1249,573,0,1,0,0,2,512,60,0,0,0,0,0,574,154,75,68,87,14,33,21,11,23,5,3,3,34,2,11,2,16,5,1,0,2,1,1,0,0,0,1,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stichting Milli Görüs,0394::SB6,2131 AX,1425,657,0,1,0,0,0,581,77,0,0,0,0,0,658,186,65,32,104,54,21,26,21,26,10,0,34,24,1,21,4,13,8,0,0,2,1,0,2,0,0,0,1,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Doopsgezinde Gemeente,0394::SB7,2131 BC,906,580,0,1,0,0,0,521,60,0,0,0,0,0,581,169,41,36,102,27,22,18,9,36,8,14,5,32,7,22,0,13,7,2,3,2,3,2,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Pax 1,0394::SB8,2131 VN,1675,815,2,0,0,0,0,732,85,0,0,0,0,0,817,211,74,67,134,44,44,47,14,46,7,0,14,48,7,20,1,20,5,2,1,2,1,0,0,3,0,3,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum de Boerderij,0394::SB9,2131 TG,1871,1250,2,4,0,0,4,1114,138,0,0,0,0,0,1256,299,142,90,210,77,90,57,29,47,18,0,31,55,9,37,5,27,11,1,1,2,4,0,2,3,0,2,1,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum 't Kattegat,0394::SB12,2133 DX,1692,1348,4,4,0,1,1,1216,140,0,0,1,0,0,1357,314,165,92,191,64,71,79,27,56,19,3,33,96,7,55,7,37,8,6,2,4,2,1,1,3,0,1,0,4,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Bornholm,0394::SB13,2133 DW,1834,1446,0,4,0,1,3,1297,151,0,0,1,0,0,1451,357,171,86,268,80,68,45,18,53,14,3,59,91,15,44,10,21,18,1,0,5,4,0,1,1,2,9,0,1,1,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Sparresholm,0394::SB14,2133 BM,1388,666,0,0,0,0,0,598,68,0,0,0,0,0,666,187,64,43,109,38,24,22,15,27,9,5,6,47,4,23,5,24,1,5,0,1,3,1,0,0,0,1,0,2,0,0
