contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Nijmegen,Wijchen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de gemeente,0296::SB1,6602 DB,1798,1234,1,4,1,0,4,1087,147,0,1,0,0,0,1238,378,116,109,226,53,50,40,15,54,14,3,10,63,4,47,2,29,3,2,1,2,4,1,1,2,0,0,1,3,1,,
Nijmegen,Wijchen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Meander,0296::SB2,6601 AR,1674,745,1,0,0,1,1,675,69,0,1,0,0,0,745,180,120,53,95,27,67,57,2,26,9,0,5,45,3,20,4,10,1,3,0,1,4,8,0,0,1,0,2,2,0,,
Nijmegen,Wijchen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Jeugdhuis Woezik,0296::SB3,6604 CC,1974,1713,1,0,0,1,3,1519,191,0,1,0,0,0,1713,524,200,152,327,82,95,50,7,33,16,2,3,90,3,60,4,26,1,4,2,3,7,13,1,0,0,1,2,5,0,,
Nijmegen,Wijchen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Paschalisschool,0296::SB4,6604 AE,1947,835,1,2,0,1,2,746,89,0,1,0,0,0,837,288,79,83,154,18,45,25,11,21,9,0,3,40,1,23,2,13,4,0,1,2,2,7,2,1,0,0,1,0,0,,
Nijmegen,Wijchen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportclub Alverna,0296::SB5,6603 AR,744,417,0,5,0,0,1,373,48,0,0,0,0,0,422,140,79,38,59,11,15,10,6,9,1,0,0,23,2,12,0,6,0,0,0,0,0,4,1,0,0,0,1,0,0,,
Nijmegen,Wijchen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Waaijershof,0296::SB6,6606 AB,345,317,1,0,0,0,0,280,38,0,0,0,0,0,318,111,33,68,32,1,12,10,5,4,1,1,0,6,0,14,1,5,0,1,0,0,1,11,0,0,0,0,0,0,0,,
Nijmegen,Wijchen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw Wijchen Oost,0296::SB7,6603 AE,1924,880,3,2,0,0,3,789,93,0,0,0,0,0,885,249,125,53,137,36,75,43,3,33,10,0,11,39,1,32,1,17,1,2,0,0,3,6,1,0,0,0,1,0,1,,
Nijmegen,Wijchen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Brede school Noorderlicht,0296::SB8,6601 DL,1816,1185,2,3,0,3,1,1083,109,0,0,3,0,0,1193,271,205,92,155,52,104,53,9,36,18,0,9,83,5,36,6,18,1,3,0,1,10,5,4,1,2,2,1,0,3,,
Nijmegen,Wijchen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw Wijchen Zuid,0296::SB9,6605 HN,1848,1195,6,2,0,1,2,1074,126,0,1,0,0,0,1202,259,168,82,166,75,106,62,5,59,12,3,16,91,6,34,2,29,1,3,0,4,2,3,0,0,0,0,5,1,1,,
Nijmegen,Wijchen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Achterom,0296::SB10,6601 XW,1148,728,1,0,0,1,0,643,87,0,0,1,0,0,730,167,135,30,87,34,77,38,3,23,7,0,19,49,6,21,6,12,1,1,0,1,2,6,0,0,0,0,1,2,0,,
