contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis I,0678::SB1,4421 AA,1158,401,0,0,0,0,1,360,40,0,0,0,0,0,401,94,26,51,41,8,20,34,28,5,6,53,1,10,0,13,1,6,0,1,0,0,0,3,0,0,0,0,0,0,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis II,0678::SB2,4421 AA,1226,435,0,0,0,0,2,373,60,0,0,0,0,0,435,93,39,59,38,6,12,31,27,14,3,55,0,17,0,24,0,10,0,0,0,0,0,5,1,1,0,0,0,0,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis III,0678::SB3,4421 AA,1226,1236,0,4,0,0,5,1087,148,0,0,0,0,0,1240,271,77,131,139,25,48,51,105,34,10,222,3,64,2,25,3,15,0,0,0,1,0,7,0,0,0,2,1,0,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Vroone,0678::SB4,4421 CE,1491,1029,0,0,0,0,1,918,111,0,0,1,0,1,1030,229,72,123,117,22,46,50,88,29,5,127,1,46,2,28,9,9,0,2,1,1,3,17,0,0,0,1,1,0,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Voetbalvereniging Kapelle,0678::SB5,4421 BW,1193,672,1,1,0,0,1,587,86,0,0,0,0,0,674,215,40,71,76,11,19,14,40,11,7,92,0,38,1,12,2,14,0,0,1,1,1,6,0,0,0,0,0,0,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Christelijke Gereformeerde Kerk,0678::SB6,4421 KN,870,781,0,1,0,0,3,732,47,0,0,0,0,0,782,170,59,81,64,19,27,22,87,15,4,151,1,34,2,17,4,10,0,2,2,0,1,7,0,0,0,2,0,0,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mozeskerk,0678::SB7,4421 JV,1105,541,0,1,0,0,0,480,62,0,0,0,0,0,542,93,47,76,41,16,24,20,37,8,6,102,0,21,0,22,4,2,0,2,0,0,1,14,1,3,1,0,0,0,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Petrakerk,0678::SB8,4421 AD,1226,515,0,0,0,0,0,448,67,0,0,0,0,0,515,85,21,66,43,11,13,19,57,10,2,135,0,19,0,17,1,2,0,0,0,2,2,8,0,0,1,1,0,0,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpscentrum De Wemel I,0678::SB9,4424 CA,1097,789,2,2,0,0,3,711,79,0,0,0,0,0,793,213,96,72,80,22,47,30,24,30,12,40,4,52,2,37,1,7,0,3,0,2,5,6,0,1,1,1,1,0,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpscentrum de Wemel II,0678::SB10,4424 CA,1288,833,0,0,0,0,2,745,86,0,0,0,0,0,833,226,106,107,79,21,37,41,33,29,16,36,0,41,7,22,2,9,1,2,2,0,2,10,0,1,0,3,0,0,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Schore,0678::SB11,4423 AC,420,311,0,1,0,0,0,287,25,0,0,0,0,0,312,61,30,38,22,6,18,20,14,7,4,32,1,17,0,21,1,3,0,1,0,0,0,14,0,0,0,0,0,1,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau de Stembus,0678::SB12,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau,0678::SB1,,1000,806,0,1,0,0,,,,,0,0,,,807,165,33,200,66,10,47,95,51,21,24,68,0,3,0,9,0,4,0,0,0,0,1,8,0,1,0,0,0,0,0,0
Middelburg,Kapelle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau II,0678::SB2,,0,86,0,0,0,0,,,,,0,0,,,86,25,3,19,2,1,2,8,10,0,1,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
