contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Arnhem,Duiven,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0226::SB1,6921 ES,2296,1154,2,2,0,2,4,1037,119,0,0,2,0,0,1160,321,150,90,169,40,77,48,23,40,15,3,16,75,2,32,5,22,1,3,0,4,3,9,1,0,0,1,4,0,0,,
Arnhem,Duiven,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Woonzorgcentrum Thuvine,0226::SB2,6931 AR,1954,854,3,0,0,0,3,788,66,0,0,0,0,0,857,258,107,67,129,36,54,28,18,24,10,7,5,67,2,21,3,13,0,0,0,0,2,0,0,2,0,0,1,0,0,,
Arnhem,Duiven,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau nabij NS station,0226::SB3,6922 HH,1203,1054,0,2,0,0,2,974,81,0,0,1,0,0,1057,209,153,83,167,61,70,51,29,39,12,1,4,83,7,28,11,18,1,1,0,1,4,9,3,1,0,0,5,0,3,,
Arnhem,Duiven,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Groessen,0226::SB4,6923 BD,1643,1150,2,1,0,0,1,1052,100,0,0,0,0,0,1153,388,117,168,165,28,49,39,8,27,10,2,0,39,0,47,7,17,0,1,0,3,2,28,0,0,3,0,1,0,1,,
Arnhem,Duiven,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine Sportvereniging Loo,0226::SB5,6924 AE,893,745,1,3,0,1,5,691,54,0,0,1,0,0,750,267,75,79,116,29,44,23,1,13,3,0,0,13,0,40,5,20,0,0,2,0,0,13,1,0,0,0,1,0,0,,
Arnhem,Duiven,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurcentrum de Ogtent,0226::SB6,6921 BL,1541,491,1,1,0,0,0,454,39,0,0,0,0,0,493,134,55,34,105,16,42,25,13,11,6,0,4,16,2,13,2,7,0,0,0,2,0,2,0,0,0,0,2,0,0,,
Arnhem,Duiven,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine Tenniscentre Duiven,0226::SB7,6921 JL,1923,1175,1,2,0,6,3,1085,96,0,0,6,0,0,1184,413,113,87,212,34,38,55,20,41,12,1,0,53,7,46,4,18,0,1,3,2,5,5,1,0,0,0,4,0,0,,
Arnhem,Duiven,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Senioren Het Palet,0226::SB8,6921 MJ,1635,1244,3,2,0,0,1,1151,97,0,0,0,0,0,1249,305,165,98,195,54,103,58,19,44,8,2,9,81,3,45,11,19,1,1,0,1,5,9,2,1,1,1,2,0,1,,
Arnhem,Duiven,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gebouw Liemers Harmonie,0226::SB9,6921 MJ,1419,519,1,0,0,1,1,475,43,0,1,0,0,0,519,154,66,58,54,20,27,42,8,26,9,0,0,28,0,7,1,13,0,0,0,0,2,3,1,0,0,0,0,0,0,,
Arnhem,Duiven,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Voormalige basisschool de Timp,0226::SB10,6922 BD,1667,1074,2,2,0,0,1,978,99,0,0,0,0,0,1078,300,112,99,182,47,50,38,28,39,17,1,2,47,2,52,10,25,0,4,0,2,5,5,0,1,0,0,5,0,1,,
