contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Wij zijn Nederland,Modern Nederland
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De drie Lelies,1963::SB1,,1723,1108,0,0,0,0,1,979,128,0,0,0,0,0,1108,248,156,88,109,27,78,50,37,41,12,84,2,83,4,51,6,7,1,1,2,2,4,8,1,2,0,1,3,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Kees Verkerk,1963::SB2,,1530,987,0,0,0,0,2,842,143,0,0,0,0,0,987,194,138,82,106,26,54,34,56,29,5,103,1,72,1,53,7,13,0,2,0,2,3,3,0,0,1,0,1,1,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Huys te Hoecke,1963::SB3,,1364,865,0,0,0,0,1,757,107,0,0,0,0,0,865,188,107,65,99,14,54,44,45,29,18,79,2,43,2,49,7,8,0,0,0,0,3,7,1,0,0,0,0,1,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Weegje,1963::SB4,,1314,1094,0,3,0,0,0,971,126,0,0,0,0,0,1097,207,171,107,118,28,76,51,53,28,11,81,5,75,3,47,5,7,0,3,0,1,6,9,0,1,0,0,1,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Concordia,1963::SB5,,1720,987,0,1,0,0,1,855,132,0,0,0,0,0,988,226,91,103,75,25,51,44,69,26,8,113,0,83,5,35,8,7,0,0,1,2,3,9,1,0,0,0,0,2,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau V.V. 's-Gravendeel,1963::SB7,,1747,824,4,1,0,0,2,726,101,0,0,0,0,0,829,214,113,64,90,30,44,25,40,26,7,52,2,52,1,31,7,7,0,1,1,0,1,8,4,0,0,2,1,1,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ons Gebouw,1963::SB9,,1822,1137,1,1,0,2,3,1006,132,0,0,2,0,0,1141,289,143,113,107,31,37,42,84,31,14,78,1,87,2,49,4,11,3,0,1,1,1,3,0,3,0,0,2,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Erve,1963::SB11,,1529,834,1,3,0,0,0,762,76,0,0,0,0,0,838,195,118,87,67,27,51,30,49,22,8,42,0,52,0,46,7,10,0,3,0,0,6,8,1,2,0,0,2,0,1
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Tienvoet,1963::SB12,,1361,1185,0,3,0,0,0,1031,157,0,0,0,0,0,1188,327,163,89,112,28,55,30,50,50,16,63,2,92,2,68,5,11,0,6,0,2,3,10,0,0,0,0,1,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Westmaas,1963::SB13,,1764,1283,0,0,0,0,5,1157,121,0,0,0,0,0,1283,339,148,138,160,36,65,44,57,49,9,40,2,65,0,68,5,25,1,0,2,1,11,12,1,0,0,3,2,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshart,1963::SB14,,1735,1233,0,0,0,2,5,1074,156,0,0,2,0,0,1235,381,126,107,208,31,47,10,38,37,12,37,2,100,1,56,4,21,1,0,0,2,5,6,0,0,0,1,0,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau TC De Binnenmaas,1963::SB15,,1732,795,0,0,0,1,1,697,96,0,1,0,0,0,794,232,71,53,146,28,17,23,34,42,9,16,0,51,2,40,3,17,0,2,2,1,1,4,0,1,0,0,0,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum,1963::SB16,,1332,786,1,0,0,0,1,706,80,0,0,0,0,0,787,206,92,57,103,16,46,28,24,18,9,78,1,54,1,27,1,11,0,1,1,0,0,6,0,5,0,1,0,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal Duyvesteyn,1963::SB17,,1191,728,0,0,0,0,0,637,91,0,0,0,0,0,728,189,77,53,75,19,28,26,31,26,7,48,0,61,1,47,2,9,0,1,0,0,3,22,1,0,2,0,0,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Maasdam,1963::SB18,,1518,923,3,6,0,1,2,838,93,0,0,1,0,0,933,258,129,72,86,26,44,21,35,24,8,42,5,80,0,44,8,19,0,1,0,3,2,14,1,1,0,0,0,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Voormalig gemeentehuis,1963::SB22,,1498,1040,3,1,0,0,0,944,100,0,0,0,0,0,1044,250,184,87,124,26,66,44,23,33,17,35,0,62,1,46,2,23,1,2,1,2,3,6,0,1,0,0,1,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Hoeksteen,1963::SB23,,1503,1043,1,1,0,2,0,941,106,0,0,2,0,0,1047,292,144,91,137,12,57,45,32,30,11,31,0,64,2,53,7,15,0,2,0,3,1,13,0,0,0,0,0,1,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Ark,1963::SB24,,1443,820,1,1,0,0,1,719,102,0,0,0,0,0,822,281,89,64,87,12,47,29,28,24,6,43,2,30,0,55,2,5,1,1,0,2,2,6,0,4,0,0,0,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Voorhof,1963::SB25,,1559,1053,3,1,0,1,4,913,141,0,0,1,0,0,1058,352,97,86,125,31,31,44,24,42,9,50,1,62,0,56,5,20,0,3,0,1,5,8,1,0,0,0,0,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tuindorp,1963::SB26,,1494,757,1,1,0,0,1,656,103,1,0,1,0,0,760,205,112,57,79,15,47,36,23,28,17,33,0,55,0,31,2,11,0,1,0,1,3,1,0,0,0,0,0,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau NLS gebouw,1963::SB27,,1580,1391,0,2,0,1,0,1212,182,0,0,1,0,0,1394,329,167,103,136,27,78,50,61,37,17,187,1,89,0,53,8,16,2,0,0,5,5,11,2,3,3,0,0,1,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Bongerd,1963::SB28,,1603,815,1,2,0,0,1,724,93,0,0,0,0,0,818,200,101,60,82,23,30,26,44,28,4,130,0,40,0,21,5,7,0,1,0,4,0,6,0,0,1,0,2,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA De Wurf,1963::SB31,,1469,869,1,1,0,0,0,769,102,0,0,0,0,0,871,174,139,47,84,21,44,27,45,27,10,68,0,95,1,41,11,12,0,3,0,0,5,11,1,0,2,0,1,0,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Ark,1963::SB32,,1406,949,0,0,0,0,0,849,100,0,0,0,0,0,949,247,117,118,99,28,43,29,29,43,11,27,2,71,1,53,2,8,0,2,0,6,0,8,2,1,1,0,0,0,1
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Eendrachtshoeve,1963::SB33,,1540,1197,0,1,0,2,0,1081,115,0,2,0,0,0,1196,280,150,147,151,43,59,37,40,41,10,44,1,84,1,58,6,18,0,1,0,2,6,13,0,0,1,0,3,1,0
Dordrecht,Hoeksche Waard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rehoboth,1963::SB34,,1523,1014,0,2,0,0,0,882,138,0,0,4,0,0,1020,132,140,68,69,14,55,26,45,30,8,277,0,93,1,28,4,5,1,0,0,1,0,16,1,0,0,0,0,0,0
