contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Tilburg,Oisterwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Raadhuis,0824::SB1,5061 HX,1324,1241,0,2,0,0,10,1107,127,0,0,1,0,0,1244,433,101,88,253,56,39,42,11,51,9,2,2,52,8,38,2,27,2,1,2,1,5,1,5,4,0,1,0,0,0,5,,
Tilburg,Oisterwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Voormalige sporthal de Leye,0824::SB2,5061 GG,1112,823,0,1,0,2,8,729,89,0,0,2,0,0,826,289,56,83,186,29,28,15,8,37,4,2,1,25,0,15,3,33,0,1,0,0,3,3,0,0,0,0,0,1,0,1,,
Tilburg,Oisterwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Atelier De Krekul,0824::SB3,5061 VT,1493,835,2,3,0,0,2,770,68,0,0,0,0,0,840,223,103,62,148,36,66,40,2,43,12,2,6,36,3,19,1,19,1,5,1,0,4,2,0,0,0,0,0,1,0,0,,
Tilburg,Oisterwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum De Waterhoef,0824::SB4,5061 LJ,1699,900,0,4,0,0,4,796,105,0,0,1,0,0,905,294,95,59,148,41,54,36,5,28,6,1,13,52,0,23,0,27,2,2,2,1,2,4,1,0,0,0,0,2,0,2,,
Tilburg,Oisterwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Kerkhovense Molen,0824::SB5,5061 DR,1373,1116,3,0,0,0,1,1007,111,0,0,0,0,0,1119,325,118,90,207,62,88,37,6,35,8,2,5,67,0,31,2,18,0,0,0,1,7,5,0,1,0,0,0,0,0,1,,
Tilburg,Oisterwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Brede school De Bunders,0824::SB6,5062 LK,1366,1074,1,1,0,0,2,945,129,0,0,0,0,0,1076,433,60,88,259,36,30,28,15,19,3,2,0,29,1,23,1,34,0,2,1,2,4,2,2,0,0,0,0,0,0,0,,
Tilburg,Oisterwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Ontmoetingscentrum De Coppele,0824::SB7,5061 AS,2159,1434,3,2,0,0,1,1292,153,0,0,7,0,0,1446,317,187,126,202,98,149,68,5,53,25,0,12,91,4,33,8,23,1,4,0,1,4,13,4,1,0,0,0,3,0,2,,
Tilburg,Oisterwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau 2College Durendael,0824::SB8,5061 EE,2182,988,0,0,0,0,3,875,109,0,1,0,0,0,987,320,83,96,213,41,47,30,6,39,3,0,0,32,3,21,5,36,1,0,0,3,3,2,1,0,0,0,0,1,0,2,,
Tilburg,Oisterwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum Pannenschuur 1,0824::SB9,5061 WB,1693,1609,3,1,0,0,4,1470,140,0,0,1,0,0,1614,458,171,104,305,78,107,76,13,60,36,1,17,91,3,44,2,21,2,2,2,3,3,4,0,0,0,1,0,3,0,2,,
Tilburg,Oisterwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Voormalige OBS Darwin,0824::SB10,5061 WB,1411,494,2,1,0,0,2,442,53,0,0,0,0,0,497,119,52,42,105,10,51,12,6,16,3,0,0,26,4,23,2,16,0,1,0,0,1,4,1,0,0,0,0,0,0,0,,
Tilburg,Oisterwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Cult. centrum Den Boogaard 1,0824::SB11,5066 AR,1778,1147,0,0,0,5,2,1006,144,0,0,5,0,0,1152,417,99,179,184,26,56,27,14,28,7,2,0,31,2,24,3,20,0,1,3,2,2,15,0,3,1,0,0,0,0,1,,
