contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Modern Nederland
Leiden,Leiderdorp,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0547::SB01,,0,2315,1,7,0,5,,,,,0,5,,,2328,0,0,604,193,439,275,58,140,272,99,64,58,18,4,13,0,38,3,26,2,0,0,0,1,1,1,1,1,1,0,3,0
Leiden,Leiderdorp,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gebouw Irene,0547::SB02,,0,1730,4,2,0,0,5,1578,146,0,7,0,7,0,1729,,,456,128,109,395,122,57,68,43,74,14,16,10,68,8,35,7,92,1,4,0,5,5,6,4,0,0,1,1,1,0
Leiden,Leiderdorp,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Winkelhofplein,0547::SB03,,0,2287,3,10,0,0,3,2069,227,0,1,0,1,0,2299,,,492,248,132,438,160,116,127,35,118,19,12,62,135,23,67,4,46,17,6,0,3,11,5,5,0,0,0,2,4,0
Leiden,Leiderdorp,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Scheppingskerk,0547::SB04,,0,1894,5,2,0,1,5,1758,139,0,0,1,0,0,1902,,,410,171,123,410,129,86,95,60,83,8,18,12,94,5,62,8,83,8,5,0,1,11,4,2,2,2,2,0,0,0
Leiden,Leiderdorp,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Zijlkwartier,0547::SB05,,0,1163,2,2,0,0,0,1064,103,0,0,0,0,0,1167,,,234,122,57,222,89,55,58,25,48,12,14,39,56,7,32,5,49,8,3,3,0,15,1,1,2,3,0,0,2,1
Leiden,Leiderdorp,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Klerkenhof,0547::SB06,,0,1745,14,7,0,0,2,1588,176,0,0,0,0,0,1766,,,440,201,90,338,112,80,98,43,67,27,7,25,69,3,46,14,44,16,3,0,3,9,4,3,0,0,2,0,1,0
Leiden,Leiderdorp,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dwars,0547::SB07,,0,894,3,2,0,0,4,807,88,0,0,0,0,0,899,,,254,62,48,215,55,32,52,20,35,8,5,13,23,2,25,5,29,2,3,0,0,2,1,1,0,0,0,0,2,0
Leiden,Leiderdorp,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sport- en Recreatiecentrum De Does,0547::SB08,,0,1252,2,0,0,0,3,1113,138,0,0,0,0,0,1254,,,373,92,84,289,62,43,38,18,54,4,3,18,40,5,44,7,51,7,1,2,0,8,6,1,0,0,0,0,2,0
Leiden,Leiderdorp,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalen A4,0547::SB09,,0,314,0,1,0,0,1,286,28,0,0,0,0,0,315,,,68,30,16,59,22,11,22,16,11,1,2,3,16,1,12,2,15,3,0,0,1,0,1,2,0,0,0,0,0,0
Leiden,Leiderdorp,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Korfbalvereniging Velocitas,0547::SB10,,0,1284,1,1,3,0,4,1126,159,0,0,3,0,0,1289,,,389,132,81,241,71,52,70,22,40,5,3,15,46,5,49,3,42,0,4,1,3,2,3,1,0,1,0,0,3,0
