contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0074::SB1,8441 ES,1113,1150,1,2,0,0,4,1062,88,0,0,0,0,0,1154,189,112,75,213,77,82,89,22,51,7,6,1,130,5,27,3,38,1,2,0,6,2,6,0,0,2,0,3,1,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Speelgoedbank Heerenveen,0074::SB2,8441 BX,1324,517,0,0,0,0,4,471,42,0,0,0,0,0,517,113,43,37,89,28,39,53,13,19,3,0,0,43,1,15,0,6,0,1,0,0,3,6,1,1,1,1,0,1,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Obs van Maasdijkschool,0074::SB3,8441 CP,1255,802,0,3,0,0,2,742,61,0,0,0,0,0,805,143,74,69,146,38,85,68,15,34,4,4,8,55,2,13,3,16,1,6,0,1,1,8,1,0,3,2,2,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal OBS De Optimist,0074::SB4,8447 BS,1249,824,2,8,0,3,1,766,70,0,0,3,0,0,837,160,81,72,132,40,68,75,29,33,7,3,4,68,1,11,2,16,0,3,0,1,4,8,1,1,1,0,3,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal OBS De Optimist,0074::SB5,8447 BS,1285,827,1,1,0,2,1,778,48,0,2,0,0,0,827,154,82,62,151,39,71,73,25,29,5,3,3,64,1,15,5,21,0,2,2,4,3,11,1,0,0,0,1,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum de As,0074::SB6,8446 SC,967,727,2,3,0,0,0,680,54,0,0,2,0,0,734,94,94,42,116,47,63,56,27,34,4,2,14,80,1,9,3,15,3,5,0,2,4,6,0,1,0,3,1,1,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum de As,0074::SB7,8446 SC,1241,665,3,1,0,3,1,619,52,0,0,3,0,0,672,101,62,45,87,43,59,56,17,35,11,6,23,63,6,15,5,11,4,3,0,1,4,1,2,2,1,1,1,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Rinkelbom,0074::SB8,8446 KS,1096,594,0,2,0,0,1,547,48,0,0,0,0,0,596,75,57,37,80,47,64,58,22,28,3,3,18,52,2,10,1,11,0,1,0,6,5,7,1,1,1,0,4,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Rinkelbom,0074::SB9,8446 KS,1004,547,2,1,0,0,1,499,49,0,1,0,1,0,549,99,49,39,89,34,51,50,28,24,1,3,10,45,1,8,5,4,1,0,0,1,1,4,0,0,0,0,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Vogelnest,0074::SB10,8446 HX,1184,618,1,0,0,0,1,575,45,0,0,2,0,0,621,95,67,54,92,33,70,62,25,19,9,3,16,39,4,5,1,9,4,0,1,0,0,9,0,0,0,0,1,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hotel Heidehof,0074::SB11,8445 SR,1330,865,0,0,0,0,4,820,42,0,0,0,0,0,866,279,31,102,197,36,34,38,20,27,3,6,3,33,2,17,1,31,0,0,0,0,0,5,0,0,0,0,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA De Akkers - gymzaal,0074::SB12,8443 AJ,1236,615,1,0,0,0,6,561,49,0,0,0,0,0,616,111,62,51,93,34,59,71,30,24,2,1,8,36,1,13,6,4,0,0,0,1,2,5,0,0,0,1,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sionskerk,0074::SB13,8451 CD,1230,729,0,0,0,0,0,664,65,0,0,0,0,0,729,124,118,65,75,22,68,59,15,29,6,2,0,87,0,12,1,10,0,4,0,4,5,14,1,0,2,1,5,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA De Akkers - gymzaal,0074::SB14,8443 AJ,1019,595,3,3,0,0,2,559,40,0,0,0,0,0,601,111,65,45,99,26,49,65,25,23,3,1,7,39,3,11,3,8,1,1,0,2,2,2,0,2,0,0,2,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Kempenaer,0074::SB15,8442 EM,1189,705,1,1,0,0,2,650,53,0,0,0,0,0,705,129,84,54,90,28,86,36,20,31,8,3,17,59,3,12,6,10,0,3,1,3,1,12,1,0,3,0,5,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Trinitaskerk,0074::SB16,8442 EZ,1377,735,2,2,0,0,2,671,66,0,0,0,0,0,739,102,108,57,94,37,79,48,16,33,4,5,32,63,6,14,3,5,5,4,0,0,7,5,0,1,2,0,3,1,1,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Binnert Overkant,0074::SB17,8442 BG,1109,439,2,1,1,0,2,405,34,0,1,0,0,0,441,82,45,24,68,17,43,34,4,25,3,2,6,45,5,10,6,7,2,2,0,0,0,5,0,1,1,1,0,0,0,1,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau de Heerenveense school,0074::SB18,8442 CE,1229,443,1,1,0,0,23,421,1,0,0,0,0,0,445,61,41,39,64,36,44,56,10,19,6,0,9,24,3,8,0,9,0,4,2,0,0,6,0,0,0,0,2,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine VV Heerenveen,0074::SB19,8448 MT,1257,1115,1,1,0,5,4,1025,93,0,0,5,0,0,1122,359,60,110,241,37,39,52,38,39,6,0,1,54,4,29,5,27,0,2,0,0,3,8,1,0,0,0,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Spil,0074::SB20,8448 RP,1230,642,1,1,0,0,0,586,58,0,0,0,0,0,644,189,23,50,171,20,19,46,22,20,3,1,3,29,2,12,3,15,0,1,0,1,2,9,0,0,0,0,0,0,0,1,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau it Trefpunt,0074::SB21,8454 KG,1067,815,3,1,0,0,2,743,74,0,0,0,0,0,819,202,56,115,139,30,41,63,31,27,1,3,0,45,1,19,2,7,0,0,1,0,0,26,1,1,0,0,2,2,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis de Kiekenhof,0074::SB22,8414 LJ,1222,632,1,0,0,0,0,569,64,0,0,0,0,0,633,109,73,64,88,25,31,78,20,18,6,3,0,66,1,9,2,7,0,0,0,0,1,29,1,0,0,0,1,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis de Kiekenhof,0074::SB23,8414 LJ,841,730,4,3,0,0,3,653,83,0,0,0,0,0,739,119,76,80,80,31,41,102,33,29,1,6,0,52,0,20,5,9,1,0,1,2,3,38,0,0,0,1,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Pannenkoekboerderij De Koppenjan,0074::SB24,8411 ZD,846,565,1,2,0,0,0,519,49,0,0,0,0,0,568,103,82,69,27,15,52,44,16,27,7,5,0,57,0,9,5,13,0,1,0,0,0,28,0,0,2,1,2,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis it Pipegaeltsje,0074::SB25,8411 ZE,640,415,2,0,0,0,1,362,54,0,0,0,0,0,417,70,57,46,33,18,35,20,8,17,3,1,0,32,1,11,1,7,0,1,0,0,0,54,0,0,0,0,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Kompenije,0074::SB26,8411 VK,949,519,1,2,0,1,0,457,66,0,0,1,0,0,523,59,117,29,40,11,79,46,4,14,2,1,1,79,1,2,8,3,0,2,0,1,1,17,0,0,0,0,2,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Kompenije,0074::SB27,8411 VK,829,533,0,1,0,0,2,463,69,0,0,0,0,0,534,76,125,40,32,21,63,49,9,17,3,1,0,54,0,3,3,7,0,1,1,3,6,14,0,1,3,0,1,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Barte,0074::SB28,8456 HR,1261,1035,3,1,0,0,1,962,76,0,0,0,0,0,1039,236,89,119,154,53,74,82,44,28,10,4,0,60,1,8,4,11,0,0,1,3,4,39,2,1,1,2,5,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA Aengwirden,0074::SB29,8458 CA,1337,1006,4,0,0,0,3,929,78,0,0,0,0,0,1010,198,92,94,134,33,70,63,36,26,15,4,0,95,3,28,4,19,0,0,0,1,0,85,2,0,0,0,4,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hotel Goerres,0074::SB30,8491 BC,963,591,2,4,0,1,4,553,41,0,0,1,0,0,598,112,40,56,100,40,45,53,13,25,5,2,0,59,2,8,3,11,0,3,0,1,1,7,2,0,0,1,1,0,0,1,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Obs Akkrum,0074::SB31,8491 HA,1315,978,0,0,0,0,5,917,57,0,0,0,0,0,979,243,66,117,191,40,46,52,25,25,3,0,3,74,3,30,4,16,1,2,0,2,6,22,2,0,0,0,5,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau It Andringahûs,0074::SB32,8495 KD,1187,826,3,0,0,0,1,767,59,0,2,0,2,0,827,153,71,107,120,20,54,50,31,27,7,7,0,67,1,21,2,7,0,4,0,2,2,67,1,2,0,0,3,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau It Deelshûs Haskerdijken,0074::SB33,8468 BJ,580,442,1,0,0,0,2,416,25,0,0,0,0,0,443,78,50,45,50,20,46,38,7,12,7,1,0,48,0,10,4,4,1,0,0,0,2,18,0,0,0,1,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Lantearne,0074::SB34,8491 CR,1119,579,0,1,0,0,0,533,47,0,0,0,0,0,580,135,43,49,87,46,49,48,10,32,3,2,0,31,2,9,4,13,0,1,0,0,1,12,0,0,0,0,1,0,0,1,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Spil,0074::SB35,8448 RP,1096,949,2,2,0,0,1,859,93,0,0,0,0,0,953,262,54,86,219,52,36,54,26,25,0,3,4,62,3,25,3,22,0,0,0,1,5,2,1,0,0,0,3,1,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Spil,0074::SB36,8448 RP,799,469,0,0,0,0,0,446,23,0,0,0,0,0,469,136,27,42,123,22,7,19,10,24,4,2,7,19,0,11,1,7,0,0,0,2,1,3,0,1,0,0,1,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0074::SB101,8441 ES,0,410,0,1,0,0,0,376,35,0,0,0,0,0,411,77,46,56,58,15,30,50,19,26,4,3,0,10,0,9,0,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum de As,0074::SB106,8446 SC,0,371,0,1,0,3,0,338,37,0,0,3,0,0,375,50,26,58,51,14,40,64,25,11,6,0,3,9,0,5,1,3,2,0,0,0,0,2,0,1,0,0,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Kempenaer,0074::SB115,8442 EM,0,176,0,0,0,0,0,165,11,0,0,0,0,0,176,27,12,23,22,9,9,41,6,7,4,0,0,4,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine VV Heerenveen,0074::SB119,8448 MT,0,190,0,2,0,0,0,180,12,0,0,0,0,0,192,41,12,32,29,2,9,30,8,5,2,0,0,2,0,6,0,9,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Pannenkoekboerderij 'De Koppenjan',0074::SB124,8411 ZD,0,135,0,0,0,0,0,124,11,0,0,0,0,0,135,22,22,10,16,1,16,25,4,4,0,0,0,11,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Obs Akkrum,0074::SB131,8491 HA,0,172,0,1,0,0,2,159,13,0,0,0,0,0,174,33,9,21,33,6,16,32,1,13,0,0,0,2,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0074::SB201,8441 ES,0,405,0,0,0,2,0,371,36,0,0,2,0,0,407,67,44,57,52,18,43,56,9,15,2,1,6,13,1,5,2,3,0,0,0,0,1,6,2,1,1,0,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum de As,0074::SB206,8446 SC,0,386,0,1,0,0,1,351,35,0,0,0,0,0,387,53,41,33,43,13,48,43,33,14,5,3,10,22,1,9,1,5,0,1,0,0,1,5,0,0,2,0,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Kempenaer,0074::SB215,8442 EM,0,151,0,0,0,0,1,139,11,0,0,0,0,0,151,18,25,24,20,3,16,20,3,7,0,0,0,8,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine VV Heerenveen,0074::SB219,8448 MT,0,196,0,0,0,0,1,174,21,0,0,0,0,0,196,51,19,20,30,7,11,22,11,7,0,0,1,7,0,4,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
Leeuwarden,Heerenveen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Pannenkoekboerderij 'De Koppenjan',0074::SB224,8411 ZD,0,143,0,0,0,0,1,123,19,0,0,0,0,0,143,26,17,8,15,5,17,16,4,12,0,0,0,9,0,3,0,6,0,0,0,2,0,2,0,1,0,0,0,0,0,0,,
