contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Den Helder,Edam-Volendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Politiebureau,0385::SB1,1132 JV,1385,1635,2,1,0,0,1,1341,292,0,4,0,4,0,1634,261,574,226,80,15,33,26,7,30,13,4,3,161,0,163,7,18,0,0,0,2,1,6,0,0,2,0,1,0,2,0,0,,
Den Helder,Edam-Volendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool De Spinmolen,0385::SB2,1132 AB,1919,1423,3,2,0,0,0,1196,232,0,0,0,0,0,1428,251,500,202,57,10,23,18,9,20,7,5,1,152,3,123,10,11,0,6,0,3,1,5,0,0,1,0,3,0,1,1,0,,
Den Helder,Edam-Volendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Kreil,0385::SB3,1132 BG,1952,1243,1,2,0,0,0,1030,216,0,0,0,0,0,1246,168,427,218,38,7,15,13,7,23,5,1,0,147,1,143,10,6,1,2,0,2,1,6,0,0,0,0,1,0,1,0,0,,
Den Helder,Edam-Volendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Kreil,0385::SB4,1132 BG,1943,1089,1,0,0,0,0,881,209,0,0,0,0,0,1090,159,404,196,36,4,10,8,5,16,2,2,0,121,4,99,1,7,0,1,3,1,1,2,0,2,0,0,4,0,0,1,0,,
Den Helder,Edam-Volendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubcorner FC Volendam,0385::SB5,1131 BK,1996,1203,0,1,0,0,14,1011,179,0,0,0,0,0,1204,199,401,167,46,17,18,15,14,37,5,3,3,130,4,104,9,11,0,2,0,2,2,6,1,0,0,2,1,0,2,1,1,,
Den Helder,Edam-Volendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Koninklijke Vereniging Sint Jozef,0385::SB6,1131 DX,1556,1530,1,0,0,2,7,1339,183,0,2,0,0,0,1529,254,449,213,81,24,43,22,14,51,14,1,0,194,6,109,5,24,0,0,0,0,6,10,1,2,0,0,4,0,3,0,0,,
Den Helder,Edam-Volendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine Openbare Werken,0385::SB7,1131 DH,1628,277,0,1,0,0,2,230,46,0,0,0,0,0,278,42,80,31,10,8,9,10,0,9,2,0,0,42,1,20,0,3,0,1,0,1,2,3,1,2,0,0,0,0,0,0,0,,
Den Helder,Edam-Volendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau St. Petrusbasisschool,0385::SB8,1131 KX,1848,1382,2,5,0,0,1,1171,218,1,0,1,0,0,1390,193,496,180,43,12,29,9,4,26,7,1,0,174,0,167,10,16,0,1,1,3,2,8,0,0,0,0,0,0,0,0,0,,
Den Helder,Edam-Volendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tennisvereniging Dijkzicht,0385::SB9,1131 RC,1590,1623,0,2,0,0,1,1369,255,0,0,0,0,0,1625,278,553,220,65,18,22,18,10,28,8,2,0,218,4,122,12,14,1,3,0,2,5,5,3,0,0,1,7,0,1,2,1,,
Den Helder,Edam-Volendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Langemeerstraat,0385::SB10,1135 JE,1559,680,1,3,0,1,0,612,71,0,1,0,0,0,683,130,132,45,83,37,38,34,5,24,10,0,33,40,2,18,3,15,9,2,1,1,4,2,2,3,0,0,3,0,0,4,0,,
