contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP)
Nijmegen,Berg en Dal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Groesbeek,1945::SB1,6562 AH,0,1162,3,3,0,0,11,1039,118,0,0,0,0,0,1168,295,130,86,221,72,87,55,7,56,9,2,7,61,4,25,2,27,1,1,0,0,3,8,0,0,0,1,1,1,0
Nijmegen,Berg en Dal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal de Vossenhol,1945::SB4,6561 XE,0,512,0,1,0,0,1,454,58,0,0,0,0,0,513,127,77,34,88,31,40,31,1,26,2,0,0,22,3,12,0,10,1,0,0,0,1,3,0,1,0,0,0,1,1
Nijmegen,Berg en Dal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultureel Centrum De Mallemolen,1945::SB5,6562 AT,0,662,0,3,1,0,4,606,54,0,1,0,1,0,664,153,117,51,94,32,62,36,6,22,4,1,1,30,5,19,2,10,1,0,0,1,3,6,0,1,1,0,1,1,2
Nijmegen,Berg en Dal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Heuvelland,1945::SB6,6562 AV,0,1003,2,1,0,0,4,906,96,0,0,0,0,0,1006,290,186,86,142,24,77,54,6,28,8,1,1,39,0,33,2,16,0,1,0,0,0,6,0,1,0,0,1,0,1
Nijmegen,Berg en Dal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubgebouw 'De Treffers',1945::SB7,6562 KW,0,1074,5,2,0,0,0,975,105,0,1,0,0,0,1080,277,153,111,143,35,100,67,6,38,18,1,4,57,1,27,3,14,0,1,0,1,1,11,1,1,0,1,1,1,0
Nijmegen,Berg en Dal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis 'De Slenk',1945::SB8,6562 LK,0,811,0,0,0,0,8,715,88,0,0,0,0,0,811,209,128,143,96,41,32,37,3,19,3,0,2,32,1,17,3,8,0,1,0,1,0,33,0,0,0,0,2,0,0
Nijmegen,Berg en Dal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum De Sleutel,1945::SB9,6562 DC,0,1272,2,0,0,0,2,1142,130,0,0,0,0,0,1274,301,304,121,137,47,117,53,10,33,12,0,0,58,1,31,7,10,0,1,0,1,2,15,1,3,2,0,3,1,1
Nijmegen,Berg en Dal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Rozenhof, Nijmeegsebaan 114",1945::SB12,6564 CK,0,564,2,0,0,0,1,508,52,0,5,0,5,0,561,114,18,42,165,72,14,25,12,32,1,3,1,13,4,10,1,33,0,2,0,0,0,2,0,0,0,0,0,0,0
Nijmegen,Berg en Dal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal BIGA,1945::SB13,6561 VR,0,810,1,2,0,0,5,729,79,0,0,0,0,0,813,214,171,75,109,32,50,35,2,24,1,0,2,46,1,21,4,8,0,0,1,2,3,6,0,1,0,0,1,1,0
Nijmegen,Berg en Dal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Sporthal De Duffelt, Gengske 10",1945::SB16,6566 WB,0,979,0,3,0,0,5,886,90,0,1,0,1,0,981,273,136,71,150,32,83,60,2,31,9,2,2,44,4,47,2,6,0,4,0,0,0,11,3,0,0,2,4,1,0
