contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)"
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Maranathakerk,0233::SB1,3851 XR,1472,718,0,2,0,0,5,661,54,0,0,0,0,0,720,157,46,127,78,12,19,26,104,27,6,31,3,30,2,26,3,11,0,0,1,0,4,3,1,0,0,0,1,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Chr. Ger. Kerk,0233::SB2,3851 XA,1762,1088,0,0,0,0,4,966,119,0,0,1,0,0,1089,300,84,118,137,31,25,19,104,33,5,62,1,70,0,51,2,23,3,3,0,1,3,8,0,0,1,1,3,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Dialoog,0233::SB3,3851 NT,1659,1208,4,2,0,0,17,1100,98,0,0,1,0,0,1215,271,95,135,158,60,39,45,124,37,8,58,2,85,6,38,4,21,2,1,1,1,2,7,1,0,0,1,0,2,4
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rehobothkerk,0233::SB4,3851 LH,1279,950,0,1,0,0,5,875,71,0,0,0,0,0,951,228,119,95,89,33,27,34,94,33,2,91,1,54,2,19,0,8,0,2,1,0,3,6,0,3,0,0,4,0,2
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Dindoa,0233::SB5,3853 PT,1212,620,1,1,0,0,4,561,57,0,0,0,0,0,622,95,86,86,62,26,20,24,67,19,3,42,5,34,3,19,6,10,0,1,0,0,1,11,0,0,0,0,0,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Baanveger,0233::SB6,3851 CP,1270,798,0,3,0,0,1,734,66,0,0,0,0,0,801,151,96,86,86,28,29,14,116,31,6,60,12,45,0,10,3,7,0,1,0,3,1,8,0,1,0,0,3,0,1
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Weth. Balverszaal 1,0233::SB7,3853 DT,1308,667,3,1,0,0,1,670,0,0,0,0,0,0,671,111,65,91,76,22,34,29,94,16,5,26,2,43,2,17,5,13,0,1,0,2,0,8,1,1,0,0,2,0,1
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum Calluna,0233::SB8,3851 BC,1363,983,0,0,0,0,4,887,91,0,1,0,0,0,982,158,105,92,99,46,30,37,139,36,12,94,7,73,0,28,2,11,0,3,0,0,2,4,0,0,0,2,3,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Oude School 's Heeren Loo,0233::SB9,3853 HD,1307,591,2,2,0,0,3,532,60,0,0,0,0,0,595,94,50,78,67,24,19,18,74,31,8,45,1,41,0,14,2,7,0,0,1,1,0,9,2,0,0,1,2,0,2
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ons Huis,0233::SB10,3853 LN,1320,965,0,0,0,0,0,852,113,0,0,0,0,0,965,194,75,174,70,12,22,10,77,14,9,146,0,79,0,27,5,13,0,0,1,1,0,29,2,1,0,4,0,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau RK Kerk,0233::SB11,3852 XB,1657,834,2,3,0,0,4,751,84,0,0,0,0,0,839,206,69,87,109,24,29,13,107,35,6,42,9,42,1,17,1,20,0,1,0,0,6,3,2,1,1,1,2,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Weth. Balverszaal 2,0233::SB12,3853 DT,902,632,0,1,0,0,2,631,0,0,0,0,0,0,633,100,54,88,58,25,24,24,97,16,6,38,5,57,2,12,4,12,0,0,0,2,2,4,1,0,0,1,0,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Triade,0233::SB13,3852 ZX,1480,1043,2,0,0,0,11,935,99,0,0,0,0,0,1045,233,73,133,136,43,43,38,156,29,7,52,3,40,1,24,3,19,0,1,0,0,0,6,0,0,0,0,3,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau SmdB Speulderbrink,0233::SB14,3852 NH,601,487,2,0,0,0,1,427,61,0,0,0,0,0,489,88,28,50,33,8,2,4,31,25,1,157,1,29,0,15,0,5,0,0,0,0,0,9,0,0,0,0,0,0,1
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Westerkerk,0233::SB15,3853 JK,1502,1203,2,0,0,0,1,1107,97,0,0,0,0,0,1205,215,104,164,144,46,39,56,161,47,6,55,6,82,6,29,6,13,0,0,1,0,3,12,0,0,1,4,3,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hotel Dennenheul,0233::SB16,3851 ZH,1175,500,2,0,0,0,0,462,39,0,1,0,0,0,501,90,49,55,43,20,38,8,53,20,1,46,1,37,1,15,2,7,0,2,0,1,3,3,0,1,1,3,0,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Poststemmen De Dialoog Theaterzaal 1 test,0233::SB17,3851 NT,0,1993,2,2,0,0,0,0,0,0,5,0,0,0,1992,387,99,585,127,36,78,104,299,50,31,125,1,15,0,36,2,10,0,1,0,0,0,0,0,2,2,3,0,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Poststemmen De Dialoog Theaterzaal 2,0233::SB18,3851 NT,0,49,0,0,0,0,0,0,0,0,0,0,0,0,49,6,3,13,4,1,3,1,5,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Dialoog 15 maart,0233::SB20,3851 NT,0,559,2,0,0,0,8,502,51,0,0,0,0,0,561,120,47,110,68,17,30,23,74,18,2,20,1,4,0,12,0,4,0,0,0,3,1,3,0,0,1,0,0,0,1
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Dialoog 16 maart,0233::SB21,3851 NT,0,449,0,2,0,0,3,408,39,0,1,0,0,0,450,97,30,82,53,14,23,21,48,11,2,24,0,10,1,20,0,5,1,0,0,1,1,5,0,0,0,0,0,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau RK kerk 15 maart,0233::SB22,3852 XB,0,367,1,1,0,0,4,340,25,0,0,0,0,0,369,85,20,72,34,12,11,14,54,22,2,24,0,2,0,7,0,4,0,1,0,0,1,1,0,0,0,0,0,0,1
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau RK kerk 16 maart,0233::SB23,3852 XB,0,281,1,2,0,0,1,261,22,0,0,0,0,0,284,75,26,57,23,4,12,16,30,7,3,8,1,6,0,5,0,5,0,0,0,0,0,2,0,0,0,0,0,0,1
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Westerkerk 15 maart,0233::SB24,3853 JS,0,369,1,0,0,0,5,347,18,0,0,0,0,0,370,67,35,59,35,12,12,21,75,6,2,18,0,3,1,10,0,2,0,0,0,0,1,2,2,5,0,1,0,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Westerkerk 16 maart,0233::SB25,3853 XB,0,313,0,1,0,0,1,274,39,0,0,0,0,0,314,55,31,35,28,12,23,14,52,8,1,17,8,9,3,11,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 26 Tellokaal bureau 20 en 21,0233::SB26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnhem,Ermelo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 27 Tellokaal bureau 22 en 23,0233::SB27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
