contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),Wij zijn Nederland
Maastricht,Nederweert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis De Pinnenhof,0946::SB4,6031 BX,1227,1061,2,0,0,0,1,950,112,0,0,0,0,0,1063,296,145,129,146,34,72,56,5,21,19,0,0,57,0,29,7,17,0,1,0,5,0,20,1,0,0,0,1,0,0,0
Maastricht,Nederweert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis Pestoeërskoel,0946::SB5,6091 PD,855,614,0,0,0,1,3,528,84,0,0,1,0,0,615,122,81,105,86,19,39,27,4,17,1,3,2,41,1,8,7,17,0,3,0,0,3,25,0,0,1,0,2,0,0,0
Maastricht,Nederweert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Thomashuis Ospeldijk,0946::SB9,6035 RB,567,410,0,0,0,0,1,361,48,0,0,0,0,0,410,95,50,51,39,10,28,12,3,17,7,0,0,30,0,11,1,8,0,1,0,3,1,40,0,0,0,3,0,0,0,0
Maastricht,Nederweert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis Reigershorst,0946::SB10,6034 TE,1252,944,4,0,0,0,7,849,92,0,0,0,0,0,948,230,125,169,116,25,36,51,5,32,8,1,2,32,3,22,5,7,1,1,0,0,4,51,5,3,0,2,5,0,3,0
Maastricht,Nederweert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zaal Centraal,0946::SB12,6031 CG,1716,1147,3,1,0,0,1,983,167,0,0,0,0,0,1151,319,142,167,176,53,69,38,4,21,8,2,0,51,3,44,4,12,1,0,0,4,2,23,0,0,0,1,1,0,2,0
Maastricht,Nederweert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café De Schans,0946::SB13,6031 BG,1509,995,1,0,0,0,0,904,92,0,0,0,0,0,996,268,158,114,115,32,82,36,13,27,15,0,0,52,1,23,1,15,0,7,0,4,2,23,1,1,1,3,0,0,1,0
Maastricht,Nederweert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Ospel,0946::SB14,6035 AS,1477,907,1,0,0,1,1,795,113,0,0,1,0,0,909,235,148,154,90,31,47,24,1,9,12,0,1,49,2,36,4,10,0,0,1,4,2,42,1,1,0,0,0,0,3,0
Maastricht,Nederweert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum De Bengele 1,0946::SB15,6031 TZ,818,349,0,0,0,0,0,307,42,0,0,0,0,0,349,66,57,57,33,12,45,45,6,3,7,0,0,7,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maastricht,Nederweert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum De Bengele 2,0946::SB16,6031 TZ,800,417,0,1,0,0,0,372,46,0,0,0,0,0,418,117,59,55,50,16,47,20,2,12,6,2,0,8,0,15,2,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Maastricht,Nederweert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum De Bengele 3,0946::SB17,6031 TZ,800,651,2,1,0,0,0,577,77,0,0,0,0,0,654,163,100,85,80,13,49,26,5,14,11,1,2,56,1,20,7,11,0,2,0,1,0,3,0,0,0,0,1,0,0,0
