contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Tilburg,Gilze en Rijen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Gilze en Rijen,0784::SB1,5121 JX,1980,928,4,1,0,0,3,835,95,0,0,0,0,0,933,205,145,54,134,36,57,43,4,35,9,0,54,77,7,24,1,10,2,3,0,3,7,6,2,4,0,1,0,1,1,3,,
Tilburg,Gilze en Rijen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Boodschap,0784::SB2,5121 BC,1676,934,1,4,0,1,0,835,103,0,1,0,0,0,938,218,143,38,144,51,82,37,9,34,12,2,31,62,6,20,0,11,7,3,1,4,4,10,1,2,1,0,0,0,0,1,,
Tilburg,Gilze en Rijen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Burg. van Mierloschool,0784::SB3,5121 HT,1475,684,0,0,0,1,1,577,107,0,0,1,0,0,685,168,122,48,83,27,36,34,7,25,12,0,38,48,1,14,2,11,1,1,0,0,1,1,1,0,1,0,0,0,2,0,,
Tilburg,Gilze en Rijen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal school De Brakken,0784::SB4,5121 EM,2206,1579,2,9,0,1,0,1409,182,0,0,1,0,0,1591,407,180,156,206,93,128,75,6,41,23,1,49,89,5,36,4,27,1,6,0,5,15,18,0,0,2,2,0,0,1,3,,
Tilburg,Gilze en Rijen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sint Jozefschool,0784::SB5,5121 EG,2184,1331,0,7,0,0,2,1219,117,0,0,0,0,0,1338,355,145,94,204,77,103,61,10,43,13,6,45,77,1,36,4,28,5,5,0,2,3,5,1,0,4,1,0,2,0,1,,
Tilburg,Gilze en Rijen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hal NS-station,0784::SB6,5121 EA,2331,1701,1,1,0,0,6,1522,175,0,0,0,0,0,1703,495,158,127,270,77,121,66,22,39,14,1,59,113,6,40,6,49,3,2,0,5,7,8,0,4,4,1,0,2,0,2,,
Tilburg,Gilze en Rijen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Woonstichting Leystromen,0784::SB7,5121 LN,999,613,0,0,0,0,5,548,60,0,0,0,0,0,613,162,106,43,76,17,56,24,4,11,7,2,25,35,0,18,3,9,0,2,1,3,2,2,1,0,2,0,0,1,0,1,,
Tilburg,Gilze en Rijen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Schakel,0784::SB8,5126 GD,1899,1087,2,1,0,0,1,994,95,0,0,0,0,0,1090,372,106,102,158,32,60,44,7,35,17,1,1,62,2,27,3,13,1,1,4,3,0,28,1,2,2,0,0,2,0,1,,
Tilburg,Gilze en Rijen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Achter de Tuintjes,0784::SB9,5126 HA,1964,1657,2,2,0,0,2,1505,154,0,0,0,0,0,1661,509,189,181,265,47,108,61,3,35,25,1,3,95,3,60,8,33,0,0,1,3,5,17,2,1,0,0,0,2,0,0,,
Tilburg,Gilze en Rijen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Heemkring Molenheide,0784::SB10,5126 CE,2210,928,3,2,0,2,0,842,93,0,0,2,0,0,935,285,100,55,166,34,52,46,4,25,17,1,4,58,0,28,7,20,0,3,0,2,3,16,2,0,0,0,0,0,0,0,,
