contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland
Den Helder,Heiloo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Heiloo,0399::SB1,1851 JL,2049,1361,4,2,0,1,9,1201,158,0,0,1,0,0,1368,382,79,84,324,78,33,51,13,85,6,2,5,80,7,41,1,47,1,6,0,3,11,10,3,2,1,0,2,0,4,0,0
Den Helder,Heiloo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultureel centrum de Strandwal 1,0399::SB2,1851 VN,1699,1187,1,6,0,2,4,1074,118,0,0,2,0,0,1196,350,91,75,255,67,45,60,11,68,9,2,1,42,4,33,9,30,3,2,3,1,11,5,3,0,1,1,2,0,2,1,0
Den Helder,Heiloo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Het Vennewater 1,0399::SB3,1852 JC,2142,879,0,0,0,0,0,796,83,0,0,0,0,0,879,199,55,67,210,55,42,44,10,61,4,1,5,40,4,29,0,26,0,5,2,3,7,4,1,2,0,0,1,0,2,0,0
Den Helder,Heiloo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bowling Heiloo,0399::SB4,1851 ND,1964,1683,1,0,0,4,8,1531,149,0,0,4,0,0,1688,480,116,105,321,107,65,75,24,95,11,4,1,96,7,62,8,62,0,3,1,3,9,12,2,2,0,0,6,0,3,3,0
Den Helder,Heiloo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultureel centrum de Strandwal 2,0399::SB5,1851 VN,1930,1123,2,1,0,0,0,1034,92,0,0,0,0,0,1126,320,99,97,212,74,48,34,13,51,15,3,4,52,3,31,6,37,1,3,1,0,3,11,0,1,1,0,1,0,2,0,0
Den Helder,Heiloo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Atletiekgebouw Trias,0399::SB6,1852 RH,1491,1044,0,0,0,2,3,953,90,0,0,2,0,0,1046,288,60,64,270,52,41,43,9,66,0,2,1,42,3,24,3,44,0,6,0,2,3,12,1,0,6,0,0,0,2,0,0
Den Helder,Heiloo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bibliotheek Heiloo,0399::SB7,1852 AR,1831,1332,2,1,0,0,5,1221,109,0,0,0,0,0,1335,307,88,98,275,99,74,58,20,98,7,0,11,60,3,33,7,53,2,7,4,1,8,5,0,2,1,0,5,0,5,1,0
Den Helder,Heiloo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Het Vennewater 2,0399::SB8,1852 JC,1839,934,1,0,0,4,2,858,79,0,0,4,0,0,939,250,52,54,186,52,41,43,9,66,8,2,5,72,2,35,3,29,0,7,0,1,6,5,2,1,1,0,0,0,0,2,0
Den Helder,Heiloo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Theater de Beun,0399::SB9,1851 HB,1434,1130,3,3,0,2,1,1082,55,0,0,2,0,0,1138,274,79,59,286,83,33,54,12,73,7,6,0,66,3,26,2,37,0,5,0,0,10,9,2,0,0,1,0,0,2,1,0
Den Helder,Heiloo,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Het Vennewater 3,0399::SB10,1852 JC,1833,952,2,0,0,0,3,865,86,0,0,0,0,0,954,267,52,48,225,84,35,50,14,56,5,2,0,37,3,31,1,22,0,2,0,2,4,5,0,0,0,0,1,0,6,0,0
