contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0398::SB1,1703 EZ,0,4060,8,12,1,4,,,,,0,5,,,4085,0,0,1046,282,793,409,113,307,499,138,132,128,13,3,39,1,66,16,29,2,0,0,2,1,10,4,20,1,2,3,0,1,0,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cool Kunst en Cultuur #1,0398::SB2,1703 XC,3426,1628,3,4,0,0,1,1442,192,0,0,0,0,0,1635,,,379,150,92,251,102,129,71,46,70,12,3,24,118,21,53,9,46,4,8,1,7,4,9,2,1,0,1,3,1,7,4,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum Noorderend #1,0398::SB3,1704 BR,2144,738,1,4,0,0,4,649,90,0,0,0,0,0,743,,,252,66,103,77,17,23,8,8,18,4,0,2,57,0,24,2,10,0,0,1,1,3,54,0,0,0,0,4,0,1,3,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Waardergolf #1,0398::SB4,1701 DA,1547,994,7,4,0,0,0,905,100,0,0,0,0,0,1005,,,220,144,61,140,45,74,40,24,30,5,6,22,103,3,20,9,15,4,2,2,2,2,8,3,1,0,1,6,1,0,1,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Zuid #1,0398::SB5,1705 LM,2054,1631,2,5,3,0,3,1424,208,0,0,3,0,0,1635,,,466,138,112,283,88,77,50,31,66,15,2,27,114,6,44,5,44,2,11,3,5,13,12,2,0,4,4,2,0,3,2,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal de Draai #1,0398::SB6,1706 AJ,1099,916,2,1,0,0,1,917,1,0,0,0,0,0,919,,,255,93,59,125,38,43,33,14,41,11,1,13,97,5,30,12,20,3,5,1,2,7,3,0,0,1,1,2,0,1,0,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Familieschool #1,0398::SB7,1702 PA,1989,1502,2,4,0,0,1,1339,168,0,0,0,0,0,1508,,,431,170,112,213,62,84,63,20,42,18,8,29,103,10,55,13,29,0,1,1,4,8,16,0,0,1,1,4,2,0,2,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal de Geul #1,0398::SB8,1703 KZ,2820,1270,5,3,4,3,3,1150,132,0,0,7,0,0,1285,,,264,173,62,156,62,107,64,18,54,17,1,31,141,5,33,13,15,8,4,0,3,9,12,0,1,2,0,10,0,3,2,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Johannes Boscoschool #1,0398::SB9,1702 CL,2357,611,0,2,0,0,1,559,53,0,0,0,0,0,613,,,137,80,39,100,31,37,29,15,26,7,0,7,51,1,15,7,15,2,2,0,3,3,1,2,0,0,0,1,0,0,0,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Drive Through #1,0398::SB10,1705 PA,1711,1010,1,3,0,0,5,870,140,1,0,1,0,0,1015,,,302,106,46,152,48,33,26,17,37,7,3,20,86,6,37,8,33,4,5,0,3,11,6,2,2,1,0,5,0,4,0,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cool Kunst en Cultuur #2,0398::SB202,1703 XC,3212,1889,1,2,0,0,1,1693,213,0,0,15,0,0,1907,,,426,174,138,317,116,136,89,54,79,25,6,10,146,13,40,22,42,2,12,3,7,12,5,5,1,1,0,5,0,2,1,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Noorderend #2,0398::SB302,1704 BR,1981,664,0,0,0,1,0,592,71,0,1,0,0,0,663,,,233,67,74,67,18,21,21,9,14,3,0,1,41,1,26,3,6,0,1,1,2,1,51,0,0,0,0,2,0,0,1,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Waardergolf #2,0398::SB402,1701 DA,1875,1095,6,2,0,0,3,989,111,0,0,0,0,0,1103,,,249,134,54,153,56,80,42,23,44,18,5,23,104,9,29,11,21,2,3,2,3,8,7,0,2,0,1,10,0,1,1,0
Den Helder,Heerhugowaard,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Waardergolf #3,0398::SB403,1701 DA,1626,1265,1,0,0,0,2,1137,127,0,0,0,0,0,1266,,,302,138,64,198,60,90,60,28,49,11,5,29,102,8,44,9,27,2,4,1,7,8,5,2,0,0,1,5,0,4,2,0
