contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Kerkdriel,0263::SB1,5331 CB,962,1198,1,3,0,1,1,1025,175,0,1,0,0,0,1201,388,276,67,113,24,74,28,8,17,6,4,7,87,0,54,6,18,0,5,1,3,2,4,1,0,0,0,2,1,2,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis* Kerkdriel,0263::SB2,5331 CB,1086,1141,1,2,0,0,2,998,145,1,0,1,0,0,1145,337,267,93,118,19,48,35,6,25,4,3,12,86,3,45,6,17,1,1,1,1,0,5,2,1,0,0,3,1,1,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFC De Kreek,0263::SB4,5331 KC,1089,555,1,1,0,0,0,465,92,0,0,0,0,0,557,187,116,42,71,3,16,4,1,12,6,0,1,51,0,23,4,10,0,0,0,1,0,4,0,0,0,0,1,0,2,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFC De Kreek*,0263::SB5,5331 KC,938,616,0,0,0,0,0,501,116,1,0,1,0,0,617,188,147,51,52,7,23,15,2,9,7,0,4,56,0,35,1,8,0,4,0,1,0,1,0,0,0,2,1,1,1,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Boxhof,0263::SB6,5334 JR,884,1017,1,3,0,0,3,842,176,0,0,0,0,0,1021,339,244,103,59,12,47,12,6,13,2,5,1,95,0,32,6,9,0,6,0,2,0,21,1,1,0,0,1,0,0,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Gelre's End,0263::SB7,5321 GG,858,602,2,0,0,1,1,542,63,1,0,2,0,0,606,169,90,53,77,14,32,30,9,8,7,24,2,52,0,14,6,6,0,0,0,0,0,6,1,0,0,0,1,1,0,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rehoboth,0263::SB8,5321 TM,1168,1111,1,0,0,1,5,988,118,0,1,0,0,0,1111,307,132,110,156,26,59,19,40,19,17,108,5,48,2,22,6,16,0,0,0,1,8,9,0,0,0,0,1,0,0,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Weesboom,0263::SB12,5324 AT,1066,1081,3,1,0,0,0,945,140,0,0,0,0,0,1085,362,187,143,110,25,42,19,7,27,12,6,6,41,1,45,3,14,0,3,0,4,3,10,1,2,0,0,6,1,1,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Ons Huis,0263::SB13,5325 XE,961,617,0,0,0,0,1,558,58,0,0,0,0,0,617,177,85,93,52,13,34,12,26,8,9,38,2,24,0,17,2,12,0,0,1,0,2,8,0,0,0,0,1,1,0,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Steen,0263::SB14,6624 AN,851,705,1,0,0,0,3,621,82,0,0,0,0,0,706,166,146,33,80,36,61,37,2,18,5,3,3,59,0,24,4,19,0,0,0,1,3,3,1,0,0,0,0,0,1,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Kil,0263::SB17,5327 AR,924,598,1,0,0,1,2,527,71,0,0,1,0,0,600,175,82,41,102,23,28,17,5,27,10,5,0,23,2,16,1,10,0,0,0,3,2,22,0,0,0,0,1,2,1,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Drie Linden,0263::SB18,5335 LK,1111,463,0,0,0,0,0,415,48,0,0,0,0,0,463,121,73,73,47,8,42,15,2,21,6,2,0,29,0,13,2,4,0,1,0,0,2,2,0,0,0,0,0,0,0,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Gelre's End*,0263::SB19,5321 GG,1087,544,2,2,1,0,0,470,77,0,1,0,0,0,547,156,89,41,70,5,34,20,8,11,8,23,0,40,1,13,0,5,0,0,0,0,2,13,0,2,0,0,1,2,0,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal De Treffer,0263::SB21,5324 AC,864,781,1,0,0,0,2,660,119,0,1,0,1,0,781,248,148,96,86,15,45,29,5,16,11,1,1,40,0,24,0,6,0,0,0,0,2,3,0,1,0,0,4,0,0,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Bogerd,0263::SB22,5328 GW,902,705,1,1,0,0,1,620,86,0,0,0,0,0,707,210,103,74,111,19,44,22,4,32,8,6,1,34,1,12,3,13,0,0,0,1,0,5,0,0,0,0,2,0,0,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Bogerd*,0263::SB23,5328 GW,821,669,2,2,0,3,0,588,88,0,0,3,0,0,676,207,93,66,106,32,34,19,8,20,2,2,0,31,1,15,1,16,0,2,0,1,0,10,1,0,0,0,0,1,1,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Kerkdriel (1),0263::SB24,5331 CB,0,471,2,2,0,0,0,423,52,0,0,0,0,0,475,142,83,81,38,10,43,28,6,8,2,3,1,8,0,6,0,8,0,1,0,0,0,0,0,1,0,0,0,2,0,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Kerkdriel (2),0263::SB25,5331 CB,0,509,2,5,0,0,4,430,82,0,0,0,0,0,516,172,114,53,35,8,36,25,2,10,10,0,2,17,0,15,0,2,5,0,0,1,0,0,0,0,1,0,0,0,1,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Gelre's End (1),0263::SB26,5321 GG,0,374,0,0,0,0,3,326,45,0,0,0,0,0,374,109,50,57,39,3,31,25,12,7,7,15,0,3,0,5,0,4,0,1,0,2,0,1,0,1,0,0,2,0,0,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Gelre's End (2),0263::SB27,5321 GG,0,344,0,0,0,0,0,313,31,0,0,0,0,0,344,78,57,49,47,10,27,13,5,13,7,11,0,7,0,5,4,5,0,0,0,0,0,1,0,0,0,1,2,0,2,,
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 2,0263::SB28,5331 CB,3345,1215,2,0,0,1,,,,,0,1,,,1218,370,132,256,85,17,113,91,42,16,24,21,3,11,0,21,0,8,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
Nijmegen,Maasdriel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 2,0263::SB29,5331 CB,0,235,0,0,0,0,0,235,0,0,0,0,0,0,235,56,41,45,13,8,18,11,2,5,11,6,0,3,0,8,0,4,0,0,0,1,0,0,0,2,0,0,0,1,0,,
