contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,Partij van de Eenheid,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Meerpaal,0303::SB1,8251 EX,1297,864,1,3,0,0,10,770,88,0,0,0,0,0,868,183,90,101,98,41,43,28,49,31,6,12,24,68,2,18,3,15,4,5,0,0,4,32,1,2,0,4,0,0,,
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Meerpaal,0303::SB2,8251 EX,1297,994,4,1,0,2,9,899,93,0,0,2,0,0,1001,231,95,105,111,45,65,41,47,33,9,15,18,82,4,26,7,12,1,4,0,2,5,35,0,1,0,0,0,0,,
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine Sportvereniging Reaal,0303::SB3,8253 BA,1298,1496,0,2,0,0,4,1345,150,1,0,1,0,0,1499,428,115,185,195,68,48,40,94,41,15,13,2,102,6,48,10,25,0,1,0,3,4,50,0,0,0,2,1,0,,
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal De Beurs,0303::SB4,8253 EA,1298,1174,0,1,0,0,2,1029,144,0,0,0,0,0,1175,361,96,125,176,49,35,33,72,19,7,15,10,75,3,40,5,21,3,2,0,1,5,17,0,0,1,3,0,0,,
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal De Beurs,0303::SB5,8253 EA,1298,1028,1,1,0,0,3,885,142,0,0,0,0,0,1030,316,86,117,125,41,39,26,75,32,7,9,10,68,1,30,3,17,3,4,2,3,2,11,0,1,0,0,0,0,,
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal De Beurs,0303::SB6,8253 EA,1297,1032,3,0,0,0,3,903,129,0,0,0,0,0,1035,307,78,86,160,62,38,39,80,21,10,7,2,66,2,38,4,10,0,2,0,2,6,11,0,0,0,1,0,0,,
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Remise brandweerkazerne,0303::SB7,8251 KP,1297,1333,1,3,0,0,3,1202,132,0,0,0,0,0,1337,294,156,119,167,48,67,43,69,62,8,26,19,98,2,66,7,24,0,6,0,1,6,37,0,2,5,1,0,0,,
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkcentrum De Ark,0303::SB8,8251 CV,1297,752,0,1,0,0,2,693,58,0,0,0,0,0,753,125,48,131,91,18,39,29,83,21,3,12,8,62,7,25,2,12,3,0,0,1,2,28,0,0,2,0,0,0,,
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingskerk,0303::SB9,8251 LD,1297,996,0,0,0,0,1,901,94,0,0,0,0,0,996,165,113,114,105,49,77,38,99,29,9,20,30,48,4,36,3,6,5,3,1,1,3,27,1,1,3,4,0,2,,
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal De Landing,0303::SB10,8251 TJ,1297,1009,1,0,0,0,1,903,106,0,0,0,0,0,1010,209,118,115,130,38,59,45,78,32,11,12,4,76,3,40,3,14,0,4,0,3,5,7,1,1,1,0,0,0,,
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal De Landing,0303::SB11,8251 TJ,1297,1020,0,1,0,0,4,921,96,0,0,0,0,0,1021,231,110,104,120,58,60,38,72,37,12,9,2,73,3,33,2,23,1,2,0,3,5,18,1,0,2,1,0,0,,
Lelystad,Dronten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubhuis Golfresidentie,0303::SB12,8251 NS,1297,841,0,0,0,0,3,759,79,0,0,0,0,0,841,318,67,86,115,28,16,21,33,18,1,12,2,34,3,39,0,19,0,1,0,1,1,22,1,1,0,2,0,0,,
