contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum het Verlaat,1959::SB1,4286 DB,1636,1159,2,0,0,6,0,1032,135,0,0,6,0,0,1167,205,135,194,103,27,69,19,176,29,8,42,1,82,3,22,3,14,0,4,0,0,0,21,0,2,0,0,0,0,0,0,,
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine VV Almkerk,1959::SB2,4286 ES,1317,681,0,0,0,0,1,585,95,0,0,0,0,0,681,158,62,124,62,23,15,9,101,16,6,9,0,43,0,19,1,11,0,0,0,1,5,12,2,2,0,0,0,0,0,0,,
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hervormd Centrum De Ark,1959::SB3,4281 LH,1013,868,0,3,0,0,0,760,111,0,0,0,0,0,871,150,114,112,66,10,31,18,120,20,9,114,0,71,0,9,2,11,0,1,0,0,1,3,1,1,0,2,0,1,0,1,,
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Buitenhoff Zalen & Partycentrum,1959::SB4,4281 NX,891,510,0,0,0,0,0,442,68,0,0,0,0,0,510,99,55,82,27,6,13,6,70,9,9,54,0,52,0,10,2,10,0,0,0,3,1,1,0,0,0,1,0,0,0,0,,
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gerefomeerde Kerk De Hoeksteen,1959::SB5,4271 AN,891,585,0,1,0,0,0,509,77,0,0,0,0,0,586,151,97,94,44,12,30,17,40,16,7,23,0,24,2,10,1,4,0,0,0,2,0,9,2,0,0,0,0,0,0,0,,
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Dussenaar,1959::SB6,4271 AX,1085,774,0,0,0,0,3,676,95,0,0,0,0,0,774,198,147,97,66,18,35,23,33,30,8,9,0,58,0,24,3,4,0,3,1,2,1,7,2,0,0,3,0,0,0,2,,
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Eethen,1959::SB7,4266 ER,990,775,0,0,0,0,2,691,82,0,0,0,0,0,775,194,118,107,52,8,38,19,54,39,10,25,0,53,3,16,2,11,0,0,1,3,2,18,2,0,0,0,0,0,0,0,,
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Genderen,1959::SB8,4265 JG,1323,1029,1,0,0,2,4,903,125,0,0,2,0,0,1032,242,137,167,73,14,45,15,141,34,3,39,0,61,1,24,4,10,0,2,0,0,1,13,0,0,0,0,0,1,0,2,,
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Brabantse Land,1959::SB9,4283 GM,1219,905,0,0,0,0,0,811,94,0,0,0,0,0,905,183,104,134,46,20,39,19,131,12,2,69,0,88,0,19,2,14,0,3,0,1,2,10,0,2,1,2,0,1,0,1,,
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Steunpunt De Dotter,1959::SB10,4273 CG,1645,818,0,2,0,0,2,732,86,0,0,0,0,0,820,230,145,63,75,19,50,36,18,23,4,4,2,70,2,30,5,6,2,1,1,1,5,21,0,1,1,2,0,0,0,1,,
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Basisschool de Bolderik,1959::SB11,4273 ET,1845,1171,2,0,0,0,1,1031,141,0,0,0,0,0,1173,388,209,113,123,24,69,29,14,22,6,5,4,84,5,28,7,12,0,1,0,0,3,12,0,3,5,3,0,1,0,1,,
Tilburg,Altena,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Meeuwen,1959::SB12,4268 GJ,925,627,0,0,0,0,0,557,70,0,0,0,0,0,627,133,41,67,38,11,19,15,84,19,1,126,0,35,2,17,1,5,0,1,0,0,1,11,0,0,0,0,0,0,0,0,,
