contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Middelburg,Tholen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Ver.gebouw ""de Wingerd""",0716::SB1,4691 BP,1401,954,0,0,0,0,0,821,134,0,0,1,0,1,955,186,107,63,70,22,44,29,105,27,8,191,3,51,0,16,4,13,0,0,1,0,3,9,1,0,0,1,0,0,,
Middelburg,Tholen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis Tholen,0716::SB2,4691 DV,1352,740,3,2,0,0,4,658,83,0,0,0,0,0,745,143,99,50,60,11,27,18,57,23,5,138,9,53,1,28,2,6,0,3,0,1,0,5,0,0,0,1,0,0,,
Middelburg,Tholen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Gemeenschapscentrum ""Meulvliet""",0716::SB3,4691 HT,1413,1072,0,1,0,1,2,897,173,0,1,0,0,0,1072,159,120,89,58,26,48,29,98,21,9,259,27,70,3,27,2,8,8,1,0,2,0,6,0,0,0,2,0,0,,
Middelburg,Tholen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Zalencentrum Ger.Gemeente,0716::SB4,4691 DS,2068,1190,0,2,0,0,3,961,228,0,0,0,0,0,1192,221,93,92,74,23,46,27,121,26,12,322,2,68,1,31,1,8,0,0,1,1,1,15,1,2,0,1,0,0,,
Middelburg,Tholen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis 't Ouwe Raed' uus,0716::SB5,4693 BV,1253,847,2,2,0,0,0,728,123,0,0,0,0,0,851,152,142,94,36,19,34,27,53,21,11,168,0,53,1,10,2,2,0,1,1,1,0,18,0,0,0,1,0,0,,
Middelburg,Tholen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sassegrave,0716::SB6,4694 BP,1308,951,0,1,0,0,1,763,188,0,0,0,0,0,952,85,95,75,31,6,29,23,27,15,1,466,0,49,0,15,2,3,0,3,0,0,0,17,1,1,0,6,1,0,,
Middelburg,Tholen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Gemeenschapscentrum ""Haestinge""",0716::SB7,4695 BA,1508,920,1,2,0,1,2,804,118,0,0,1,0,0,924,174,154,70,57,16,43,46,22,30,10,136,14,77,2,29,1,9,1,4,1,0,1,17,1,1,1,1,2,0,,
Middelburg,Tholen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gebouw Calvijn,0716::SB8,4695 CE,1109,489,0,0,0,0,1,397,91,0,0,0,0,0,489,74,95,26,19,2,30,21,30,12,1,116,2,30,2,15,1,0,2,0,0,0,0,11,0,0,0,0,0,0,,
Middelburg,Tholen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis de Stove,0716::SB9,4696 BK,1243,864,3,0,0,1,1,667,200,0,0,1,0,0,868,85,99,34,26,7,32,22,38,6,7,410,0,42,1,14,3,1,0,3,0,0,0,33,1,0,0,0,0,0,,
Middelburg,Tholen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Museum de Meestoof,0716::SB10,4697 GE,1485,920,0,0,0,3,3,791,129,0,0,3,0,0,923,226,119,95,54,25,41,31,51,14,7,152,0,45,0,28,4,6,0,2,2,0,1,16,0,0,1,0,0,0,,
