contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis voor Cultuur & Bestuur,0163::SB1,7442 MA,1195,748,1,6,0,0,9,683,63,0,0,0,0,0,755,188,70,122,108,24,58,27,21,26,1,5,0,40,1,22,1,11,0,1,0,0,3,13,0,0,0,2,2,0,2,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gebouw OZO,0163::SB2,7441 DW,1629,972,1,1,0,0,2,894,78,0,0,0,0,0,974,236,91,192,161,36,47,38,40,24,5,1,2,35,0,17,5,13,0,0,0,1,1,19,1,1,1,0,3,0,1,0,1,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Prinses Marijkeschool,0163::SB3,7441 BH,1527,1093,0,1,0,1,4,1089,2,0,0,1,0,0,1095,338,66,207,171,25,39,36,46,28,4,0,1,54,2,30,3,14,0,1,0,1,2,24,0,0,0,0,1,0,0,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw de Brake,0163::SB4,7442 AX,1374,743,0,6,0,0,0,692,57,0,0,0,0,0,749,115,104,127,93,13,60,40,38,20,9,7,2,58,1,13,7,13,1,2,0,2,2,10,1,0,2,2,1,0,0,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw Blokkendoos,0163::SB5,7442 TH,1224,847,1,0,0,6,2,790,62,0,0,6,0,0,854,150,124,143,97,33,83,18,24,14,6,5,0,54,2,27,6,7,0,0,1,1,4,38,0,0,6,0,4,0,0,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw 't Diekhuus,0163::SB6,7442 ZL,1295,765,1,1,0,0,1,696,70,0,0,0,0,0,767,153,115,112,86,22,60,30,44,13,7,5,1,40,5,14,3,14,2,4,0,0,3,24,0,0,2,1,3,0,1,0,1,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Groot Lochter,0163::SB7,7442 JH,1608,1207,0,2,0,1,1,1128,81,0,0,1,0,0,1210,200,177,200,135,42,96,40,58,21,16,7,21,103,3,24,5,14,0,6,2,1,0,22,4,1,2,3,2,0,2,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool de Meander,0163::SB8,7442 BM,1164,851,0,1,0,0,0,772,80,0,0,0,0,0,852,234,108,146,106,13,47,20,29,15,6,3,0,65,4,16,3,5,0,1,1,0,0,22,0,1,1,1,4,0,0,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Scholengemeenschap Reggesteyn,0163::SB9,7443 XG,1605,1030,1,0,0,0,0,945,86,0,0,0,0,0,1031,315,68,163,171,26,36,33,31,22,12,4,0,52,3,29,5,26,0,1,1,0,4,25,0,1,0,0,1,0,1,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Noaberhuus,0163::SB10,7447 CM,1217,766,3,0,0,1,18,692,60,0,0,1,0,0,770,213,80,150,83,20,42,33,19,13,4,8,3,28,1,21,4,18,0,0,0,0,0,24,0,0,0,1,0,0,1,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Leerkamer Protestantse gemeente,0163::SB11,7447 HM,1294,915,1,0,0,0,5,827,84,0,0,0,0,0,916,267,71,197,126,30,41,24,29,16,5,3,0,27,0,21,3,15,0,0,1,1,2,34,0,0,0,0,2,0,0,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool de Es,0163::SB12,7447 GB,1316,960,0,3,0,0,5,867,91,0,0,0,0,0,963,275,80,177,143,20,25,42,34,13,7,2,0,35,0,18,8,17,0,0,0,1,2,56,0,1,2,0,1,0,1,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool de Schaapskooi,0163::SB13,7443 HC,2030,1279,1,0,0,0,2,1157,121,0,0,0,0,0,1280,296,117,199,167,52,76,60,73,26,13,12,0,81,2,38,9,9,4,3,0,1,4,31,0,0,2,0,4,0,0,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Sion,0163::SB14,7443 RB,1641,1199,0,1,0,0,0,1085,115,0,0,0,0,0,1200,350,71,224,169,37,76,18,56,20,7,4,1,57,2,31,9,17,0,2,0,2,0,41,0,0,0,0,2,1,2,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Kadiek,0163::SB16,7688 PW,1094,885,1,1,0,0,1,810,76,0,0,0,0,0,887,90,65,325,25,7,14,10,78,5,1,37,0,41,0,20,1,10,0,2,0,0,0,151,1,0,0,2,0,0,0,0,0,,
Zwolle,Hellendoorn,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kulturhus 't Trefpunt,0163::SB17,7687 AR,939,686,3,2,0,0,0,634,57,0,0,0,0,0,691,116,97,141,50,7,36,26,64,12,4,13,0,38,1,12,2,8,0,4,0,2,4,47,0,0,0,1,1,0,0,0,0,,
