contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0114::SB1,7811 AP,1301,847,1,0,0,0,8,747,93,0,0,0,0,0,848,207,97,81,122,45,59,47,23,22,8,2,2,61,4,29,3,12,4,3,0,3,4,7,0,0,0,0,0,2,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadskerk Emmen,0114::SB2,7824 AA,1572,670,0,1,0,0,1,594,76,0,0,0,0,0,671,198,55,50,122,26,38,35,36,16,7,3,0,37,1,16,1,15,0,0,0,3,4,6,0,0,0,1,0,0,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Goede Herderkerk,0114::SB3,7822 AD,954,634,2,0,0,1,0,576,59,0,1,0,0,0,635,143,71,69,96,21,38,36,56,27,4,4,2,24,0,13,7,15,0,0,0,0,2,6,0,0,0,0,0,0,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Atlas Theater,0114::SB4,7811 AP,1307,509,2,0,0,0,3,483,25,0,0,0,0,0,511,119,44,39,81,17,45,46,19,21,10,1,0,36,2,9,3,6,0,0,2,0,1,4,3,0,0,0,1,0,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Meerstede,0114::SB5,7815 BG,1876,886,3,4,0,0,1,797,95,0,0,0,0,0,893,119,224,57,67,29,89,72,15,27,16,11,6,91,0,19,3,8,0,1,1,1,4,4,2,0,4,0,12,2,2,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ichthus,0114::SB6,7815 RA,1245,789,1,0,0,0,0,726,64,0,0,0,0,0,790,180,126,61,87,40,66,51,33,30,8,1,5,59,2,17,4,5,0,1,0,1,1,3,2,0,1,2,1,1,1,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Nationaal Archief, locatie Emmen",0114::SB8,7815 SM,1176,391,2,0,0,1,5,374,15,0,0,1,0,0,394,70,52,39,58,21,33,20,12,17,3,2,6,28,2,2,1,8,1,1,1,2,0,7,0,0,0,2,3,0,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis 't Bargermeertje,0114::SB9,7811 LG,1091,472,3,4,0,0,0,417,62,0,0,0,0,0,479,92,94,38,52,5,34,48,6,9,3,0,9,42,4,7,4,8,3,0,0,0,3,6,1,1,0,0,3,0,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBK De Fabriek,0114::SB10,7812 BG,645,451,0,0,0,1,3,399,50,0,0,1,0,0,452,111,43,52,62,29,21,36,19,11,8,5,0,23,0,14,1,6,0,0,1,0,0,8,0,0,0,0,1,0,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis 't Hoefijzer Zuidbarge,0114::SB11,7812 AK,777,547,0,0,0,1,0,495,51,0,1,0,0,0,546,136,42,66,86,24,45,29,24,15,6,2,1,26,2,21,1,12,0,0,2,1,1,0,0,0,0,0,5,0,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Schanskuil,0114::SB12,7823 TJ,922,588,0,3,0,1,2,540,50,0,0,1,0,0,592,110,123,62,52,15,51,38,15,21,11,5,1,44,0,15,2,3,0,1,0,0,2,10,0,1,0,0,6,0,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Weerdinge,0114::SB13,7814 XV,573,484,1,2,0,0,2,438,47,0,0,0,0,0,487,112,49,36,73,8,30,17,32,20,16,3,0,35,4,10,1,9,0,2,0,2,4,19,0,0,0,0,2,0,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Marke,0114::SB14,7824 CW,2043,860,4,3,0,1,1,783,84,0,0,1,0,0,868,108,218,45,68,34,100,80,16,20,6,3,23,96,2,12,1,8,4,1,0,1,1,8,0,0,3,1,1,0,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkgebouw het Baken,0114::SB15,7824 JG,1747,906,1,3,0,0,1,819,90,0,0,0,0,0,910,83,192,30,76,28,94,78,23,17,18,3,108,96,2,5,3,11,4,4,0,4,0,16,2,0,0,1,5,3,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau St. Fransschool,0114::SB16,7815 JJ,1223,669,1,2,0,0,3,607,62,0,0,0,0,0,672,104,155,39,76,26,60,51,11,17,3,0,9,74,1,17,2,9,0,1,0,3,4,3,0,1,0,1,1,1,0,,
Assen,Emmen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Emmerhout,0114::SB19,7823 PE,1350,824,0,4,0,0,5,738,85,0,0,0,0,0,828,84,152,27,88,44,106,70,16,30,13,3,21,112,5,15,2,10,5,2,1,2,4,7,1,0,0,0,3,1,0,,
