contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),U-Buntu Connected Front,Partij van de Eenheid,Vrij en Sociaal Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Inspecteur S. de Vriesschool,0518::SB103,2555 MA,2078,503,0,3,0,1,0,464,43,0,0,1,0,0,507,122,80,21,63,25,25,19,12,43,3,1,10,35,3,9,12,15,1,2,0,1,0,0,0,1,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Parnassia,0518::SB107,2553 RH,701,531,2,1,0,8,3,482,41,0,8,0,0,0,526,137,49,28,89,28,28,31,18,43,4,7,11,24,4,9,4,10,0,2,0,1,4,0,0,0,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau HFCC Racing,0518::SB110,2544 EK,1698,527,0,0,0,0,1,471,55,0,0,0,0,0,527,108,113,15,58,21,28,15,11,29,6,4,27,54,5,8,12,6,1,2,1,1,1,0,0,0,0,1,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBS Leyenburg,0518::SB119,2547 VR,1592,884,0,0,0,7,3,793,95,0,0,7,0,0,891,191,154,43,127,53,47,36,24,42,3,0,22,60,10,17,23,12,5,5,1,2,4,0,1,2,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Hogeveld,0518::SB124,2548 HJ,579,631,0,1,0,0,0,536,96,0,0,0,0,0,632,153,83,27,96,26,27,25,5,17,7,0,79,34,1,15,6,10,6,1,0,3,6,0,0,1,1,1,1,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Geest,0518::SB125,2551 ZC,1514,412,0,0,0,0,0,356,56,0,0,0,0,0,412,49,99,11,42,24,34,17,6,22,3,2,20,47,6,6,15,1,1,1,0,1,1,0,2,1,0,0,0,0,1,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Serviceflat Dekkershaghe,0518::SB131,2551 GA,1772,610,4,2,0,1,0,565,52,0,0,1,0,0,617,151,93,45,78,19,30,26,13,43,9,1,11,45,2,15,15,4,0,1,0,1,4,1,2,1,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Centrum Bokkefort,0518::SB132,2552 KW,3677,1460,0,5,0,1,1,1281,182,0,1,0,0,0,1464,253,239,55,166,70,96,82,28,59,17,12,130,73,31,28,53,24,17,4,1,0,10,6,0,0,0,1,3,1,1,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Zuidhaghe,0518::SB133,2543 GJ,334,168,1,1,0,0,2,133,35,0,0,0,0,0,170,19,22,10,19,11,4,10,3,3,0,7,31,6,3,1,5,0,9,3,1,0,0,0,0,0,1,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau HV & CV Quick,0518::SB138,2566 BZ,2040,984,2,1,0,2,5,892,92,0,0,2,0,0,989,350,67,52,224,56,16,29,4,37,3,6,0,62,2,21,14,34,1,0,0,2,4,0,0,0,0,0,0,0,0,,
