contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Nijmegen,Buren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis  Erichem,0214::SB2,4117 GJ,1314,506,0,1,0,1,0,457,51,0,0,1,0,0,508,157,69,40,68,16,20,16,4,14,4,28,0,25,1,20,1,9,0,0,0,2,0,9,0,0,0,0,3,0,0,,
Nijmegen,Buren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis  't Ecksternest,0214::SB3,4024 HM,1324,969,3,3,0,0,3,863,109,0,0,0,0,0,975,262,185,89,109,24,30,30,30,32,7,30,0,63,3,22,6,15,0,1,3,0,2,20,0,0,0,1,1,2,2,,
Nijmegen,Buren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Hoekenburg Rijswijk,0214::SB4,4023 AV,399,339,0,0,0,0,0,304,35,0,0,0,0,0,339,83,58,25,47,7,20,19,3,17,2,2,2,27,2,14,1,5,0,0,0,0,3,2,0,0,0,0,0,0,0,,
Nijmegen,Buren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Rozenhoek Ravenswaaij,0214::SB5,4119 LW,528,393,1,1,0,0,1,363,31,0,0,0,0,0,395,103,48,48,55,14,9,9,4,18,3,16,0,19,2,16,0,8,0,2,0,0,1,11,1,2,0,0,4,0,0,,
Nijmegen,Buren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Kerk-Avezaath,0214::SB6,4012 BC,1146,943,0,0,0,0,1,941,1,0,0,0,0,0,943,285,154,96,105,18,52,28,17,32,2,5,0,65,2,38,4,10,0,2,0,1,6,10,1,1,1,0,7,1,0,,
Nijmegen,Buren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis de Oude School Zoelen,0214::SB7,4011 EM,1400,912,4,0,0,0,1,803,112,0,0,0,0,0,916,250,139,64,118,42,37,55,12,39,5,18,5,40,1,38,7,20,0,1,0,1,3,14,0,1,0,0,0,2,0,,
Nijmegen,Buren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis 't Zoetzand  Beusichem,0214::SB8,4112 JL,1396,1428,2,3,0,0,2,1278,153,0,0,0,0,0,1433,463,177,113,199,50,46,58,30,61,10,26,4,79,5,46,5,20,2,1,4,0,3,23,0,0,0,0,2,0,1,,
Nijmegen,Buren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Maurik,0214::SB9,4021 VZ,1824,1424,1,7,0,0,1,1248,183,0,0,0,0,0,1432,458,250,104,160,36,70,38,13,41,9,24,7,103,2,42,4,14,0,2,0,1,6,34,0,2,1,1,2,0,0,,
Nijmegen,Buren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerk Zoelmond,0214::SB10,4111 KV,738,467,0,0,0,0,2,428,37,0,0,0,0,0,467,144,47,31,89,16,22,22,14,16,3,3,0,14,1,13,5,17,0,0,0,1,0,9,0,0,0,0,0,0,0,,
Nijmegen,Buren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Gildehuis,0214::SB11,4033 GP,1938,1129,0,1,0,0,1,971,158,0,0,0,0,0,1130,264,179,97,90,23,38,26,72,23,8,161,0,86,1,26,4,9,0,1,0,1,2,13,0,0,0,0,4,0,1,,
Nijmegen,Buren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Meentschool Ommeren,0214::SB13,4032 NA,1473,827,2,0,0,0,1,703,125,0,0,0,0,0,829,264,106,73,63,19,15,14,27,14,5,91,1,54,0,35,4,7,0,4,0,2,1,23,0,0,0,1,3,0,1,,
