contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud,uncounted_geen briefstembiljetten,uncounted_te veel briefstembiljetten
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Humanitas Woonzorgplus Den Haag,0518::SB101,,1104,709,3,3,0,0,3,646,67,0,0,0,1,0,0,716,82,64,54,151,148,53,42,16,4,0,8,27,2,0,2,0,0,56,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Middelbare School Dalton Den Haag,0518::SB102,,1841,884,0,4,0,0,4,798,86,0,0,0,0,0,0,888,67,87,85,159,188,94,39,24,14,0,10,51,4,0,1,1,1,57,2,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Inspecteur S. de Vriesschool,0518::SB103,,1124,422,1,1,0,0,4,385,35,0,0,0,0,0,0,424,42,98,42,43,62,13,47,12,1,1,0,25,1,0,1,1,0,33,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Haags Centrum voor Onderwijsbegeleiding,0518::SB104,,1296,630,1,1,0,0,8,542,82,0,0,0,0,0,0,632,74,113,51,166,106,29,21,10,3,1,3,18,1,1,1,0,0,32,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijk- en dienstencentrum De Wiekslag,0518::SB105,,1992,845,0,3,0,0,2,761,87,0,0,0,2,0,0,850,114,197,72,94,133,39,55,25,2,0,7,34,2,4,2,3,3,59,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau WoonZorgPark Loosduinen,0518::SB106,,687,292,0,1,0,0,2,289,1,0,0,1,0,0,0,292,53,58,22,41,31,13,18,18,1,0,2,17,1,0,0,3,0,14,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Parnassia, Gehoorzaal nr. 87",0518::SB107,,1537,561,1,0,0,0,1,495,66,0,0,0,0,0,0,562,59,70,50,125,98,45,39,24,0,0,4,9,3,0,1,2,1,31,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau R.K. Basisschool De Octaaf,0518::SB108,,1874,510,1,2,0,0,1,456,56,0,0,0,0,0,0,513,40,179,31,45,52,19,56,8,6,0,4,32,1,2,1,0,0,34,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadsdeelkantoor Loosduinen,0518::SB109,,1523,843,3,2,0,1,3,750,96,0,0,0,1,0,0,849,71,252,63,78,101,51,82,38,3,0,1,44,1,3,0,1,1,53,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau WoonZorgPark Loosduinen,0518::SB111,,1503,381,0,0,0,0,0,352,29,0,0,0,0,0,0,381,60,85,36,39,45,16,40,14,1,0,0,21,1,0,0,3,1,19,0,,
