contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Partij voor de Dieren,CDA,De Groenen,50PLUS,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,ChristenUnie
"Amstel, Gooi en Vecht",Wijdemeren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Hervormde Kerk,1696::SB1,1243JG,1774,858,15,4,0,1,2,780,94,0,1,0,0,0,876,199,102,126,108,149,45,44,6,25,2,3,49
"Amstel, Gooi en Vecht",Wijdemeren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Dobber,1696::SB2,1241CZ,1501,1451,22,5,0,0,0,1353,125,0,0,0,0,0,1478,258,172,198,147,342,63,100,23,58,1,2,87
"Amstel, Gooi en Vecht",Wijdemeren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Veenstaete,1696::SB4,1241AX,1842,778,14,7,0,0,0,737,62,0,0,0,0,0,799,125,91,104,72,219,27,72,8,26,1,1,32
"Amstel, Gooi en Vecht",Wijdemeren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Wapen van Ankeveen,1696::SB5,1244PK,1514,823,28,4,0,1,0,784,72,0,0,1,0,0,856,175,79,115,80,242,24,45,9,36,0,3,15
"Amstel, Gooi en Vecht",Wijdemeren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Dirk's Sportcafé,1696::SB6,1241HD,1695,1114,13,1,0,1,0,1020,109,0,0,1,0,0,1129,236,99,165,86,299,45,66,9,43,6,2,58
"Amstel, Gooi en Vecht",Wijdemeren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Gemeentehuis,1696::SB7,1231KB,2130,1228,18,5,0,0,2,1099,150,0,0,0,0,0,1251,316,97,183,105,233,42,76,28,60,4,2,82
"Amstel, Gooi en Vecht",Wijdemeren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Emtinckhof,1696::SB8,1231BG,1872,1341,17,3,0,2,0,1231,128,0,0,0,0,0,1359,278,132,145,146,298,46,107,40,51,4,1,93
"Amstel, Gooi en Vecht",Wijdemeren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Oude Pastorie,1696::SB10,1231KS,1755,892,21,0,0,0,0,801,112,0,0,0,0,0,913,264,43,94,68,215,21,59,25,47,1,0,55
"Amstel, Gooi en Vecht",Wijdemeren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Catamaran,1696::SB11,1231PR,1671,820,11,4,0,1,2,728,104,0,1,0,0,0,834,289,53,88,93,130,20,61,14,33,0,2,37
"Amstel, Gooi en Vecht",Wijdemeren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Kuijer,1696::SB13,1394EK,1704,1201,8,3,0,3,0,1093,116,0,3,0,0,0,1209,249,132,169,122,293,40,72,9,49,4,4,58
"Amstel, Gooi en Vecht",Wijdemeren,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Kantine VV Nederhorst,1696::SB14,1394JR,2037,1015,18,4,0,1,0,937,101,0,0,1,0,0,1038,229,135,123,89,239,34,71,11,55,3,2,24
