contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Ons Water,West-Brabant Waterbreed,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),50PLUS,AWP niet politiek wel deskundig,ChristenUnie,Partij voor de Dieren
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau De Korenaere,0748::SB1,4611RD,1891,833,13,2,0,0,0,774,74,0,0,0,0,0,848,160,43,281,48,80,82,53,8,10,68
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Zoomflat,0748::SB2,4611EH,2250,888,10,0,0,0,0,780,120,0,0,0,0,0,900,169,41,287,56,66,103,81,25,8,52
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Mollerlyceum,0748::SB3,4611DX,1588,686,7,5,0,0,0,636,62,0,0,0,0,0,698,156,65,210,33,60,66,26,13,5,52
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stadskantoor,0748::SB4,4611AR,2097,1066,23,4,0,0,1,996,100,0,0,4,0,0,1097,194,57,329,64,91,126,92,17,16,80
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Ontmoetingscentrum het Fort,0748::SB5,4615EV,1737,679,8,0,0,0,0,622,65,0,0,0,0,0,687,67,29,255,52,33,61,119,5,12,46
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Gymnasium Juvenaat,0748::SB6,4615DC,1188,413,6,2,0,0,0,387,33,0,1,0,1,0,420,50,29,168,34,25,35,42,2,2,26
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Woonzorgcentrum Stuijvenburgh,0748::SB7,4615KX,2162,774,15,7,0,0,0,712,86,0,2,0,0,0,798,106,49,265,63,53,78,98,8,3,51
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau School de Borghoek,0748::SB8,4614EV,1779,862,8,3,0,0,1,773,101,0,0,0,0,0,875,151,76,268,62,122,62,49,13,9,50
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Wijkcentrum de Moerkens,0748::SB9,4614EK,1370,807,10,5,0,0,0,727,94,0,0,0,0,0,821,143,75,246,57,106,47,54,17,20,42
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Serviceflat Meilust,0748::SB10,4614CZ,1135,600,7,1,0,0,0,548,61,1,0,1,0,0,609,99,82,167,58,70,43,34,6,8,33
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Sporthal Tuinwijk,0748::SB11,4613CT,1529,794,13,1,0,0,0,723,84,0,1,0,1,0,807,122,63,234,73,70,86,49,15,12,70
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Basisschool de Welle,0748::SB12,4613GP,1542,843,7,11,0,0,0,761,100,0,0,0,0,0,861,131,43,249,74,73,87,92,9,18,67
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau School de Noordster,0748::SB13,4613GP,1669,419,5,0,0,0,0,377,48,1,0,1,0,0,425,99,13,136,41,38,29,30,1,5,27
Brabantse Delta,Bergen op Zoom,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau NS Station Bergen op Zoom,0748::SB14,4611BX,1560,535,9,2,0,0,3,491,55,0,0,2,0,0,549,81,26,208,41,38,45,32,8,2,54
