contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Staatkundig Gereformeerde Partij (SGP),Waterschapspartij Zeeuws-Vlaanderen,Partij voor Zeeland,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,ChristenUnie,50PLUS,AWP Niet Politiek Wel Deskundig
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Hal Stadhuis,0677::SB1,4561 EA,2560,1509,20,12,0,0,0,1349,192,0,0,0,0,0,1541,483,8,392,81,135,134,70,10,140,56
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau St. Curamus, loc. De Blaauwe Hoeve",0677::SB2,4561 NT,1416,791,9,7,0,0,2,727,78,0,0,0,0,0,807,276,7,197,47,36,85,47,6,66,24
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Gemeenschapscentrum Den Dullaert,0677::SB3,4561 NW,2317,1187,8,11,0,0,0,1066,140,0,0,0,0,0,1206,366,9,386,74,55,102,67,5,87,36
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,"Stembureau Reynaertcollege, loc. Gildenstraat",0677::SB4,4561 WZ,2770,839,8,5,0,0,0,746,107,1,0,1,0,0,853,194,5,226,67,65,86,63,11,80,42
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Gemeenschapscentrum Malpertuus,0677::SB5,4567 BM,1996,750,7,6,0,0,0,670,93,0,0,0,0,0,763,149,6,173,138,27,92,39,11,90,25
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Gemeenschapscentrum de Kauter,0677::SB6,4568 AB,818,247,0,4,0,0,0,219,32,0,0,0,0,0,251,98,1,53,19,14,17,8,5,21,11
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Gemeenschapshuis Graauw,0677::SB7,4569 AG,808,471,5,3,0,0,0,409,70,0,0,0,0,0,479,197,3,131,34,6,21,40,3,29,7
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Gemeenschapscentrum De Warande,0677::SB8,4564 AD,2898,1233,12,4,0,0,0,1062,187,0,0,0,0,0,1249,316,5,417,71,59,95,53,12,164,41
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Gemeenschapscentrum 't Heike,0677::SB9,4566 AC,1079,440,3,4,0,0,0,378,69,0,0,0,0,0,447,124,3,137,25,23,44,22,6,40,16
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Dorpscentrum Binnendéur,0677::SB10,4587 AG,2621,1306,16,3,0,0,0,1134,191,0,0,0,0,0,1325,336,9,662,53,34,58,41,7,71,35
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Dorpscentrum De Luifel,0677::SB11,4586 AN,773,385,0,2,0,1,0,337,49,0,1,0,0,0,386,88,6,184,13,11,25,21,4,27,6
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Dorpshuis Brandershole,0677::SB12,4583 ST,497,261,2,2,0,0,0,239,26,0,0,0,0,0,265,56,6,93,15,7,24,17,4,25,14
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Dorpscentrum Vogelwaarde,0677::SB13,4581 BR,1483,850,0,6,0,2,0,746,108,0,2,0,0,0,854,202,9,314,40,28,116,43,11,59,28
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Gemeenschapshuis Hof ter Nesse,0677::SB14,4589 KR,424,231,0,1,0,0,0,195,37,0,0,0,0,0,232,60,4,92,23,5,17,14,0,9,7
Scheldestromen,Hulst,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Dorpscentrum De Schuur,0677::SB15,4585 AJ,550,303,5,0,0,0,0,262,45,0,1,0,1,0,307,73,7,115,14,8,22,22,5,23,14
