contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,SGP-ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Ons-Platteland
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Stichting Welzijn&Zorg Doven WeZoDo,0637::SB1,2712 VD,1240,610,12,2,13,0,0,577,60,0,0,13,0,0,637,80,137,69,57,112,87,44,24
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Lunchcafé De Zoetelaar,0637::SB2,2712 AE,1251,362,7,1,0,0,0,332,39,0,0,1,1,0,371,65,81,43,27,40,52,37,17
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau WZC De Morgenster,0637::SB3,2712 AT,1019,512,5,2,0,3,0,473,49,0,0,3,0,0,522,79,87,51,64,105,61,55,10
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau KBS De Paulusschool,0637::SB4,2712 RN,402,325,7,0,0,0,0,334,32,0,0,34,0,34,366,70,68,40,24,39,38,31,15
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Basisschool De Jacobsvlinder,0637::SB5,2722 EK,0,33,0,0,0,0,0,27,6,0,0,0,0,0,33,7,10,5,1,3,5,2,0
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Castellum Palensteyn,0637::SB6,2722 BN,14,24,1,0,0,0,0,18,7,0,0,0,0,0,25,8,2,7,0,2,3,1,1
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau MBO Rijnland,0637::SB7,2722 ZA,0,24,0,0,0,0,0,23,1,0,0,0,0,0,24,3,6,5,2,1,5,1,1
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Wijkservicecentrum De Spil,0637::SB8,2713 GA,1,16,0,0,0,0,0,13,4,0,0,1,0,1,17,3,1,4,1,0,4,2,1
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau IKC Stella Nova,0637::SB9,2713 VM,0,42,0,0,0,0,0,39,3,0,0,0,0,0,42,8,9,7,1,11,1,4,1
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Recreatieruimte Bijdorp,0637::SB10,2713 SZ,0,29,0,0,0,1,0,24,6,0,0,1,0,0,30,9,1,7,6,0,3,2,1
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Stadhuis,0637::SB11,2711 EB,0,121,6,0,0,1,0,115,13,0,0,1,0,0,128,23,39,25,9,5,12,3,5
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Stadstheater,0637::SB12,2711EK,0,29,0,0,0,0,0,27,2,0,0,0,0,0,29,9,9,1,2,0,1,7,0
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Wooncomplex Albrandswaard,0637::SB15,2716 DA,0,24,0,0,0,2,0,24,2,0,0,2,0,0,26,5,6,3,1,0,8,1,0
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Speelboerderij Het Buitenbeest,0637::SB16,2715 VP,0,4,0,0,4,0,0,8,0,0,0,4,0,0,8,1,0,1,0,2,0,0,0
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Basisschool De Vuurvogel,0637::SB18,2716 GV,0,7,0,0,0,0,0,7,0,0,0,0,0,0,7,0,5,0,0,0,1,1,0
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau IKC De Piramide,0637::SB19,2716 BG,0,19,4,0,0,0,1,23,3,0,0,4,0,4,27,2,8,0,0,2,3,3,1
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Buurthuis 't Anker,0637::SB20,2715 BL,0,3,0,0,0,0,0,2,3,0,0,2,0,0,5,0,1,2,0,0,0,0,0
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau Kindcentrum Toverberg,0637::SB21,2716 LW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schieland en de Krimpenerwaard,Zoetermeer,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau SBO Horizon,0637::SB22,2717 CR,0,11,0,0,0,0,0,10,1,0,0,0,0,0,11,3,2,1,0,0,2,1,2
