contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Rosengaerde,0148::SB1,7721 CT,1456,972,4,3,0,0,0,914,65,0,0,0,0,0,979,60,77,41,120,203,119,62,290
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Woonzorgcentrum 't Anker,0148::SB2,8152 BP,1476,850,12,4,0,0,2,786,78,0,0,0,0,0,866,39,122,13,89,224,35,44,284
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau De Wiekelaar,0148::SB3,7722 ST,1218,722,6,3,0,0,0,661,70,0,0,0,0,0,731,39,54,38,72,108,80,39,292
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Parochiehuis Hoonhorst,0148::SB4,7722 LR,1374,886,13,5,0,0,0,814,90,0,0,0,0,0,904,44,89,27,129,118,72,52,355
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Rest. Het Roode Hert,0148::SB5,7722 PJ,714,468,3,0,0,0,0,422,49,0,0,0,0,0,471,12,45,35,40,55,43,12,226
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Geref. Kerk(Vrijgem.),0148::SB6,7721 XM,897,844,9,2,0,0,0,786,69,0,0,0,0,0,855,46,81,44,109,117,177,34,236
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Gemeentehuis,0148::SB7,7721 AX,1083,778,10,4,0,0,0,729,63,0,0,0,0,0,792,27,99,26,124,144,94,55,209
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Ned. Gereformeerde Kerk,0148::SB8,7721 DX,1326,1063,9,0,0,0,1,1000,71,0,0,0,0,0,1072,42,95,40,156,184,189,72,285
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Kulturhus De Mozaiek,0148::SB9,8151 AZ,1001,563,10,0,0,0,1,527,45,0,0,0,0,0,573,41,74,12,58,156,21,20,181
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Verenigingsgebouw  Ankum,0148::SB10,7722 RK,1603,795,17,1,0,0,0,743,69,0,1,0,0,0,812,40,99,12,107,154,89,57,237
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau NH Jeugdgebouw,0148::SB11,7711 CD,1763,1188,13,3,0,0,1,1103,112,0,0,12,0,0,1216,43,150,43,115,195,209,52,381
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau CBS Het Kompas,0148::SB12,7711 GC,1098,617,4,1,0,0,0,559,63,0,0,0,0,0,622,24,58,91,54,63,104,32,191
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Maranathakerk,0148::SB13,7711 HS,1431,841,24,5,0,0,0,787,83,0,0,0,0,0,870,42,96,84,91,109,154,38,227
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Restaurant Madrid,0148::SB14,7722 HS,486,264,1,0,0,0,0,240,25,0,0,0,0,0,265,4,42,20,38,24,12,12,112
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau De Hulstkampen,0148::SB15,7711 JE,1423,765,17,0,0,0,0,722,60,0,0,0,0,0,782,42,70,41,63,110,150,39,250
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Kulturhus De Spil,0148::SB16,7711 KK,1700,933,11,1,0,0,0,859,86,0,0,0,0,0,945,45,127,42,99,170,164,52,234
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Station Dalfsen,0148::SB17,7722 HA,0,60,3,1,0,0,0,61,3,0,0,0,0,0,64,0,8,1,13,20,3,7,8
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau restaurant De Barones,0148::SB18,7722 RX,1145,529,4,1,0,0,0,485,49,0,0,0,0,0,534,15,107,21,48,82,101,37,118
Drents Overijsselse Delta,Dalfsen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau OBS Heidepark,0148::SB19,8151 AN,1218,614,8,0,0,0,0,579,43,0,0,0,0,0,622,44,79,9,68,207,21,25,161
