contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),Vrienden van de Berkel,AWP niet politiek wel deskundig,50PLUS,Vereniging Dorpshuizen en Kleine Kernen
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Antoniushove,1586::SB1,7131 CW,1508,724,8,1,0,0,0,691,42,0,0,0,0,0,733,256,116,133,56,69,19,50,25
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Schuttersgilde St. Switbertus,1586::SB2,7131 ZT,1535,941,17,1,0,0,0,895,64,0,0,0,0,0,959,269,195,103,98,148,32,65,31
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau St. Jozefschool,1586::SB3,7131 GK,1458,804,12,2,0,0,0,753,65,0,0,0,0,0,818,285,122,165,86,68,18,40,20
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Den Diek,1586::SB4,7131 DP,1500,942,21,2,0,1,0,892,74,0,0,1,0,0,966,312,181,129,116,98,21,58,27
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau De Schoppe,1586::SB5,7131 SB,1382,776,11,2,0,0,0,729,60,0,0,0,0,0,789,154,170,85,112,108,28,80,39
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau St. Jorisschool,1586::SB6,7132 DK,1563,779,9,3,0,0,0,739,52,0,0,0,0,0,791,220,131,169,89,92,23,36,19
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gemeentehuis,1586::SB7,7131 BJ,1555,639,7,2,0,0,0,594,54,0,0,0,0,0,648,222,102,139,56,52,17,40,11
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Sportcomplex De Bult,1586::SB8,7134 NJ,933,579,3,0,0,0,0,527,55,0,0,0,0,0,582,347,33,91,26,29,8,16,29
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Dorpshuis 't Kempken,1586::SB9,7135 JD,1038,611,5,1,0,0,0,566,51,0,0,0,0,0,617,279,84,91,38,35,19,34,31
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Parochiehuis,1586::SB10,7136 LM,1621,972,14,2,0,1,0,925,64,0,0,1,0,0,989,480,145,114,72,39,24,42,56
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Bernard Vos Clubhuus,1586::SB11,7137 MD,1100,682,8,3,0,1,2,632,60,0,0,1,0,0,694,374,63,85,39,47,9,23,42
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,"Stembureau Zorgcentrum ""De Molenberg""",1586::SB12,7141 AN,1285,737,8,10,0,0,0,681,74,0,0,0,0,0,755,226,100,155,78,110,19,42,7
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gezondheidscentrum den Papendiek,1586::SB13,7141 EL,1464,836,11,2,0,0,0,768,88,7,0,7,0,0,856,238,97,88,91,173,32,103,14
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Willibrordusschool,1586::SB14,7141 WH,1598,731,5,2,0,1,0,678,59,0,1,0,0,0,737,240,84,93,64,153,18,53,26
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau O.B.S. 't Palet,1586::SB15,7141 VG,1543,667,15,1,0,0,0,629,51,0,3,0,3,0,680,195,86,66,73,143,18,63,23
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stadhuis,1586::SB16,7141 BE,1702,876,14,4,0,0,0,815,79,0,0,0,0,0,894,290,113,181,75,126,23,44,24
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau St. Theresiaschool,1586::SB17,7263 RW,701,399,5,0,0,0,0,367,37,0,0,0,0,0,404,194,34,75,17,31,23,3,22
Rijn en IJssel,Oost Gelre,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Basisschool St. Ludgerus,1586::SB18,7142 HA,487,308,0,2,0,0,0,275,35,0,0,0,0,0,310,179,14,46,19,26,10,5,9
