contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,ChristenUnie,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP),Lokaal Waterbeheer,AWP niet politiek wel deskundig,50PLUS,Verenigde Senioren Partij
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Gemeentehuis Oostendorp,0230::SB1,8081 LA,1572,945,11,3,1,0,0,859,99,0,1,0,0,0,958,86,202,281,38,36,158,67,19,53,5
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Het Nieuwe Feithenhof,0230::SB2,8081 BV,1106,751,11,3,0,2,0,703,64,0,0,2,0,0,767,90,104,213,42,34,108,89,27,42,2
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Kulturhus 't Huiken,0230::SB3,8081 VS,1798,1022,12,2,0,2,0,959,79,0,0,2,0,0,1038,104,176,287,84,50,81,136,39,61,4
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Muziekschool De Spelerij,0230::SB4,8081 JS,1720,1088,13,2,0,0,0,976,127,0,0,0,0,0,1103,103,138,318,77,84,121,120,44,77,6
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Verpleeghuis De Voord,0230::SB5,8081 DL,1978,1134,13,2,0,1,0,1037,113,0,0,1,0,0,1150,112,189,362,76,66,129,109,39,46,6
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Dorpshuis De Deel,0230::SB6,8085 AP,2031,943,11,4,0,3,0,839,116,0,3,0,0,0,955,68,75,176,25,13,499,59,10,18,0
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Dorpshuis Ons Huus,0230::SB7,8085 PE,1525,788,3,1,0,0,0,679,113,0,0,0,0,0,792,54,49,189,30,12,348,53,21,29,3
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Wijkontmoetingscentrum Jeanne d'Arc,0230::SB8,8084 VP,1642,910,8,3,0,1,0,833,89,0,0,1,0,0,922,117,126,265,76,57,105,71,32,54,7
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Zorgcentrum Mariposa,0230::SB9,8084 VB,1764,1129,19,3,0,0,0,1055,97,0,0,1,1,0,1152,135,139,330,83,98,136,101,44,56,7
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau M.F.C. Aperloo,0230::SB10,8084 PH,1636,931,7,3,0,0,0,846,95,0,0,0,0,0,941,104,117,232,53,65,186,77,43,48,6
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Hervormd Kerkelijk Centrum,0230::SB12,8081 CL,1125,490,11,0,0,0,0,466,35,0,0,0,0,0,501,85,79,115,50,25,48,49,22,17,0
Vallei en Veluwe,Elburg,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Mobiel stembureau 1,0230::SB50,8085 AP,0,534,5,2,0,0,0,468,72,0,1,0,1,0,540,40,60,132,16,13,236,20,7,10,0
