contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,ChristenUnie,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP),Lokaal Waterbeheer,AWP niet politiek wel deskundig,50PLUS,Verenigde Senioren Partij
Vallei en Veluwe,Veenendaal,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Dienstencentrum Duivenwal,0345::SB1,,1741,716,14,1,0,0,0,670,61,0,0,0,0,0,731,76,81,131,69,80,91,51,37,86,14
Vallei en Veluwe,Veenendaal,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Wijkcentrum Panorama,0345::SB2,,1846,442,24,3,0,1,0,411,59,0,0,1,0,0,470,35,35,97,44,45,92,33,42,16,3
Vallei en Veluwe,Veenendaal,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Hollandia Staete,0345::SB3,,1696,644,15,5,0,0,0,606,58,0,0,0,0,0,664,72,74,127,45,46,117,47,27,80,9
Vallei en Veluwe,Veenendaal,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Woon- en Zorgcentrum De Engelenburgh,0345::SB4,,1438,870,13,4,0,0,0,779,108,0,0,0,0,0,887,71,116,181,75,50,230,52,40,48,7
Vallei en Veluwe,Veenendaal,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Zaal Apostolisch Genootschap,0345::SB5,,1552,1050,8,2,0,0,0,929,130,0,1,0,1,0,1059,191,168,197,112,60,96,78,76,65,7
Vallei en Veluwe,Veenendaal,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Vergaderzaal Het Trefpunt,0345::SB6,,1575,1046,11,1,0,2,0,926,130,0,2,0,0,0,1056,138,153,181,89,72,210,71,50,73,9
Vallei en Veluwe,Veenendaal,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Basisschool de 'Ceder',0345::SB7,,1480,522,4,0,0,0,0,469,57,0,0,0,0,0,526,96,84,108,27,35,78,24,39,31,0
Vallei en Veluwe,Veenendaal,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Gebouw Groenhof,0345::SB8,,1669,907,14,1,0,0,0,799,123,0,0,0,0,0,922,142,118,176,81,71,128,62,47,78,4
Vallei en Veluwe,Veenendaal,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Patrimoniumschool,0345::SB9,,1695,1031,20,1,0,0,0,945,107,0,0,0,0,0,1052,131,118,212,100,94,157,80,64,68,7
Vallei en Veluwe,Veenendaal,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau School JUUL,0345::SB10,,1407,488,16,1,0,1,0,424,80,0,1,0,0,0,504,37,48,66,80,86,53,33,25,48,12
Vallei en Veluwe,Veenendaal,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau School Het Baken I,0345::SB11,,1531,924,8,0,0,1,0,841,92,0,0,1,0,0,933,121,123,225,98,61,82,75,70,65,4
