contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Partij voor de Dieren,CDA,De Groenen,50PLUS,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,ChristenUnie
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Gemeentehuis,0736::SB1,3641 AL,1897,1269,30,9,0,0,0,1185,123,0,0,0,0,0,1308,251,107,141,101,385,35,101,19,36,6,8,79
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Bibliotheek AVV,0736::SB2,3641 JW,2204,1191,19,4,0,0,0,1101,101,0,12,0,12,0,1202,197,103,159,96,328,43,134,16,44,5,5,61
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Zaal Driehuis,0736::SB3,3648 BN,2168,957,20,3,0,3,0,901,82,0,0,3,0,0,983,152,89,134,70,267,24,105,9,48,3,3,53
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Verenigingsgebouw Ons Streven,0736::SB4,1427 AK,1175,633,5,2,0,0,0,576,64,0,0,0,0,0,640,152,43,72,47,204,19,35,4,24,1,0,32
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Springbok,0736::SB5,1426 AG,731,462,4,2,0,0,0,413,55,0,0,0,0,0,468,87,22,47,38,196,15,18,1,15,3,1,19
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau voormalig PCBS de Hoeksteen,0736::SB6,3641 ML,1483,834,9,4,0,0,0,759,88,0,0,0,0,0,847,177,97,106,66,184,42,67,10,29,3,3,50
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Veenlanden College,0736::SB7,3641 XR,1532,959,14,4,0,1,0,898,80,0,0,1,0,0,978,243,80,139,65,201,34,72,12,44,4,1,64
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau voormalig OBS De Trekvogel,0736::SB8,3641 ZE,1967,1103,11,3,0,1,0,1020,98,0,0,1,0,0,1118,232,96,175,73,245,28,116,10,69,4,2,53
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau OBS Twister,0736::SB9,3642 BS,2372,1309,18,6,0,0,0,1220,113,0,0,0,0,0,1333,276,133,203,72,322,53,111,12,59,5,2,61
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Zorgcentrum Maria-Oord (Hoofdingang),0736::SB10,3645 DH,1814,1028,13,4,0,0,0,945,100,0,0,0,0,0,1045,175,73,194,71,284,27,73,5,51,3,2,70
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Kids College,0736::SB12,3648 HC,2221,1029,17,1,0,1,0,942,106,0,0,1,0,0,1048,189,84,158,68,285,23,99,7,43,5,4,64
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau NH Verenigingsgebouw,0736::SB13,3645 DL,2115,1057,13,3,0,0,0,933,140,0,0,0,0,0,1073,281,37,165,59,261,22,67,9,66,7,1,82
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau EHBO Gebouw Lucas,0736::SB14,3645 GR,1989,1129,16,6,0,0,0,1043,108,0,0,0,0,0,1151,256,90,194,91,259,33,83,11,52,2,1,57
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Zorgcentrum Zuiderhof,0736::SB15,3645 GE,1769,985,19,2,0,0,0,908,98,0,0,0,0,0,1006,196,77,182,85,215,25,76,10,57,2,2,58
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau NH Gebouw De Roeping,0736::SB16,3648 AK,1622,966,14,2,0,0,0,873,109,0,0,0,0,0,982,138,57,102,38,403,16,51,6,12,0,1,142
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau OBS Willespoort,0736::SB17,3648 HP,1332,980,12,1,0,0,0,893,100,0,0,0,0,0,993,154,82,168,56,331,36,34,6,31,1,6,75
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Kees Bonzaal,0736::SB18,1391 VT,1610,1098,13,3,0,1,0,1000,115,0,0,1,0,0,1115,326,110,176,93,218,58,34,7,29,3,3,41
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau CNS Abcoude,0736::SB19,1391 VC,1559,1162,7,2,0,1,1,1034,135,0,1,0,0,0,1170,365,113,220,91,173,68,41,7,28,2,1,53
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Angstelborgh,0736::SB20,1391 LX,1895,1344,23,5,0,2,0,1206,168,0,0,2,0,0,1374,288,173,235,136,198,90,94,15,42,4,2,67
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Dorpshuis de Vijf Bogen,0736::SB21,1396 JX,1114,798,11,2,0,2,0,735,70,0,6,0,4,0,805,148,46,100,70,204,34,39,8,20,3,1,125
"Amstel, Gooi en Vecht",De Ronde Venen,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Paulusschool,0736::SB22,1391 CZ,977,523,5,0,0,0,0,476,52,0,0,0,0,0,528,205,49,72,37,62,33,21,1,12,0,2,29
