contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Ons Water,West-Brabant Waterbreed,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),50PLUS,AWP niet politiek wel deskundig,ChristenUnie,Partij voor de Dieren
Brabantse Delta,Dongen,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Gemeentehuis,0766::SB1,5104 JJ,3840,1487,26,3,0,0,0,1366,152,2,0,2,0,0,1518,298,318,159,129,189,158,68,31,26,111
Brabantse Delta,Dongen,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Basisschool De Vlinderboom,0766::SB2,5102 XS,2720,1167,17,4,0,0,0,1089,97,0,2,0,2,0,1186,145,217,122,164,171,101,110,38,28,71
Brabantse Delta,Dongen,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau De Volckaert,0766::SB3,5102 DB,1286,749,21,3,0,0,0,707,66,0,0,0,0,0,773,94,163,89,75,125,63,51,13,8,68
Brabantse Delta,Dongen,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Basisschool St. Jan,0766::SB4,5104 CL,1662,846,14,3,0,0,1,766,96,0,0,0,0,0,863,164,131,88,97,108,77,68,16,13,84
Brabantse Delta,Dongen,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Basischool De Achterberg,0766::SB5,5104 EG,1372,589,18,2,0,0,0,544,65,0,0,0,0,0,609,117,119,72,65,69,64,33,10,3,37
Brabantse Delta,Dongen,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Clubgebouw V.V. Dongen,0766::SB6,,2265,1287,15,2,0,0,0,1155,149,0,0,0,0,0,1304,272,251,169,127,114,132,68,29,23,102
Brabantse Delta,Dongen,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Basisschool De Noorderpoort,0766::SB7,5103 GN,2542,1169,25,6,0,0,0,1087,113,0,0,0,0,0,1200,177,236,182,116,127,120,82,26,7,96
Brabantse Delta,Dongen,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Sportzaal De Gaasjes,0766::SB8,5106 NC,855,445,8,1,0,0,0,403,51,0,0,0,0,0,454,65,150,41,73,47,17,15,9,7,21
Brabantse Delta,Dongen,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Dorpshui De Geubel,0766::SB9,5109 AC,1893,1016,25,5,0,0,0,932,114,0,0,0,0,0,1046,140,216,122,108,87,60,66,24,104,89
Brabantse Delta,Dongen,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Europlus,0766::SB10,5101 TJ,2718,971,22,0,0,0,0,900,93,0,0,0,0,0,993,171,178,109,86,130,95,102,17,11,72
