contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),Vrienden van de Berkel,AWP niet politiek wel deskundig,50PLUS,Vereniging Dorpshuizen en Kleine Kernen
Rijn en IJssel,Zevenaar,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stembureau Locatie Pelgromhof,0299::SB1,6901 CB,1450,866,15,2,0,3,0,814,66,0,3,0,0,0,880,256,158,131,173,18,20,79,31
Rijn en IJssel,Zevenaar,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stembureau NME-gebouw,0299::SB2,6901 BV,1677,729,13,1,0,11,0,669,63,0,11,0,0,0,732,153,151,111,163,16,47,56,32
Rijn en IJssel,Zevenaar,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stembureau IKC De Tamboerijn,0299::SB3,6904 EG,2168,1066,17,5,0,1,0,1010,79,0,0,1,0,0,1089,186,233,167,269,20,50,87,54
Rijn en IJssel,Zevenaar,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stembureau Centrum 4.0,0299::SB4,6905 BH,1028,371,7,1,0,1,0,327,51,0,1,0,0,0,378,64,72,95,76,10,15,18,21
Rijn en IJssel,Zevenaar,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,"Stembureau Stembureau IKC De Carrousel, locatie Bizetstraat",0299::SB5,6904 KL,1638,582,7,4,0,1,0,558,34,0,1,0,0,0,592,95,160,77,133,7,24,57,29
Rijn en IJssel,Zevenaar,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stembureau Accommodatie Stichting LB (Kantine AV de Leimers),0299::SB6,6904 GZ,1646,878,21,3,0,0,0,812,90,0,0,0,0,0,902,145,206,163,204,13,48,68,31
Rijn en IJssel,Zevenaar,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stembureau OBS Het Kofschip,0299::SB7,6903 DK,1380,935,19,5,0,2,0,873,88,0,0,2,0,0,961,197,195,138,209,33,46,87,30
Rijn en IJssel,Zevenaar,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,"Stembureau Stembureau Rijnstate ziekenhuis, locatie Zevenaar",0299::SB8,6903 ZN,1447,863,23,2,0,15,0,797,76,0,15,0,0,0,873,168,213,122,178,18,38,102,24
Rijn en IJssel,Zevenaar,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stembureau Basisschool Lindenhage,0299::SB9,6903 DX,1448,368,4,0,0,0,2,330,40,0,0,0,0,0,372,61,74,78,96,6,21,17,15
Rijn en IJssel,Zevenaar,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stembureau Dienstencentrum De Hooge Bongert,0299::SB10,6903 DA,1507,846,16,4,0,0,0,803,63,0,0,0,0,0,866,187,179,118,157,17,38,111,39
