contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Ons Water,West-Brabant Waterbreed,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),50PLUS,AWP niet politiek wel deskundig,ChristenUnie,Partij voor de Dieren
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Stadhuis,0758::SB1,4811 XS,2170,1074,24,2,0,0,2,1038,60,0,0,0,0,0,1100,288,80,126,51,134,109,42,31,15,198
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau St. Josephschool,0758::SB2,4811 CL,2109,810,31,2,0,1,0,788,56,0,0,1,0,0,844,172,57,114,56,121,93,26,29,8,134
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau De Avenue,0758::SB3,4811 WZ,1214,600,17,8,0,0,0,595,29,0,1,0,1,0,624,150,35,82,35,82,60,43,15,7,91
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau Stembureau Surplus, woon-zorgcentrum Elisabeth",0758::SB4,4811 VJ,1834,626,26,7,0,5,0,625,39,0,0,5,0,0,664,112,66,88,49,56,79,31,30,7,108
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau BS De Singel,0758::SB5,4811 SZ,1963,685,27,6,0,0,0,675,43,0,0,0,0,0,718,122,62,88,69,60,96,42,19,11,116
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Stadskantoor,0758::SB6,4811 DJ,1752,1480,8,41,0,1,0,1402,126,0,1,0,0,0,1528,341,142,161,79,193,173,95,42,25,229
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Lighthouse Fotostudio,0758::SB7,4811 KB,1391,581,13,1,0,0,1,561,33,0,0,0,0,0,595,149,49,81,33,52,76,24,12,8,97
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Breda University of Applied Sciences,0758::SB10,4816 BA,1428,508,17,5,0,0,0,493,37,0,0,0,0,0,530,106,33,71,32,59,70,28,24,4,81
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Vrije School Breda,0758::SB11,4816 AD,1318,336,5,0,0,0,0,311,29,1,1,0,0,0,340,48,19,45,21,57,47,31,8,2,58
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau BS De Liniedoorn,0758::SB12,4816 GG,1894,682,19,6,0,1,0,671,35,0,1,0,0,0,706,65,53,91,80,67,110,73,29,12,102
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Het leger des Heils,0758::SB13,4827 GA,2047,526,17,3,0,0,0,488,58,0,0,0,0,0,546,68,43,86,45,66,68,53,16,17,64
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Stichting Social Work,0758::SB14,4827KG ,1592,375,17,2,0,0,0,361,33,0,0,0,0,0,394,39,32,51,48,28,62,57,13,5,40
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Woon- zorgcentrum Raffy,0758::SB15,4827 EG,1792,753,9,7,0,2,0,687,84,0,0,2,0,0,771,102,47,119,63,84,94,94,21,15,114
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau De Wegwijzer,0758::SB16,4826 EP,1800,655,17,7,0,0,0,622,57,0,0,0,0,0,679,80,46,99,71,78,88,97,14,12,70
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau BS De Wisselaar,0758::SB17,4826 AH,1769,534,17,4,0,0,0,503,52,0,0,0,0,0,555,51,35,75,60,52,89,80,11,17,64
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Gemeenschapshuis De Biesdonk,0758::SB18,4826 KT,1696,664,18,9,0,0,0,621,70,0,0,0,0,0,691,76,58,99,84,53,103,90,23,8,70
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Vuchterhage,0758::SB19,4826 HB,1554,751,34,5,0,0,0,725,64,0,1,0,1,0,789,67,62,108,77,75,106,130,29,7,90
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Belcrum Huis,0758::SB20,4815 BC,1547,899,12,3,0,0,0,848,66,0,0,0,0,0,914,126,70,120,77,136,141,56,30,5,138
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Surplus Welzijn,0758::SB25,4817DP,1586,456,9,2,0,0,0,416,51,0,0,0,0,0,467,73,27,81,38,63,58,33,11,5,67
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau De Leystroom,0758::SB26,4817 GG,1907,632,20,6,0,0,0,606,52,0,0,0,0,0,658,83,63,77,50,91,83,51,15,11,108
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau De Poelewei,0758::SB27,4817 JP,2144,1031,32,6,0,0,0,1010,59,0,0,0,0,0,1069,151,82,134,85,119,140,104,35,18,163
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Breda University of Applied Sciences,0758::SB28,4817 JS,2128,1026,28,1,0,0,0,969,86,0,0,0,0,0,1055,208,108,131,60,147,143,56,29,10,134
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau 't Houwke,0758::SB29,4817 RA,1496,843,27,4,0,0,0,817,57,0,0,0,0,0,874,143,89,114,76,69,116,114,14,7,101
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau KBS Weilust,0758::SB30,4817 WR,1245,715,12,1,0,0,0,675,53,0,0,0,0,0,728,113,58,105,56,78,86,86,26,12,95
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau OBS De Tweesprong,0758::SB31,4817 NX,1562,727,17,7,0,1,0,705,45,0,1,0,0,0,750,135,62,96,50,83,121,62,18,12,88
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Serviceresidentie Vredenbergh,0758::SB32,4818 AJ,1340,717,16,5,0,0,0,665,73,0,0,0,0,0,738,250,82,82,34,91,63,40,19,8,48
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Sacramentskerk,0758::SB33,4818 GL,1941,1211,27,2,0,24,0,1143,121,0,0,24,0,0,1264,282,111,125,72,209,148,70,34,16,144
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Sacramentskerk,0758::SB34,4818 GL,1798,1157,24,4,0,23,0,1040,122,0,23,0,0,0,1162,305,88,121,68,214,137,59,36,8,121
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Dr. de Visserschool,0758::SB40,4835 LH,1644,1082,21,3,0,0,0,964,142,0,0,0,0,0,1106,432,85,101,37,157,97,34,26,10,103
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau School De Rotonde,0758::SB41,4834 BC,1972,1085,18,5,0,1,0,1021,88,0,0,1,0,0,1109,282,105,108,63,169,137,59,36,12,114
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Gemeenschapshuis Erasmus,0758::SB42,4834 AA,1387,771,17,6,0,1,0,735,60,0,0,1,0,0,795,157,61,124,60,91,96,62,27,1,92
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Schoolgebouw Neubourgstraat,0758::SB43,4834 JL,1605,836,20,3,0,0,0,790,69,0,0,0,0,0,859,236,94,87,60,96,65,91,20,10,77
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau BS De Burchtgaarde,0758::SB44,4834 LP,1560,947,16,5,0,2,0,890,76,0,2,0,0,0,966,190,116,105,67,101,129,92,23,17,107
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau KBS Laurentius,0758::SB45,4835 EG,1627,1204,15,6,0,3,0,1094,128,0,3,0,0,0,1222,424,122,112,61,167,101,44,34,12,127
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Christoffelschool,0758::SB46,4834 LB,1211,592,19,3,0,1,0,568,45,0,1,0,0,0,613,103,69,62,57,59,87,70,13,9,63
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Thebe De IJpelaar,0758::SB47,4834 XJ,1618,818,9,1,0,0,0,766,62,0,0,0,0,0,828,171,101,92,51,67,93,96,24,12,111
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Mariakerk,0758::SB48,4834XG,1471,974,26,6,0,1,1,900,104,0,1,0,0,0,1005,286,131,113,42,106,66,83,26,15,106
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Het Kasteel,0758::SB49,4834 LD,1092,429,8,3,0,0,0,399,41,0,0,0,0,0,440,150,39,55,27,41,43,27,12,1,34
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Scoutinggebouw De Mokkenboom,0758::SB55,4819 BB,1296,796,21,3,0,4,0,756,68,0,0,4,0,0,824,191,72,95,43,97,104,37,22,7,128
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,"Stembureau Stembureau Het Brederocollege, locatie Brederostraat",0758::SB56,4819 HG,2131,1188,19,5,0,4,0,1090,118,0,4,0,0,0,1208,296,108,139,67,163,149,69,33,11,153
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Verpleeghuis Aeneas,0758::SB57,4819 ED,1940,816,28,7,0,0,2,777,72,0,0,0,0,0,851,171,82,102,55,91,82,85,22,12,114
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Mencia de Mendoza lyceum,0758::SB58,4837 CV,814,588,4,2,0,0,0,521,74,1,0,1,0,0,595,262,91,42,31,50,26,21,15,7,43
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Surplus locatie deBreedonk,0758::SB59,4837 AJ,1140,563,9,3,0,2,1,520,52,0,2,0,0,0,573,180,72,53,35,78,44,34,16,4,47
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Gymzaal Jan Nieuwenhuyzenstraat,0758::SB60,4818 RH,1345,570,8,1,0,0,0,528,51,0,0,0,0,0,579,157,42,65,41,90,63,18,22,6,66
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau De Nieuwe Meidoorn,0758::SB65,4814 KB,2083,779,28,6,0,1,0,723,89,0,1,0,0,0,812,101,44,122,81,94,93,90,24,5,125
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Woon-Zorgcentrum Westwiek,0758::SB66,4814 SW,2231,358,13,3,0,0,0,349,26,1,0,1,0,0,375,57,21,42,41,32,55,45,9,10,46
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau De Weerijs,0758::SB67,4814 EP,2048,705,30,3,0,1,1,670,66,0,1,0,0,0,737,74,32,84,55,85,89,84,31,10,161
Brabantse Delta,Breda,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Buurthuis Scheldestraat,0758::SB68,4812 VJ,2266,563,24,2,0,0,1,543,46,1,0,1,0,0,590,92,34,84,54,57,82,45,22,6,87
