contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,SGP-ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Ons-Platteland
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau De Werkkamer,0502::SB1,2903 AS,1164,1122,21,8,0,0,0,1043,108,0,0,0,0,0,1151,158,283,150,99,215,117,61,39
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stembureau 2(naast De Werkkamer),0502::SB2,2903 AJ,1554,233,4,1,0,0,0,203,35,0,0,0,0,0,238,30,55,27,14,57,32,10,8
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Vergaderzaal,0502::SB3,2902 TA,2068,635,16,4,0,0,0,593,62,0,0,0,0,0,655,156,159,61,42,69,70,51,27
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Zorgcentrum De Rozenburcht,0502::SB4,2902 BW,1912,1571,12,8,0,2,1,1410,182,0,0,2,0,0,1593,262,380,189,115,264,195,105,61
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Nieuwe Westerkerk,0502::SB5,2902 CT,1552,551,11,1,0,0,0,518,43,0,2,0,2,0,561,95,103,66,31,122,74,37,23
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau PCB De Horizon,0502::SB6,2903 TJ,1530,509,11,2,0,0,0,466,56,0,0,0,0,0,522,66,134,81,34,71,74,32,17
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Verzorgingshuis De Vijverhof,0502::SB7,2903 LJ,2264,1140,12,5,0,0,0,1055,103,1,0,1,0,0,1158,165,239,146,108,203,171,62,46
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Woonzorgcentrum d'Amandelhof,0502::SB8,2903 RL,1623,903,14,2,0,1,1,806,113,0,0,1,0,0,920,115,158,98,70,269,115,42,36
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau OBS de Tweemaster,0502::SB9,2904 VA,1221,573,13,1,0,2,0,521,64,0,2,0,0,0,585,114,139,97,41,47,69,37,29
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Senioren Residentie IJsselzicht,0502::SB10,2904 AE,1823,1063,14,5,0,0,0,949,130,0,3,0,3,0,1079,282,280,119,82,76,127,71,26
