contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Groen, Water & Land",VVD,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),Natuurlijk BBW,50PLUS,AWP niet politiek wel deskundig,ChristenUnie
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau ""Bethelkerk""",0400::SB1,,1345,586,17,10,0,0,0,562,53,0,0,2,0,0,615,178,55,42,54,87,9,84,39,38
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau ""Bethelkerk""",0400::SB2,,1275,562,11,5,0,0,0,547,31,0,0,0,0,0,578,164,60,52,53,81,7,72,29,44
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Buurthuis Centrum,",0400::SB3,,1346,535,18,6,0,0,0,506,54,1,0,1,0,0,560,184,37,29,37,85,10,74,50,29
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Buurtvereniging ""t Kraaiennest""",0400::SB4,,1787,732,16,5,0,0,0,695,57,0,1,0,0,0,752,235,55,41,44,127,9,115,45,61
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Triade,0400::SB5,,1091,613,7,0,0,0,0,565,55,0,0,0,0,0,620,200,46,46,59,95,14,51,38,64
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Buurtvereniging ""ELTO""",0400::SB6,,1504,640,8,5,0,0,1,595,59,2,0,2,0,0,655,220,42,57,57,80,4,93,43,44
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Buurthuis ""De Viskom""",0400::SB7,,1300,547,24,0,0,0,0,521,50,0,0,0,0,0,571,154,47,26,30,77,8,114,31,60
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Buurthuis ""De Overzet""",0400::SB8,,1391,557,15,3,0,0,0,529,46,0,0,0,0,0,575,180,49,42,60,68,5,69,24,60
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Dorpshuis Huisduinen,",0400::SB9,,481,357,9,0,0,0,2,333,31,0,0,0,0,0,366,121,73,20,31,58,6,14,17,17
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Zorgcentrum ""de Groene Vecht""",0400::SB10,,1828,716,15,4,0,0,0,734,1,0,0,0,0,0,735,228,76,43,84,91,15,93,40,46
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Amateur tuindersver. ""Texelstroom""",0400::SB11,,1952,797,5,11,0,0,0,735,78,0,0,0,0,0,813,234,84,45,90,88,9,128,29,90
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Bibliotheek Den Helder School 7,0400::SB12,,1354,547,18,2,0,0,0,523,44,0,0,0,0,0,567,151,66,58,34,91,9,71,37,30
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau 't Tuselant school,0400::SB13,,1621,748,23,5,0,0,2,725,51,0,0,2,0,0,778,219,55,47,94,118,12,101,47,55
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau MFC ""t Wijkhuis""",0400::SB14,,2128,768,20,15,0,0,2,745,58,2,0,2,0,0,805,191,78,66,51,137,7,101,45,92
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Muziekvereniging ""Winnubst""",0400::SB15,,1978,830,26,11,0,1,0,797,71,0,0,1,0,0,868,245,95,55,85,95,9,129,40,77
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Gebouw tennispark naast sporth ""De Brug""",0400::SB16,,1865,720,19,3,0,2,0,677,67,0,0,2,0,0,744,217,122,33,64,79,20,102,54,29
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau MFC ""De Boerderij""",0400::SB17,,1458,582,19,2,0,1,0,554,47,0,2,0,1,0,601,156,51,40,61,76,15,111,24,48
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Baptistengemeente ""Het Lichtbaken""",0400::SB18,,1644,782,21,4,0,0,0,751,56,0,0,0,0,0,807,195,69,38,80,109,15,151,42,83
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau MFC ""De Boerderij""",0400::SB19,,1440,559,26,4,0,0,0,535,56,2,0,2,0,0,591,172,36,34,58,71,8,118,20,42
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau De Vredeskerk,0400::SB20,,1565,970,10,7,0,1,0,884,102,0,1,0,0,0,986,277,141,49,105,121,13,143,52,69
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Woon- en zorgcentrum ""Buitenveld""",0400::SB21,,1594,876,20,7,1,0,0,816,86,0,1,0,0,0,902,212,155,53,171,101,15,87,46,36
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau MFC ""'t Dorpshuis""",0400::SB22,,1753,893,20,1,0,0,0,835,79,0,0,0,0,0,914,268,100,77,66,92,16,149,76,49
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Gymzaal Vogelzand,0400::SB23,,1338,614,9,1,0,0,0,566,58,0,0,0,0,0,624,189,93,38,66,77,8,62,44,37
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Gymzaal Vogelzand,0400::SB24,,1351,773,13,4,0,0,0,790,0,0,0,0,0,0,790,256,87,72,81,82,16,70,39,70
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Voormalig naaiatelier Drooghe Bol,0400::SB25,,1519,784,18,3,0,15,0,737,83,0,0,15,0,0,820,224,96,48,75,76,20,108,56,81
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Voormalig naaiatelier Drooghe Bol,0400::SB26,,1527,1027,27,10,0,5,0,960,99,0,5,0,0,0,1059,288,135,64,94,112,22,151,82,79
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Noorderhaven gebouw Het Tij,0400::SB27,,1342,182,6,0,0,0,0,167,21,0,0,0,0,0,188,53,32,13,21,30,2,10,5,16
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Verenigingsgebouw ""De Jutter""",0400::SB28,,1262,457,14,3,0,0,0,436,38,0,0,0,0,0,474,131,32,21,30,84,7,90,31,31
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Algemene Basisschool ""Comenius""",0400::SB29,,1413,651,20,1,0,0,0,613,59,0,0,0,0,0,672,201,109,50,67,98,10,47,34,35
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,"Stembureau Dansschool ""Corma""",0400::SB30,,1002,476,8,1,0,0,0,449,36,0,0,0,0,0,485,153,60,32,43,73,7,46,25,37
Hollands Noorderkwartier,Den Helder,AB2019_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2019,11,Hollands Noorderkwartier,2019-03-20,Stembureau Noorderhaven gebouw Het Tij,0400::SB31,,1401,312,6,2,0,0,0,285,35,0,0,0,0,0,320,78,60,18,27,31,6,39,23,30
