contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Hollandse Delta Natuurlijk
Hollandse Delta,Hendrik-Ido-Ambacht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Gemeentehuis,0531::SB1,3342 AE,1843,956,2,9,0,0,2,850,116,0,0,0,0,0,968,238,83,121,57,54,184,95,54,21,49
Hollandse Delta,Hendrik-Ido-Ambacht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Emmastaete,0531::SB2,3341 XD,1305,734,8,2,0,0,0,657,88,0,0,0,0,0,745,142,59,62,45,22,232,86,33,22,31
Hollandse Delta,Hendrik-Ido-Ambacht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau OBS De Bron,0531::SB3,3342 TA,1698,927,16,3,0,0,0,857,89,0,0,0,0,0,946,221,61,105,45,54,221,91,53,36,40
Hollandse Delta,Hendrik-Ido-Ambacht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau St. Hervormde Jeugdfederatie,0531::SB4,3341 TS,843,471,5,1,0,0,1,432,44,0,0,0,0,0,477,103,71,44,34,17,86,60,20,19,17
Hollandse Delta,Hendrik-Ido-Ambacht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Willem de Zwijgerschool,0531::SB5,3341 CE,1264,779,9,2,0,0,0,673,117,0,0,0,0,0,790,130,51,44,36,33,355,62,24,11,33
Hollandse Delta,Hendrik-Ido-Ambacht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wielstaete,0531::SB6,3341 SP,1171,608,4,1,0,1,0,545,67,0,1,0,0,0,612,134,40,49,56,30,175,37,39,19,29
Hollandse Delta,Hendrik-Ido-Ambacht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Gereformeerde Kerk Open Hof,0531::SB7,3342 BS,1590,832,7,2,0,0,0,763,78,0,0,0,0,0,841,175,85,91,44,42,216,93,46,19,21
Hollandse Delta,Hendrik-Ido-Ambacht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau OBS De Bron,0531::SB8,3343 CB,2449,1218,24,7,0,0,0,1111,137,0,1,0,1,0,1248,358,90,143,115,108,80,78,95,54,97
Hollandse Delta,Hendrik-Ido-Ambacht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Sporthal De Ridderhal,0531::SB10,3341 BE,1255,686,10,1,0,2,0,598,101,0,0,2,0,0,699,164,52,125,51,57,88,72,46,11,20
Hollandse Delta,Hendrik-Ido-Ambacht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wooncomplex De Kruidhof,0531::SB11,3343 BX,1506,822,9,1,0,0,1,736,95,0,0,0,0,0,832,218,79,82,61,34,108,70,87,32,51
