contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Water, Wonen en Natuur",VVD,ChristenUnie/SGP,CDA,Werk aan Water Flevoland,50PLUS,AWP niet politiek wel deskundig,OPA
Zuiderzeeland,Lelystad,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Woonzorgcentrum De Hoven,0995::SB1,8233 BK,1160,456,11,2,0,0,0,410,59,0,0,0,0,0,469,122,26,39,45,113,66,17,28
Zuiderzeeland,Lelystad,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Woonzorgcentrum De Uiterton,0995::SB2,8224 MA,2030,849,18,8,0,0,1,792,90,8,0,8,0,0,883,282,66,62,79,117,137,57,49
Zuiderzeeland,Lelystad,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau School Laetare,0995::SB3,8223 ZR,1718,609,15,3,0,0,0,547,80,0,0,0,0,0,627,275,46,43,41,55,64,45,40
Zuiderzeeland,Lelystad,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Wijkcentrum Zuiderzee,0995::SB4,8223 CL,1432,543,6,2,0,0,0,506,45,0,0,0,0,0,551,201,28,60,24,43,89,44,54
Zuiderzeeland,Lelystad,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Atolplaza,0995::SB5,8224 CM,1829,659,54,14,0,0,0,633,94,0,0,0,0,0,727,304,44,47,59,61,59,50,35
Zuiderzeeland,Lelystad,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Kerkcentrum Ontmoetingskerk,0995::SB6,8224 CM,1614,596,15,3,0,0,1,556,57,0,0,0,0,0,614,252,26,47,57,50,82,36,46
Zuiderzeeland,Lelystad,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau School De Wingerd,0995::SB7,8212 CA,1698,1003,18,4,0,2,0,926,101,0,0,2,0,0,1027,399,130,130,111,70,66,74,23
Zuiderzeeland,Lelystad,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau School Arcus,0995::SB8,8224 KR,1234,484,8,3,0,0,0,442,53,0,0,0,0,0,495,210,41,42,37,33,53,41,27
Zuiderzeeland,Lelystad,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Buurtvereniging Het Palet,0995::SB9,8212 CA,1761,1088,13,5,0,0,1,1016,85,2,4,0,2,0,1102,463,111,100,66,83,105,92,68
Zuiderzeeland,Lelystad,AB2019_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2019,23,Zuiderzeeland,2019-03-20,Stembureau Verpleeg- en behandelcentrum Laarstaete,0995::SB10,8225 CB,1629,468,4,4,0,0,0,426,50,0,0,0,0,0,476,192,25,52,30,49,55,26,39
