contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,"AWPenLRR niet politiek, wel lokaal",Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,ChristenUnie,50PLUS
Rivierenland,Druten,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Gemeentehuis,0225::SB1,6651 DA,1375,890,30,6,0,0,0,832,94,0,0,0,0,0,926,199,92,128,121,131,4,82,14,119
Rivierenland,Druten,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau 's Heeren Loo,0225::SB2,6651 AM,1496,438,6,4,0,0,0,402,44,0,2,0,0,0,446,93,47,64,53,75,2,50,12,42
Rivierenland,Druten,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Bondsgebouw,0225::SB3,6651 AL,1535,945,25,3,0,0,0,885,88,0,0,0,0,0,973,221,109,130,111,168,7,84,13,102
Rivierenland,Druten,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Wijkcentrum ""de Doorkijk""",0225::SB4,6651 HZ,1504,705,23,2,0,0,1,656,73,0,0,0,0,0,730,118,67,114,104,98,8,90,24,82
Rivierenland,Druten,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Kulturhus De Meent,0225::SB5,6654 BX,1351,754,12,1,0,0,0,675,92,0,0,0,0,0,767,186,86,126,86,120,5,50,16,79
Rivierenland,Druten,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Dorpshuis 't Trefpunt,0225::SB6,6653 BJ,1473,677,20,2,0,0,0,666,36,0,0,3,0,0,702,174,52,103,87,82,4,89,12,74
Rivierenland,Druten,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Dorpshuis De Lier,0225::SB7,6655 AC,1719,805,12,7,0,0,1,753,70,0,0,0,0,0,824,178,94,120,80,132,9,63,11,118
Rivierenland,Druten,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Dorpshuis Horssen,0225::SB8,6631 AT,1324,788,15,1,0,0,0,707,97,0,0,0,0,0,804,209,114,109,78,147,6,57,14,54
Rivierenland,Druten,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Basisschool De Appelhof,0225::SB9,6652 BE,1633,867,18,5,0,0,0,814,76,0,0,0,0,0,890,154,68,177,139,187,1,66,10,65
Rivierenland,Druten,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau D'n Bogerd,0225::SB10,6651 KH,1697,497,12,1,0,0,0,455,55,0,0,0,0,0,510,89,54,82,55,85,1,58,10,63
