contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Hollandse Delta Natuurlijk
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Cult.Centrum De Drie Lelies,1963::SB1,3297 AM,1713,977,15,5,0,0,0,890,106,0,1,0,1,0,996,288,117,75,108,90,99,35,70,46,49
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau OBS Het Driespan,1963::SB2,3297 BS,1458,814,8,0,0,0,0,723,99,0,0,0,0,0,822,253,90,77,78,46,94,48,48,31,49
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Zorgwaard locatie 't Huys te Hoecke,1963::SB3,3297 SE,1436,857,12,4,0,0,0,779,95,1,0,1,0,0,874,249,103,98,67,51,89,58,58,29,55
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Dienstencentrum 't Weegje,1963::SB4,3295 CT,1272,1039,13,4,0,0,0,949,107,0,0,0,0,0,1056,299,158,92,76,106,114,57,57,30,50
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Partycentrum Concordia,1963::SB5,3295 AG,1296,598,7,1,0,0,0,533,73,0,0,0,0,0,606,177,68,39,45,66,82,59,28,15,19
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Buurthuis De Biesband,1963::SB6,3295 TH,1309,572,8,2,0,0,0,508,74,0,0,0,0,0,582,155,94,38,54,37,64,50,31,20,29
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Voetbalver. 's-Gravendeel,1963::SB7,3295 KK,1384,514,5,2,0,0,0,463,58,0,0,0,0,0,521,137,61,58,47,48,51,41,26,7,38
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Buurthuis 'Ronduit,1963::SB8,'3295 EK,487,227,5,2,0,0,0,199,35,0,0,0,0,0,234,79,51,23,15,14,7,7,11,7,13
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Ons Gebouw,1963::SB9,3295 BN,1368,726,7,3,0,0,0,654,79,0,3,0,0,0,733,225,91,69,54,62,81,60,41,17,26
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Burg. van Bommelschool,1963::SB10,3274 LV,698,388,3,1,0,0,0,358,33,0,1,0,0,0,391,127,49,42,25,20,40,23,14,20,28
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau De Erve,1963::SB11,3274 AK,944,509,3,0,0,0,0,462,50,0,0,0,0,0,512,123,89,58,36,35,48,48,35,7,30
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau MFC De Tienvoet,1963::SB12,3274 BN,1361,735,12,4,0,0,0,664,90,3,0,3,0,0,754,193,92,109,64,65,40,36,53,40,43
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau CBS De Weerklank,1963::SB13,3273 AN,1800,1058,14,1,0,2,0,951,124,0,0,2,0,0,1075,367,163,114,55,83,43,68,66,47,52
Hollandse Delta,Hoeksche Waard,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Dorpshart.1,1963::SB14,3271 SH,1589,1114,16,4,0,0,0,1016,118,0,0,0,0,0,1134,347,166,190,46,101,26,43,41,79,75
