contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Waterbelang Venlo,Waterbelang Midden-Limburg,Waterbelang Heuvelland,Waterbelang Land van Weert + Leudal,Waterbelang Westelijke Mijnstreek,AWP niet politiek wel deskundig,Waterbelang Venray en Maasduinen,Waterbelang Horst-Helden-Beesel,Waterbelang Parkstad,Water Natuurlijk,Lokaal Limburg,Waterbelang Maastricht,50PLUS
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeentehuis,1729::SB1,6271 DA,1201,695,36,5,0,0,0,629,108,0,0,1,0,0,737,32,5,2,506,2,4,23,1,0,5,75,15,6,19
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Zorgcentr Dr. Ackenshuis,1729::SB2,6271 EA,1085,470,12,2,0,0,1,419,64,0,0,0,0,0,484,36,3,4,310,4,5,17,2,0,7,32,20,11,19
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis Reijmerstok,1729::SB3,6274 NK,676,369,12,1,0,0,1,341,40,0,0,0,0,0,382,14,0,2,286,0,1,5,2,1,10,39,6,2,1
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis Wielderhoes,1729::SB4,6321 BG,1123,546,15,0,0,0,0,504,57,0,0,0,0,0,561,43,0,6,356,2,4,12,1,1,11,62,21,6,21
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Basisschool Op de Tien Bunder,1729::SB5,6321 CP,1008,525,15,6,0,0,0,507,38,0,1,0,0,0,545,14,2,2,329,2,1,15,2,0,12,112,18,4,12
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis A gen Sjoeël,1729::SB6,6281 AE,1541,886,31,4,0,0,1,807,112,0,1,0,0,0,920,32,3,2,693,5,0,15,0,1,20,83,18,8,6
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis Patronaat,1729::SB7,6285 BD,915,503,17,2,0,0,0,449,73,0,0,0,0,0,522,37,1,4,361,3,1,10,1,0,9,48,12,3,13
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Café A gen Baag,1729::SB8,6286 CA,610,267,13,2,0,0,0,241,40,0,1,0,0,0,281,9,2,1,198,2,2,7,0,0,11,16,9,0,10
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis A ge Wienhoes,1729::SB9,6286 AM,608,363,7,5,0,0,0,327,48,0,0,0,0,0,375,11,1,1,268,2,4,1,0,0,4,34,16,4,17
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Wooncomplex Agathahöfke,1729::SB10,6287 AL,1445,845,22,4,0,0,2,792,78,0,0,1,0,0,872,46,1,3,603,2,6,22,0,0,33,82,20,7,20
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis Wilder Tref,1729::SB11,6286 BG,415,210,3,2,0,0,1,196,18,0,0,0,0,0,215,4,1,0,160,1,2,4,1,0,6,23,6,0,2
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Fanfarezaal Berg en Dal,1729::SB12,6277 NC,549,326,11,5,0,0,2,304,36,0,0,0,0,0,342,28,2,2,219,1,1,8,0,1,1,41,10,1,11
Limburg,Gulpen-Wittem,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Verpleeghuis Klein Gulpen,1729::SB13,6271 AA,1090,461,17,5,0,0,1,423,59,0,0,0,0,0,483,23,2,2,345,3,6,5,1,1,4,32,16,5,16
