contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Waterbelang Venlo,Waterbelang Midden-Limburg,Waterbelang Heuvelland,Waterbelang Land van Weert + Leudal,Waterbelang Westelijke Mijnstreek,AWP niet politiek wel deskundig,Waterbelang Venray en Maasduinen,Waterbelang Horst-Helden-Beesel,Waterbelang Parkstad,Water Natuurlijk,Lokaal Limburg,Waterbelang Maastricht,50PLUS
Limburg,Nederweert,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeentehuis,0946::SB1,6031 VR,2255,1391,42,10,0,0,0,1311,132,0,0,0,0,0,1443,73,13,100,7,926,5,17,4,6,1,109,82,6,42
Limburg,Nederweert,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Zorgcentrum St. Joseph,0946::SB2,6031 BL,1792,718,22,4,0,0,0,673,72,0,0,1,0,0,745,71,6,50,3,463,2,13,3,0,1,56,24,2,24
Limburg,Nederweert,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Basisschool De Kerneel,0946::SB3,6031 HR,1743,770,27,3,0,0,0,719,81,0,0,0,0,0,800,49,2,34,4,547,3,19,0,0,5,45,38,0,24
Limburg,Nederweert,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis De Pinnenhof,0946::SB4,6031 BX,1249,706,29,6,0,0,0,658,83,0,0,0,0,0,741,53,1,51,0,477,2,13,1,2,0,38,39,2,27
Limburg,Nederweert,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis Pestoeërskoel,0946::SB5,6091 PD,882,497,18,1,0,0,0,445,69,0,2,0,0,0,514,15,0,23,2,400,0,3,0,2,0,30,17,0,5
Limburg,Nederweert,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Kerkelijke voorziening Budschop,0946::SB6,6031 BD,1527,793,36,2,0,0,0,748,83,0,0,0,0,0,831,59,5,51,4,555,0,13,1,2,3,38,36,3,23
Limburg,Nederweert,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stichting M.F.A. Haaze-hoof,0946::SB7,6035 AS,1260,657,28,4,0,0,0,609,80,0,0,0,0,0,689,45,4,42,0,473,1,8,0,0,3,24,40,2,15
Limburg,Nederweert,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Basisschool De Schrank,0946::SB8,6035 BD,1489,728,23,6,0,0,0,657,101,0,0,1,0,0,758,51,8,41,2,524,4,10,1,3,0,47,23,1,13
Limburg,Nederweert,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Thomashuis Ospeldijk,0946::SB9,6035 RB,613,294,4,0,0,0,0,266,32,0,0,0,0,0,298,20,0,25,1,183,2,6,0,6,1,29,13,0,8
Limburg,Nederweert,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis Reigershorst,0946::SB10,6034 TE,1288,766,22,4,0,0,0,716,76,0,0,0,0,0,792,60,2,59,1,530,1,8,1,1,1,62,29,2,9
