contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Partij voor de Dieren,Waterschap@inwonersbelangen,ChristenUnie,"AWP niet politiek, wel deskundig",Staatkundig Gereformeerde Partij (SGP),50PLUS
De Stichtse Rijnlanden,Lopik,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Gemeentehuis Lopik,0331::SB1,3411 CH,1555,799,21,7,0,0,0,742,86,1,0,1,0,0,828,73,135,185,57,54,67,85,23,84,36
De Stichtse Rijnlanden,Lopik,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Voormalige Peuterspeelzaal Villa Kakelbond,0331::SB2,3411 ZG,1036,457,6,4,0,0,0,424,43,0,0,0,0,0,467,60,76,92,40,32,56,28,18,35,20
De Stichtse Rijnlanden,Lopik,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Dorpshuis De Schouw,0331::SB3,3411 DJ,2000,1245,36,0,0,0,0,1151,130,0,0,0,0,0,1281,149,217,326,65,64,114,96,51,88,75
De Stichtse Rijnlanden,Lopik,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Buurthuis Uitweg,0331::SB4,3412 KR,1106,680,4,3,0,0,0,592,95,0,0,0,0,0,687,72,73,134,18,37,80,75,31,129,31
De Stichtse Rijnlanden,Lopik,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Ver. gebouw Jaarsveld,0331::SB5,3413 MP,773,422,3,3,0,0,0,363,65,0,0,0,0,0,428,45,82,79,19,29,26,41,11,76,14
De Stichtse Rijnlanden,Lopik,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau In 't Witte Paard,0331::SB6,3411 EC,809,511,1,1,0,0,0,426,87,0,0,0,0,0,513,42,200,146,13,19,19,13,8,33,18
De Stichtse Rijnlanden,Lopik,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Buurthuis 't Wilgegat,0331::SB7,3411 NC,262,174,1,2,0,0,0,164,13,0,0,0,0,0,177,16,26,67,3,11,15,8,7,18,3
De Stichtse Rijnlanden,Lopik,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Dorpshuis Benschop,0331::SB8,3405 XJ,2313,1386,15,10,0,1,1,1251,160,0,0,1,0,0,1412,170,203,312,65,72,82,101,46,270,65
De Stichtse Rijnlanden,Lopik,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Buurthuis de Triangel,0331::SB9,3405 CE,641,453,1,0,0,0,0,392,62,0,0,0,0,0,454,24,64,104,12,16,29,48,11,134,11
De Stichtse Rijnlanden,Lopik,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Dorpshuis  Polsbroek,0331::SB10,3415 PE,872,578,3,0,0,0,0,518,63,0,0,0,0,0,581,48,59,85,15,16,19,102,21,207,6
