contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,FNP,Partij van de Arbeid (P.v.d.A.),Lagere Lasten Burger,VVD,ChristenUnie,Partij voor de Dieren,50PLUS
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Gemeentehuis 'De Groenlandsvaarder',0072::SB1,8861 BD,1336,743,11,4,0,0,0,675,83,0,0,0,0,0,758,118,112,44,144,61,100,36,79,49
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau R.K. Basisschool Sint Michaëlschool,0072::SB2,8861 CV,1555,904,15,4,0,0,0,864,59,0,0,0,0,0,923,208,122,63,152,70,99,47,79,64
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Scholengemeenschap Simon Vestdijk,0072::SB3,8862 TA,1370,544,7,3,0,0,1,514,37,0,2,0,0,0,552,85,82,44,103,44,41,25,65,55
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau MFC Het Vierkant,0072::SB4,8862 BB,1778,936,11,4,0,0,0,867,85,0,0,1,0,0,952,224,90,73,173,86,75,44,87,84
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau CBS Prins Johan Friso,0072::SB5,8862 ZA,1721,858,11,4,0,0,0,788,88,0,0,3,0,0,876,226,110,55,156,100,42,54,58,57
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Dorpshuis De Spil,0072::SB6,8872 NR,521,278,3,1,0,0,0,265,17,0,0,0,0,0,282,66,40,28,49,16,29,8,21,21
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Wooncentrum Almenum,0072::SB7,8861 JH,1694,897,12,7,0,0,1,845,70,0,0,0,0,0,916,236,103,59,179,83,74,40,57,66
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau MCL-Harlingen/De Batting (De Haven),0072::SB8,8862 AJ,1145,681,9,2,0,0,0,617,75,0,0,0,0,0,692,182,77,41,110,53,76,40,50,52
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Dorpshuis De Bijekoer,0072::SB9,8857 BT,388,223,1,2,0,0,0,214,12,0,0,0,0,0,226,40,29,29,54,17,11,8,24,11
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau OBS Noorderlicht,0072::SB10,8862 WC,1184,549,14,3,0,0,0,508,58,0,0,0,0,0,566,121,52,46,101,58,68,29,38,36
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Stationsrestauratie Harlingen,0072::SB11,8861 GA,1,170,2,0,0,0,0,161,11,0,0,0,0,0,172,44,25,10,36,13,12,7,18,5
Fryslân,Harlingen,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Noorderbreedte/ De Spiker,0072::SB12,8861 VD,38,70,3,1,0,0,0,71,3,0,0,0,0,0,74,23,5,5,19,4,3,2,3,6
