contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,AWP niet politiek wel deskundig,50PLUS,ChristenUnie
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Gemeentehuis,0047::SB1,9641 AW,1259,751,13,2,0,0,0,693,73,0,0,0,0,0,766,239,156,81,86,88,55,46
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Cultuurcentrum van Beresteyn,0047::SB2,9641 AD,1513,889,25,6,0,0,0,847,73,0,0,0,0,0,920,344,157,88,74,90,88,48
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Waterschap Hunze en Aa's,0047::SB3,9641 PJ,1190,447,4,2,0,0,2,403,48,0,0,0,0,0,453,156,85,43,36,57,45,25
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Huize St Franciscus,0047::SB4,9641 LW,1223,594,10,3,0,0,0,550,57,0,0,0,0,0,607,195,115,75,53,65,41,50
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Woonzorgcentrum A.G. Wildervanck,0047::SB5,9642 LN,1342,520,15,2,0,0,0,489,47,0,1,0,1,0,536,214,75,72,37,54,57,11
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Verpleeghuis Meander,0047::SB6,9642 AP,868,423,9,1,0,0,0,393,40,0,0,0,0,0,433,150,72,43,43,42,42,31
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Zorglokatie Meander: De Breehorn,0047::SB7,9641 LK,1201,470,6,5,0,0,0,447,34,0,0,0,0,0,481,165,114,26,32,43,47,43
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Wijkcentrum Dukdalf,0047::SB8,9642 MA,1744,966,23,6,0,0,2,911,82,0,0,0,0,0,995,388,190,70,73,86,94,65
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau O.B.S. de Viermaster,0047::SB9,9642 KX,1206,614,11,1,0,0,0,571,55,0,0,0,0,0,626,249,109,58,46,63,58,31
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Woon en zorgcentrum Westerhave,0047::SB10,9648 BE,1579,748,14,1,1,0,2,705,57,0,0,1,0,0,764,262,127,112,68,72,71,36
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Bijleveldcentrum,0047::SB11,9648 CM,1237,578,11,2,0,0,0,548,43,0,0,0,0,0,591,209,116,50,51,63,63,26
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau O.B.S. de Sleutel,0047::SB12,9648 KK,1385,557,22,4,0,0,0,532,51,0,0,0,0,0,583,197,84,45,47,75,73,36
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis de Molenwiek,0047::SB13,9644 VL,1356,677,13,3,0,0,0,639,54,0,0,0,0,0,693,257,96,81,60,85,69,29
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Woonzorgcomplex De Meridiaan,0047::SB14,9645 HC,2296,931,18,5,0,0,0,872,82,0,0,0,0,0,954,426,182,60,49,85,90,39
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Buurthuis Noord-West,0047::SB15,9645 BC,1024,356,14,0,0,0,0,333,37,0,0,0,0,0,370,130,76,16,17,45,48,24
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau O.S.G. Winkler Prins,0047::SB16,9646 AA,1589,858,15,3,0,0,0,799,76,0,1,0,1,0,875,355,145,89,80,72,61,56
Hunze en Aa's,Veendam,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Kantine VV Borgercompagnie,0047::SB17,9631 TN,377,251,6,3,0,0,0,230,30,0,0,0,0,0,260,78,50,61,14,18,16,14
