contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Ons Water,West-Brabant Waterbreed,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),50PLUS,AWP niet politiek wel deskundig,ChristenUnie,Partij voor de Dieren
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Cult.centr. Fidei et Arti,1655::SB1,4731 HV,2166,965,10,5,0,0,0,904,77,0,0,1,0,0,981,135,157,108,159,78,62,108,38,13,107
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Sportivo Healthcenter,1655::SB2,4731 LH,1485,509,12,4,0,0,0,475,50,0,0,0,0,0,525,79,89,58,84,25,39,67,15,4,49
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Centrum Wonen&Zorg de Zellebergen,1655::SB3,4731 NZ,1803,844,11,2,0,0,0,766,91,0,0,0,0,0,857,110,146,95,194,63,76,83,26,4,47
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Steunpunt voor ouderen Pagnevaart,1655::SB4,4731 BS,1611,739,27,2,0,0,0,718,51,0,0,1,0,0,769,110,143,97,131,58,37,75,30,12,46
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Basisschool De Regenboog,1655::SB6,4731 VW,1910,794,16,4,0,0,0,731,83,0,0,0,0,0,814,139,82,140,159,62,52,60,34,8,58
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Brandweerkazerne,1655::SB8,4741 EJ,1971,1109,16,4,0,0,1,1001,127,0,0,0,0,0,1129,205,182,105,244,139,55,64,21,25,69
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Trefpunt KBO,1655::SB9,4741 AG,1325,777,11,5,0,0,0,702,91,0,0,0,0,0,793,123,151,69,272,37,37,35,7,4,42
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Zaal Hart van Gastel,1655::SB11,4751 HR,1338,617,9,1,0,0,4,546,76,0,1,0,0,0,626,101,103,67,150,35,36,65,13,8,39
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Onder de Toren,1655::SB12,4751 HL,1110,605,4,2,0,0,1,549,61,0,0,0,0,0,611,83,131,95,116,36,41,41,18,8,36
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Centrum Het Veerhuis,1655::SB14,4751 CS,2143,916,18,6,0,0,0,848,94,0,0,2,0,0,942,111,148,140,196,54,63,102,25,11,66
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Unieke Werken,1655::SB15,4754 AC,1020,478,12,0,0,0,0,433,57,0,0,0,0,0,490,51,106,59,90,35,19,59,16,2,41
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau MFA 't Bossche Hart,1655::SB16,4744 BZ,1991,871,31,6,0,0,0,802,106,0,0,0,0,0,908,195,114,94,169,62,45,74,30,4,84
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Regionaal Archief West Brabant,1655::SB17,4731 CD,1473,735,11,3,0,0,0,678,71,0,0,0,0,0,749,133,108,93,138,49,63,57,28,8,58
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Woon- en Zorgcentrum Blankershof,1655::SB18,4751 KK,1023,398,10,0,0,0,0,367,41,0,0,0,0,0,408,75,101,41,68,31,13,31,9,4,25
Brabantse Delta,Halderberge,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stembureau Woon- en Zorgcentrum Kroonestede,1655::SB19,4741 JC,2475,878,12,2,0,0,0,792,100,0,0,0,0,0,892,193,153,72,214,70,34,65,20,8,49
