contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Partij voor de Dieren,CDA,De Groenen,50PLUS,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,ChristenUnie
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Gemeentehuis,0451::SB1,1423 AJ,1895,1389,10,3,0,6,0,1269,127,0,6,0,0,0,1396,391,226,191,161,131,48,108,11,59,7,6,50
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Springschans,0451::SB2,1423 ET,3050,1677,18,6,0,2,0,1497,206,0,0,2,0,0,1703,471,238,240,161,161,112,129,21,81,2,6,55
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau KnA-Gebouw,0451::SB3,1422 RG,1696,1070,19,2,0,0,0,996,95,0,0,0,0,0,1091,256,168,131,123,77,68,126,19,66,2,1,33
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Dorpshuis de Quakel,0451::SB4,1424 BK,1986,1140,14,6,0,1,1,1041,117,0,1,0,0,0,1159,338,99,141,86,251,37,73,6,62,0,1,46
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Alkwin Kollege,0451::SB5,1422 MT,1665,721,20,5,0,0,0,675,71,0,0,0,0,0,746,226,110,65,63,75,40,56,5,52,2,5,22
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Buurthuis Ponderosa,0451::SB6,1421 XM,1857,655,18,8,0,0,0,631,50,0,0,0,0,0,681,115,95,103,78,66,25,87,9,38,2,1,36
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau het Duet,0451::SB7,1421 BN,1632,817,22,4,0,0,0,786,57,0,0,0,0,0,843,158,150,111,105,86,51,73,10,34,2,8,29
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Wijkcentrum,0451::SB8,1422 DT,1486,876,19,6,0,3,0,830,68,0,3,0,0,0,898,162,161,117,93,120,43,81,7,49,5,7,31
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Het Hoge Heem,0451::SB9,1422 CB,2142,1158,31,5,0,2,0,1092,104,0,0,2,0,0,1196,252,194,202,122,117,70,100,12,40,6,2,41
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Brede School,0451::SB10,1422 WX,2454,959,17,3,0,1,0,849,131,0,0,1,0,0,980,368,133,120,68,95,48,47,9,46,5,4,16
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Evang. Chr. Gem.,0451::SB11,1422 JP,1949,827,21,3,0,2,0,773,80,0,0,2,0,0,853,165,135,116,107,90,45,72,19,31,4,5,38
"Amstel, Gooi en Vecht",Uithoorn,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau R.K. Basisschool De Zon,0451::SB12,1424 AM,1534,801,16,3,0,1,0,738,81,0,1,0,0,0,819,226,84,89,84,134,28,49,11,56,1,2,37
