contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Partij voor de Dieren,CDA,De Groenen,50PLUS,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,ChristenUnie
"Amstel, Gooi en Vecht",Weesp,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Stadhuis,0457::SB1,1381 BB,1383,1224,22,6,0,0,1,1138,115,2,0,2,0,0,1254,213,175,270,172,191,75,53,4,26,1,7,37
"Amstel, Gooi en Vecht",Weesp,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Gebouw Papelaan 99,0457::SB2,1382 RK,1758,721,19,10,0,0,0,683,67,0,0,0,0,0,750,62,157,111,83,98,53,72,20,24,4,5,32
"Amstel, Gooi en Vecht",Weesp,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau De Hogeweyk,0457::SB3,1382 GV,1657,619,16,3,0,0,1,587,51,0,0,1,0,0,639,79,95,115,81,72,34,73,7,35,3,1,24
"Amstel, Gooi en Vecht",Weesp,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Vechtstede college,0457::SB4,1382 CD,1706,884,20,3,0,0,0,818,89,0,0,0,0,0,907,157,153,124,73,138,56,99,11,33,1,7,32
"Amstel, Gooi en Vecht",Weesp,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Brede school Kors Breijer,0457::SB5,1382 RP,1721,661,8,3,0,0,0,605,67,0,0,0,0,0,672,88,137,103,82,84,47,53,9,27,3,4,24
"Amstel, Gooi en Vecht",Weesp,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Verzorgingshuis Oversingel,0457::SB6,1381 DE,1600,860,19,6,0,0,0,807,78,0,0,0,0,0,885,120,138,141,91,177,48,67,12,24,1,5,36
"Amstel, Gooi en Vecht",Weesp,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Sporth. Aetsveld,0457::SB7,1383 ED,1481,893,20,2,0,0,0,834,81,0,0,0,0,0,915,152,144,139,95,158,39,77,12,39,2,9,27
"Amstel, Gooi en Vecht",Weesp,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Sporthal Aetsveld,0457::SB8,1383 ED,1496,829,19,7,0,0,0,781,74,0,0,0,0,0,855,126,143,108,100,169,36,80,16,30,0,3,18
"Amstel, Gooi en Vecht",Weesp,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Brandweerkazerne,0457::SB9,1381 CZ,1311,817,10,2,0,0,0,748,81,0,0,0,0,0,829,144,121,123,87,166,40,56,7,31,1,1,40
"Amstel, Gooi en Vecht",Weesp,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Svala Auto Weesp,0457::SB10,1382 LE,1461,868,13,1,0,0,0,782,100,0,0,0,0,0,882,178,147,148,95,121,54,52,2,25,3,4,39
