contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),Vrienden van de Berkel,AWP niet politiek wel deskundig,50PLUS,Vereniging Dorpshuizen en Kleine Kernen
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Gemeentehuis,1876::SB1,,1462,908,18,5,0,1,0,838,94,0,0,1,0,0,932,270,160,181,110,69,58,37,23
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Sporthal De Kamp / Hengelo Gld,1876::SB2,,1629,812,16,3,0,0,1,778,52,0,0,0,0,0,831,216,90,165,91,86,55,51,58
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Ons Huis / Hengelo Gld,1876::SB3,,1429,798,20,0,0,0,0,762,56,0,0,0,0,0,818,240,102,144,97,74,50,54,37
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Dorpshuis De Horst / Keijenborg,1876::SB4,,1463,807,9,2,0,1,0,746,73,0,0,1,0,0,819,355,87,99,66,40,53,46,61
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Dorpshuis Varssel,1876::SB5,,662,365,5,2,0,0,0,332,40,0,0,0,0,0,372,125,48,61,47,30,25,11,18
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Cult. Centrum De Brink / Zelhem,1876::SB6,,1514,832,16,4,0,1,0,766,85,0,1,0,0,0,851,209,137,178,117,49,75,34,33
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Oranjehof,1876::SB7,,1499,682,17,0,0,0,1,651,48,0,0,1,0,1,700,187,92,119,107,42,79,31,25
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Dorpshuis D'n Draejer / Zelhem,1876::SB8,,943,521,7,7,0,0,0,480,55,0,0,0,0,0,535,171,57,95,47,23,51,27,50
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau ARX Theater / Zelhem,1876::SB9,,651,305,2,0,0,0,0,270,37,0,0,0,0,0,307,95,49,44,29,24,39,17,8
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Heidehuus,1876::SB10,,485,309,3,0,0,0,0,283,30,1,0,1,0,0,313,91,38,28,50,19,38,8,37
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Cafe-Restaurant Nijhof / Halle,1876::SB11,,1170,624,17,0,0,0,0,581,60,0,0,0,0,0,641,167,90,99,58,31,73,47,59
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau De Zonnekamp,1876::SB12,,1377,735,22,3,0,2,0,701,57,0,2,0,0,0,758,185,99,92,127,61,79,55,37
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Basisschool de Meene,1876::SB13,,1374,690,13,4,0,0,0,662,46,1,0,1,0,0,708,156,120,95,113,57,79,45,25
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Kulturhuis Vorden,1876::SB14,,1530,1192,9,4,0,0,0,1105,100,0,0,0,0,0,1205,268,233,168,184,179,60,66,34
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Basisschool de Hooge Voorde,1876::SB15,,1468,724,11,1,0,0,0,673,63,0,0,0,0,0,736,158,135,132,97,98,50,42,12
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Old Vorden Huus,1876::SB16,,1627,1000,15,5,0,0,0,952,68,0,0,0,0,0,1020,226,167,155,170,161,51,43,27
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Basisschool De Kraanvogel / Vorden,1876::SB17,,1039,573,11,4,0,1,0,522,67,0,0,1,0,0,589,172,93,102,46,74,23,30,33
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Basisschool De Garve / Wichmond,1876::SB18,,1087,702,9,2,0,0,0,646,67,0,0,0,0,0,713,223,121,146,63,71,31,20,27
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,"Stembureau Sportcafe "" Het Hooge Wessel"" / Steenderen",1876::SB19,,992,635,10,2,0,0,0,588,59,0,0,0,0,0,647,179,117,93,91,59,33,32,31
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Dorpshuis 't Lokaal Olburgen,1876::SB20,,293,194,1,0,0,0,0,174,21,0,0,0,0,0,195,50,46,26,27,13,9,11,12
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Basisschool De Rank / Toldijk,1876::SB21,,695,471,3,1,0,0,0,430,45,0,0,0,0,0,475,223,64,63,43,23,21,11,23
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Het Wapen van Baak,1876::SB22,,907,532,11,0,0,0,0,493,50,0,0,0,0,0,543,156,108,82,73,45,25,15,28
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Sportcafe Hessenhal,1876::SB23,,880,593,4,2,0,0,0,547,53,1,0,1,0,0,600,101,156,134,72,23,29,15,63
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Zorgcentrum Hyndendael / Hummelo,1876::SB24,,1337,834,17,4,0,0,1,779,75,0,0,0,0,0,855,230,151,160,90,20,26,22,135
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Dorpshuis Drempt,1876::SB25,,849,526,8,3,0,0,0,490,47,0,0,0,0,0,537,136,89,68,85,23,33,33,59
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau 't Hessenhuus,1876::SB26,,511,305,0,0,0,0,0,277,28,0,0,0,0,0,305,124,48,32,36,10,5,23,27
Rijn en IJssel,Bronckhorst,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau De Bongerd,1876::SB27,,990,554,9,2,0,1,0,527,37,0,1,0,0,0,564,213,85,69,54,44,30,28,31
