contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,AWP niet politiek wel deskundig,VVD,ChristenUnie,OUDERENPARTIJ,Staatkundig Gereformeerde Partij (SGP),8,50PLUS
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Gemeentehuis,0189::SB1,7642 EC,1281,882,10,0,0,0,0,795,97,0,0,0,0,0,892,250,133,122,180,104,17,31,5,40
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Kluinveenschool,0189::SB2,7641 AL,1227,816,10,4,0,0,0,745,85,0,0,0,0,0,830,270,121,88,134,100,12,41,5,45
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Wijkcentrum Kandjoli,0189::SB3,7642 XX,1601,726,6,1,0,1,0,681,53,0,0,1,0,0,734,205,130,101,64,90,29,78,3,26
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau ZorgAccent,0189::SB4,7642 GW,1662,873,21,1,0,1,0,827,69,0,0,1,0,0,896,293,122,116,111,87,32,53,1,58
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Zorgcentrum 't Wedervoort,0189::SB5,7641 VA,1723,1090,21,4,0,1,0,1003,111,0,1,0,0,0,1114,273,188,190,166,122,27,65,1,58
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Tennishal De Stouwe,0189::SB6,7641 AC,1470,951,13,2,0,0,0,885,81,0,0,0,0,0,966,224,189,157,144,115,18,23,4,77
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Zorgcentrum Het Reggedal,0189::SB7,7468 BX,1391,821,9,9,0,0,3,755,81,0,0,0,0,0,839,313,94,50,81,160,32,46,4,41
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Hervormd Dienstgebouw,0189::SB8,7468 GC,1378,870,8,4,0,0,0,782,100,0,0,0,0,0,882,293,98,74,173,120,22,43,2,45
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Hervormd Dienstgebouw,0189::SB9,7468 GC,1345,886,12,3,0,0,0,792,109,0,0,0,0,0,901,269,126,56,202,88,26,74,2,43
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Kulturhus Hoge Hexel,0189::SB10,7645 AV,833,526,8,1,0,0,0,491,44,0,0,0,0,0,535,179,75,29,46,68,5,109,4,11
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,"Stembureau Kulturhus ""Irene""",0189::SB11,7467 PL,748,539,8,0,0,0,0,477,70,0,0,0,0,0,547,218,35,21,58,76,2,119,4,6
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Akkerhus,0189::SB12,7468 RE,427,306,2,2,0,0,0,269,41,0,0,0,0,0,310,97,29,17,46,24,5,82,0,6
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Gemeentehuis,0189::SB13,7642 EC,1251,854,11,2,0,3,1,802,61,0,3,0,0,0,864,208,149,109,181,102,22,43,2,38
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau De Luchtbode,0189::SB14,7468 EZ,1366,760,9,4,0,1,0,692,82,0,0,1,0,0,774,245,114,44,148,117,15,50,5,22
Vechtstromen,Wierden,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Verenigingsgebouw VDH,0189::SB18,7641 AG,1418,690,15,2,0,0,0,649,58,0,0,0,0,0,707,154,142,109,178,36,14,16,1,40
