contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Hollandse Delta Natuurlijk
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 01 Gemeentehuis,0489::SB1,2991 AA,1299,588,5,2,0,0,0,530,65,0,0,0,0,0,595,155,73,80,47,35,54,37,50,25,32
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 02 Triomfatorkerk,0489::SB2,2991 CH,923,666,8,0,0,0,1,606,66,0,1,0,1,0,673,148,90,109,38,68,51,58,32,32,40
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 03 trouwzaal De Watertoren,0489::SB3,2992 BE,1260,807,14,3,0,1,0,743,82,0,0,1,0,0,825,188,120,70,51,47,126,70,59,22,54
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 04 Café 't Schaapje,0489::SB4,2993 BG,1414,690,9,1,0,0,0,618,82,0,0,0,0,0,700,201,66,124,47,46,21,20,69,43,53
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 05 basisschool De Draaimolen,0489::SB5,2992 DN,2198,1187,11,2,0,0,0,1077,123,0,0,0,0,0,1200,332,156,118,84,89,90,94,94,49,81
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 07 Immanuelkerk,0489::SB7,2992 GG,1483,965,14,2,0,0,0,868,114,0,0,1,0,0,982,277,105,125,53,75,83,82,72,43,50
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 08 Woonzorgcentrum Borgstede,0489::SB8,2991 HP,1433,715,13,4,0,0,0,674,58,0,0,0,0,0,732,204,88,47,62,67,63,50,56,28,50
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 09 Gemeentehuis 2,0489::SB9,2991 AA,1409,677,20,3,0,1,0,622,79,0,0,1,0,0,701,188,73,65,66,44,68,56,50,24,43
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 10 gebouw De Baerne,0489::SB10,2991 GA,1323,868,12,2,0,0,1,794,87,0,0,0,0,0,882,200,130,94,58,62,91,79,60,41,53
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 11 Basisschool De Tweemaster,0489::SB11,2991 JN,1210,770,19,5,0,0,0,724,70,0,0,0,0,0,794,203,118,79,81,68,35,55,47,34,50
