contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,AWP niet politiek wel deskundig,VVD,ChristenUnie,OUDERENPARTIJ,Staatkundig Gereformeerde Partij (SGP),8,50PLUS
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Stembureau Gemeentehuis Ommen,0175::SB1,7731 EE,1115,683,17,1,0,0,0,642,59,0,0,0,0,0,701,168,156,44,106,129,29,11,4,36
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,"Stembureau Stembureau Jeugdgebouw ""De Schakel""",0175::SB2,8148 PD,801,486,4,5,0,0,0,425,70,0,0,0,0,0,495,188,89,29,80,49,12,14,2,23
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,"Stembureau Stembureau Verenigingsgebouw ""De Garve""",0175::SB5,7685 PL,942,553,10,0,0,0,0,521,42,0,0,0,0,0,563,114,57,96,48,162,24,29,4,19
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,"Stembureau Stembureau Restaurant ""De Bootsman""",0175::SB6,7737 PE,973,470,6,0,0,0,2,422,52,0,0,0,0,0,476,122,103,46,81,56,11,27,2,22
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Stembureau Cultureel Centrum CARROUSEL,0175::SB14,7731 EH,938,583,9,2,0,0,0,543,51,0,0,0,0,0,594,98,119,50,105,158,12,11,2,28
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,"Stembureau Stembureau ""Nijenhaghen""",0175::SB15,7731 ZL,1267,875,7,1,0,0,0,819,64,0,0,0,0,0,883,168,177,76,129,235,31,17,2,40
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,"Stembureau Stembureau Restaurant ""De Wildzang""",0175::SB16,7731 AX,480,514,8,1,0,0,0,489,35,0,0,1,0,0,524,71,115,35,182,84,6,10,1,10
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,"Stembureau Stembureau Kerkelijk Centrum ""De Kern""",0175::SB17,7731 CP,750,502,5,0,0,0,0,487,34,0,0,14,0,0,521,134,106,40,94,84,11,6,2,25
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Stembureau C.B.S. De Kardoen,0175::SB18,7731 VW,959,463,6,1,0,0,0,431,39,0,0,0,0,0,470,126,77,22,90,106,9,11,1,21
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,"Stembureau Stembureau Restaurant ""De Nieuwe Brug""",0175::SB19,7731 PR,720,342,3,1,0,0,0,311,36,1,0,1,0,0,347,79,73,33,106,35,2,2,1,11
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Stembureau Hervormd Centrum,0175::SB20,7731 GH,1110,551,24,3,0,0,0,543,35,0,0,0,0,0,578,151,100,39,99,95,13,12,9,33
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,"Stembureau Stembureau Sportzaal ""De Slaghen""",0175::SB21,7731 TJ,1019,819,7,6,0,0,0,768,64,0,0,0,0,0,832,169,184,60,202,145,19,15,3,22
Vechtstromen,Ommen,AB2019_Vechtstromen,Algemeen bestuur van het waterschap Vechtstromen 2019,5,Vechtstromen,2019-03-20,Stembureau Stembureau LARCOM,0175::SB22,7731 SM,814,474,6,1,0,0,0,444,37,0,0,0,0,0,481,95,95,22,110,107,5,13,3,24
