contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,AWP niet politiek wel deskundig,50PLUS,ChristenUnie
Hunze en Aa's,Westerwolde,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Sellingen  (Gemeentehuis),1950::SB1,9551 AB,1358,910,7,3,0,0,2,818,100,0,0,0,0,0,920,256,85,70,293,81,71,54
Hunze en Aa's,Westerwolde,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Vlagtwedde (De Bolderbörg),1950::SB2,9541 BW,1332,591,1,2,0,0,0,539,53,0,2,0,2,0,592,190,66,47,127,52,62,47
Hunze en Aa's,Westerwolde,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Vlagtwedde (MFA 't Aambeeld),1950::SB3,9541 AX,1118,784,9,1,0,0,1,722,71,0,0,0,0,0,794,239,64,87,226,69,54,45
Hunze en Aa's,Westerwolde,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Bourtange (De Turfschuur),1950::SB4,9545 PH,647,289,2,0,0,0,0,269,22,0,0,0,0,0,291,102,29,26,71,24,22,15
Hunze en Aa's,Westerwolde,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Jipsinghuizen (Buurthuis),1950::SB5,9551 TH,852,461,10,2,0,0,0,429,44,0,0,0,0,0,473,118,24,55,157,67,24,16
Hunze en Aa's,Westerwolde,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Ter Apelkanaal (D'Oale School),1950::SB6,9563 RD,810,410,2,3,0,0,0,379,36,0,0,0,0,0,415,110,43,38,133,47,30,9
Hunze en Aa's,Westerwolde,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Ter Apel  ('t Streekje),1950::SB7,9561 SC,1378,548,9,0,0,0,0,506,51,0,0,0,0,0,557,140,88,44,133,47,66,30
Hunze en Aa's,Westerwolde,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Ter Apel (Kloosterheerd),1950::SB8,9561 RD,1007,390,5,4,0,0,0,375,24,0,0,0,0,0,399,107,74,14,74,41,65,15
Hunze en Aa's,Westerwolde,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Ter Apel (Sporthalkantine),1950::SB9,9561 KD,1662,765,14,1,0,0,0,704,76,0,0,0,0,0,780,204,129,77,174,71,95,15
Hunze en Aa's,Westerwolde,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Barnflair (De Grensstreek),1950::SB10,9561 PC,855,426,3,6,0,0,0,383,52,0,0,0,0,0,435,125,53,19,92,55,63,19
