contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,Partij voor de Dieren,ChristenUnie-SGP,50PLUS,Trots op Nederland (TROTS)
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Gemeentehuis Noordwijk,0575::SB1,2201 HW,1233,914,19,5,0,0,0,822,116,0,0,0,0,0,938,320,149,105,122,43,92,31,45,7
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau De Vinkenhof,0575::SB2,2201 EM,1579,806,10,1,0,0,0,789,28,0,0,0,0,0,817,230,167,91,82,46,81,31,59,19
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Woonzorgcentrum Jeroen,0575::SB3,2201 KS,1649,759,8,2,0,4,0,684,89,0,0,4,0,0,773,244,113,79,113,41,57,30,74,8
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau De Wieken,0575::SB4,2201 RD,1652,826,20,0,0,0,0,782,64,0,0,0,0,0,846,181,119,109,126,45,91,33,103,19
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Bibliotheek Noordwijk,0575::SB5,2201 MC,1851,971,30,7,0,0,0,914,94,0,0,0,0,0,1008,252,168,109,161,71,87,34,83,6
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Basisschool De Schapendel,0575::SB6,2203 GH,1542,919,13,2,0,0,0,850,84,0,0,0,0,0,934,207,177,120,143,52,77,41,91,11
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Buurtkerk,0575::SB7,2202 GD,1462,713,16,1,0,0,1,628,101,0,0,0,0,0,730,345,95,63,46,49,48,15,42,10
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Het Trefpunt,0575::SB8,2202 HJ,1183,890,10,5,1,3,0,811,99,1,0,5,0,0,910,304,134,90,100,49,73,45,88,7
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau De Muze,0575::SB9,2202 NS,1388,520,7,4,0,0,0,467,64,0,0,0,0,0,531,202,69,47,67,27,39,15,51,3
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Chr. Basisschool Wakersduin,0575::SB10,2202 SP,1139,629,0,0,0,0,0,563,66,0,0,0,0,0,629,168,86,79,95,58,54,17,58,14
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Woonzorgcentrum Groot Hoogwaak,0575::SB11,2202 TG,1341,636,3,8,0,0,0,583,64,0,0,0,0,0,647,132,132,65,80,40,69,27,85,6
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Fletcher Hotel De Witte Raaf,0575::SB12,2204 AT,717,313,10,1,0,0,0,277,47,0,0,0,0,0,324,107,57,27,30,17,36,10,22,7
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Openbare Basisschool De Jutter,0575::SB13,2201 XP,1076,552,6,2,0,0,1,504,55,0,0,0,0,0,560,129,75,54,91,35,59,20,70,19
Rijnland,Noordwijk,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Stembureau Uitvaltij (voormalig basisschool),0575::SB14,2201 WL,1560,871,15,4,0,0,2,797,91,0,0,0,0,0,890,165,147,104,175,80,83,39,63,15
