contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Hollandse Delta Natuurlijk
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Gemeentehuis,0642::SB1,,1897,1623,35,10,0,6,1,1503,158,0,6,0,0,0,1662,419,196,162,117,120,153,148,128,66,114
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau NS Station Zwijndrecht,0642::SB2,,0,832,28,3,0,9,0,807,68,3,0,12,0,0,875,255,74,80,63,85,51,61,64,40,59
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Verenigingsgebouw 'P.V. Steeds Sneller',0642::SB3,,2078,688,11,5,0,1,0,629,74,0,1,0,2,0,703,192,107,71,51,32,41,66,57,22,49
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Kinderdagcentrum 'Ons Blije Honck',0642::SB4,,1548,928,10,2,0,1,0,845,94,0,1,0,0,0,939,233,104,102,85,75,73,103,55,36,62
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Winkelcentrum Walburg,0642::SB5,,4965,1708,42,10,0,0,0,1616,144,0,0,0,0,0,1760,444,251,171,179,113,89,139,169,60,93
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Capital Sports 'Rob Sterkenzaal',0642::SB6,,2364,1270,13,2,0,0,0,1177,112,0,0,4,0,4,1289,306,188,106,101,45,189,134,89,36,76
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wijkaccommodatie Xiejezo,0642::SB7,,2955,1134,20,6,1,0,0,1035,124,0,1,0,0,0,1159,351,123,63,125,72,98,109,98,39,56
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wijkaccommodatie Hart van Meerdervoort,0642::SB8,,1821,972,26,9,0,2,0,904,105,0,0,2,0,0,1009,302,96,61,113,75,47,107,91,30,50
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wijkaccommodatie Kubiek,0642::SB9,,3743,1328,28,4,0,2,0,1246,112,0,2,0,0,0,1358,376,152,120,103,93,49,136,136,61,102
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wijkaccommodatie 't Klankbord,0642::SB10,,3685,2172,55,9,0,6,2,1978,262,0,0,6,0,0,2242,548,239,343,178,146,74,202,200,80,162
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Activiteitencentrum De Nedenrburgh / Cannenburgh,0642::SB11,,3560,1205,24,5,0,0,0,1135,99,0,0,0,0,0,1234,330,145,102,113,107,40,121,93,53,101
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Sporthal ''Den Dam'',0642::SB12,,3096,1682,32,3,0,2,0,1559,156,0,2,0,0,0,1715,453,251,168,102,200,46,110,81,60,211
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Sportcomplex ''De Hoge Devel'',0642::SB13,,1512,987,21,3,0,1,0,906,106,0,0,1,0,0,1012,310,93,94,94,85,45,85,76,37,68
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Nebo,0642::SB14,,1124,119,1,1,0,0,0,113,8,0,0,0,0,0,121,1,2,0,1,0,113,2,0,0,0
Hollandse Delta,Zwijndrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Swinhove / Ambachstaete,0642::SB15,,1597,100,5,2,0,0,0,97,10,0,0,0,0,0,107,23,23,6,19,1,1,7,16,1,3
