contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Partij voor de Dieren,CDA,De Groenen,50PLUS,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,ChristenUnie
"Amstel, Gooi en Vecht",Hilversum,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Raadhuis,0402::SB1,1217 JE,1522,1546,26,9,0,0,2,1437,142,0,0,0,0,0,1581,397,221,291,180,154,88,69,14,40,8,4,80
"Amstel, Gooi en Vecht",Hilversum,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Mozarthof School,0402::SB2,1217 CM,1715,904,14,5,0,7,1,812,117,0,0,7,0,0,930,440,44,162,63,78,29,37,1,25,2,1,22
"Amstel, Gooi en Vecht",Hilversum,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Openbare Bibliotheek,0402::SB3,1217 EH,1842,1076,27,5,0,0,0,1141,0,0,0,33,0,0,1141,342,114,189,114,103,74,45,5,31,2,3,54
"Amstel, Gooi en Vecht",Hilversum,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Chr. Verpleeghuis 'Gooizicht',0402::SB4,1217 SH,1454,678,19,6,0,0,0,635,68,0,0,0,0,0,703,208,79,119,73,54,43,39,8,14,1,1,39
"Amstel, Gooi en Vecht",Hilversum,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Zorgcentrum 'De Boomberg',0402::SB5,1217 SV,1301,569,14,3,3,0,0,527,62,0,0,3,0,0,589,102,82,110,68,39,40,53,4,26,3,1,41
"Amstel, Gooi en Vecht",Hilversum,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Anna Gebouw,0402::SB6,1211 NE,2645,899,29,2,1,0,1,849,79,0,1,0,0,0,929,112,132,146,165,78,54,90,12,38,4,10,58
"Amstel, Gooi en Vecht",Hilversum,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau 'Emmaushuis',0402::SB7,1216 RN,1843,1021,16,5,0,4,0,961,85,0,0,4,0,0,1046,227,144,172,105,114,53,92,9,32,4,4,65
"Amstel, Gooi en Vecht",Hilversum,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Wijkcentrum 'De Koepel',0402::SB8,1216 JC,1529,1441,37,15,0,5,1,1385,112,0,0,5,0,0,1498,236,225,184,164,160,65,222,26,65,7,5,82
"Amstel, Gooi en Vecht",Hilversum,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Goudenregenschool Kerkelanden,0402::SB9,1216 LD,1695,610,20,0,1,0,0,583,46,0,1,0,0,0,629,86,86,82,79,58,36,96,13,20,0,5,49
"Amstel, Gooi en Vecht",Hilversum,AB2019_AmstelGooienVecht,"Algemeen bestuur van het waterschap Amstel, Gooi en Vecht 2019",10,"Amstel, Gooi en Vecht",2019-03-20,Stembureau Nieuw Kerkelanden,0402::SB10,1216 SB,1640,481,11,4,0,0,0,456,40,0,0,0,0,0,496,82,73,52,45,61,28,89,3,9,3,1,35
