contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Staatkundig Gereformeerde Partij (SGP),Waterschapspartij Zeeuws-Vlaanderen,Partij voor Zeeland,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,ChristenUnie,50PLUS,AWP Niet Politiek Wel Deskundig
Scheldestromen,Goes,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Gasthuis,0664::SB1,,1421,801,11,4,0,0,0,743,74,0,0,1,0,1,817,174,62,12,102,107,104,76,45,57,62
Scheldestromen,Goes,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Ter Valcke,0664::SB2,,1360,873,6,1,0,0,0,782,98,0,0,0,0,0,880,142,134,11,130,93,133,64,45,77,44
Scheldestromen,Goes,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau De Wingerd,0664::SB3,,1427,1011,18,1,0,0,0,919,111,0,0,0,0,0,1030,189,166,15,96,105,71,101,148,66,54
Scheldestromen,Goes,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Randhof,0664::SB4,,1473,634,11,2,0,0,0,593,49,0,5,0,5,0,642,101,89,11,111,40,85,54,33,58,52
Scheldestromen,Goes,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Stadskantoor,0664::SB5,,1584,945,13,2,0,0,0,874,86,0,0,0,0,0,960,167,36,8,159,148,121,108,52,69,77
Scheldestromen,Goes,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau De Westkant,0664::SB6,,1529,640,9,2,0,1,0,582,70,0,0,1,0,0,652,98,41,9,119,77,94,55,47,62,38
Scheldestromen,Goes,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau De Spinne 1,0664::SB7,,1963,559,7,2,0,2,0,505,65,0,0,2,0,0,570,66,21,7,112,27,91,60,47,77,51
Scheldestromen,Goes,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau Erasmuspark,0664::SB8,,1611,937,17,4,0,5,0,872,91,0,0,5,0,0,963,143,75,20,180,62,133,91,75,86,72
Scheldestromen,Goes,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau De Spinne 2,0664::SB9,,1531,706,9,9,0,0,0,658,66,0,0,0,0,0,724,92,35,18,145,55,127,66,55,67,46
Scheldestromen,Goes,AB2019_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2019,17,Scheldestromen,2019-03-20,Stembureau De Pit,0664::SB10,,1393,716,20,2,0,0,0,676,62,0,0,0,0,0,738,142,45,9,123,55,119,60,37,70,56
