contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,50PLUS,Ouderen Appèl - Hart voor Water
Aa en Maas,Bernheze,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Gemeentehuis Bernheze, De Misse 6, Heesch",1721::SB1,5384 BZ,1420,861,28,5,0,0,0,803,91,0,0,0,0,0,894,226,197,165,82,37,105,49
Aa en Maas,Bernheze,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Zorgcentrum Heelwijk, Mozartlaan 2, Heesch",1721::SB2,5384 CG,1367,732,14,4,0,0,1,687,62,0,0,0,0,0,750,202,174,112,92,34,69,49
Aa en Maas,Bernheze,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Basisschool De Kiem, De Ploeg 101, Heesch",1721::SB3,5384 HL,1456,689,18,2,0,1,0,648,60,0,0,0,0,0,708,117,220,114,77,42,73,46
Aa en Maas,Bernheze,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Sporthal 't Vijfeiken, 't Vijfeiken 53, Heesch",1721::SB4,5384 ER,1664,797,18,4,0,0,0,738,81,0,0,0,0,0,819,221,187,148,79,29,99,34
Aa en Maas,Bernheze,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Het Hooghuis, Schoonstraat 34, Heesch",1721::SB5,5384 AP,1643,684,21,1,0,0,0,631,75,0,0,0,0,0,706,173,167,131,69,39,68,37
Aa en Maas,Bernheze,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Brandweerkazerne Heesch, De La Sallestraat 1, Heesch",1721::SB6,5384 NK,1501,913,20,1,0,0,0,832,101,0,1,0,0,0,933,290,201,232,67,42,60,21
Aa en Maas,Bernheze,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Gemeenschapshuis De Wis, Schaapsdijk 27, Loosbroek",1721::SB7,5472 PD,1688,746,14,1,0,0,0,672,89,0,0,0,0,0,761,368,149,105,38,36,32,18
Aa en Maas,Bernheze,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Cultureel Centrum Nesterlé, Parkstraat 2, Nistelrode",1721::SB8,5388 HS,1713,757,13,1,0,0,0,687,85,0,0,1,0,0,772,248,202,138,53,31,58,27
Aa en Maas,Bernheze,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Zorgcentrum Laarstede, Laar 40, Nistelrode",1721::SB9,5388 HH,1644,585,16,2,0,0,0,529,74,0,0,0,0,0,603,178,133,99,62,30,60,23
Aa en Maas,Bernheze,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Sporthal De Overbeek, De Hoef 23 a, Nistelrode",1721::SB10,5388 EL,1631,833,24,5,0,0,0,753,109,0,0,0,0,0,862,207,264,185,52,47,55,23
