contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Gemeentehuis,0177::SB1,8101 AC,2350,1429,35,10,0,0,0,1384,90,0,0,0,0,0,1474,126,256,16,206,242,36,84,463
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau ZGR Swaenewoerd,0177::SB2,8102 BE,1478,832,26,4,0,0,0,797,65,0,0,0,0,0,862,81,127,4,125,135,17,70,273
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau KBS de Bolster,0177::SB3,8102 JH,1102,539,12,3,0,1,0,527,28,0,0,1,0,0,555,42,77,12,104,89,11,41,163
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Dorpshuis Lierderholthuis,0177::SB4,8144 RG,499,259,0,0,0,0,0,246,13,0,0,0,0,0,259,6,41,2,53,33,8,28,88
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Adficount Salland B.V.,0177::SB5,8102 KE,1281,775,18,3,0,0,0,741,55,0,0,0,0,0,796,37,103,5,198,132,17,46,237
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Woonzorglocatie De Hartkamp,0177::SB6,8101 EN,1572,857,20,3,0,1,0,845,34,0,1,0,0,0,879,62,112,6,187,166,28,50,246
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Helpende Handen,0177::SB7,8101 PP,985,473,14,2,0,0,1,448,40,0,0,0,0,0,489,27,67,5,89,114,23,20,128
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Landstede MBO,0177::SB8,8101 AB,1210,303,4,2,0,0,0,285,24,0,0,0,0,0,309,25,72,1,39,69,4,14,79
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau OBS De Vogelaar,0177::SB9,8103 EA,1814,1076,28,2,0,3,0,990,119,0,0,3,0,0,1109,67,210,8,221,186,26,63,295
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau De Noaber - Schuilenburg,0177::SB10,8103 RB,2074,933,17,0,1,0,0,860,91,0,0,1,0,0,951,40,256,6,137,161,19,56,258
